Unnamed: 0                         ,f1-score           ,precision         ,recall            ,support
Noise                              ,0.8963126960280436 ,0.9018032352161228,0.8908886094519544,38172.0
Band Pull-Down Row                 ,0.6360294117647061 ,0.6245487364620939,0.6479400749063671,267.0
Bicep Curl                         ,0.6932742054693274 ,0.685672514619883 ,0.7010463378176383,669.0
Box Jump (on bench)                ,0.3908045977011494 ,0.3541666666666667,0.4358974358974359,39.0
Burpee                             ,0.5992366412213741 ,0.5946969696969697,0.6038461538461538,520.0
Butterfly sit-up                   ,0.7549277266754271 ,0.7524557956777996,0.7574159525379037,1517.0
Chest Press                        ,0.6346153846153846 ,0.6036585365853658,0.668918918918919 ,296.0
Crunch                             ,0.6902050113895216 ,0.6855203619909502,0.6949541284403671,436.0
Dip                                ,0.5892597968069666 ,0.5833333333333334,0.5953079178885631,341.0
Dumbbell Deadlift Row              ,0.5833333333333334 ,0.5748792270531401,0.5920398009950248,402.0
Dumbbell Row (both)                ,0.4063829787234042 ,0.3970893970893971,0.4161220043572985,459.0
Dumbbell Row (right)               ,0.4271844660194175 ,0.3928571428571429,0.4680851063829787,94.0
Dumbbell Squat (hands at side)     ,0.709236031927024  ,0.713302752293578 ,0.7052154195011338,441.0
Elliptical machine                 ,0.8632075471698114 ,0.8455445544554455,0.8816242257398486,1453.0
Punches                            ,0.8424242424242424 ,0.8580246913580247,0.8273809523809523,336.0
Jump Rope                          ,0.7947178871548619 ,0.7843601895734598,0.8053527980535279,822.0
Jumping Jacks                      ,0.8528528528528528 ,0.8352941176470589,0.8711656441717791,163.0
Kettlebell Swing                   ,0.7799352750809061 ,0.7799352750809061,0.7799352750809061,309.0
Lateral Raise                      ,0.5916795069337443 ,0.573134328358209 ,0.6114649681528662,314.0
Lawnmower (both)                   ,0.38095238095238104,0.4               ,0.3636363636363637,33.0
Lawnmower (right)                  ,0.4752066115702479 ,0.4637096774193548,0.4872881355932203,236.0
Lunge (both legs)                  ,0.5665818490245972 ,0.5604026845637584,0.5728987993138936,583.0
Ball Slam                          ,0.6139240506329113 ,0.610062893081761 ,0.6178343949044586,314.0
Triceps Extension (standing - both),0.7759036144578313 ,0.7666666666666667,0.7853658536585366,410.0
Plank                              ,0.7938230383973289 ,0.7931609674728941,0.7944862155388471,1197.0
Power Boat pose                    ,0.598019801980198  ,0.592156862745098 ,0.604             ,250.0
Pushups                            ,0.6882681564245811 ,0.6724890829694323,0.7048054919908466,437.0
Rowing machine                     ,0.8643645425418298 ,0.8531271960646521,0.8759018759018758,1386.0
Running                            ,0.8653545766947828 ,0.8634663341645885,0.8672510958046337,1597.0
Russian Twist                      ,0.6844444444444445 ,0.676923076923077 ,0.6921348314606741,445.0
Seated Back Fly                    ,0.52               ,0.528125          ,0.5121212121212121,330.0
Shoulder Press                     ,0.7578347578347578 ,0.7665706051873199,0.7492957746478873,355.0
Squat                              ,0.7580372250423011 ,0.7556626506024097,0.7604267701260912,2062.0
Triceps Kickback                   ,0.5546075085324232 ,0.5489864864864865,0.5603448275862069,580.0
Triceps extension (lying)          ,0.7406340057636888 ,0.7342857142857143,0.7470930232558141,344.0
Dumbbell Curl                      ,0.7098121085594989 ,0.7068607068607069,0.7127882599580713,477.0
V-up                               ,0.7460674157303371 ,0.7528344671201814,0.7394209354120267,449.0
Walk                               ,0.8272960117087451 ,0.8183134274339486,0.8364779874213837,2703.0
Walking lunge                      ,0.6582568807339448 ,0.6567505720823799,0.6597701149425287,435.0
Wall Ball                          ,0.7573221757322175 ,0.7605042016806722,0.7541666666666667,240.0
Wall Squat                         ,0.3929515418502203 ,0.3825042881646655,0.4039855072463768,552.0
accuracy                           ,0.8311214279996798 ,0.8311214279996798,0.8311214279996798,0.8311214279996798
macro avg                          ,0.6698849339487992 ,0.6635083265363735,0.6769779478465666,62465.0
weighted avg                       ,0.8319162177475483 ,0.8328656264657636,0.8311214279996798,62465.0
