Unnamed: 0                         ,f1-score           ,precision         ,recall             ,support
Noise                              ,0.8694504990248939 ,0.8568682871678914,0.8824077308184888 ,42945.0
Band Pull-Down Row                 ,0.2748643761301989 ,0.3015873015873016,0.25249169435215946,301.0
Bicep Curl                         ,0.7793923381770147 ,0.7692307692307693,0.7898259705488622 ,747.0
Box Jump (on bench)                ,0.6666666666666666 ,0.6521739130434783,0.6818181818181818 ,44.0
Burpee                             ,0.3984747378455672 ,0.44              ,0.3641114982578397 ,574.0
Butterfly sit-up                   ,0.7736226091921211 ,0.7561383928571429,0.7919345412039743 ,1711.0
Chest Press                        ,0.5176110260336907 ,0.5314465408805031,0.5044776119402985 ,335.0
Crunch                             ,0.7725321888412017 ,0.8163265306122449,0.7331975560081466 ,491.0
Dip                                ,0.5958549222797929 ,0.5852417302798982,0.6068601583113457 ,379.0
Dumbbell Deadlift Row              ,0.4824462061155153 ,0.4965034965034965,0.4691629955947136 ,454.0
Dumbbell Row (both)                ,0.3769063180827886 ,0.4325            ,0.333976833976834  ,518.0
Dumbbell Row (right)               ,0.4973544973544973 ,0.573170731707317 ,0.4392523364485981 ,107.0
Dumbbell Squat (hands at side)     ,0.5005512679162072 ,0.549636803874092 ,0.4595141700404858 ,494.0
Elliptical machine                 ,0.7941574249391399 ,0.7129674599320058,0.8962148962148963 ,1638.0
Punches                            ,0.7947712418300652 ,0.7916666666666666,0.7979002624671916 ,381.0
Jump Rope                          ,0.8176972281449894 ,0.8023012552301255,0.8336956521739131 ,920.0
Jumping Jacks                      ,0.9366391184573004 ,0.934065934065934 ,0.9392265193370166 ,181.0
Kettlebell Swing                   ,0.8845070422535211 ,0.8746518105849582,0.8945868945868946 ,351.0
Lateral Raise                      ,0.7458646616541353 ,0.7948717948717948,0.7025495750708215 ,353.0
Lawnmower (both)                   ,0.4                ,0.5               ,0.3333333333333333 ,36.0
Lawnmower (right)                  ,0.6893787575150301 ,0.7319148936170212,0.6515151515151515 ,264.0
Lunge (both legs)                  ,0.4732949876746097 ,0.5152057245080501,0.4376899696048632 ,658.0
Ball Slam                          ,0.6687402799377916 ,0.7517482517482518,0.6022408963585434 ,357.0
Triceps Extension (standing - both),0.7825086306098964 ,0.8436724565756824,0.7296137339055794 ,466.0
Plank                              ,0.4953897736797988 ,0.5660919540229885,0.4403874813710879 ,1342.0
Power Boat pose                    ,0.3069767441860465 ,0.4370860927152318,0.23655913978494625,279.0
Pushups                            ,0.6008230452674898 ,0.6070686070686071,0.594704684317719  ,491.0
Rowing machine                     ,0.8062294100029949 ,0.7544843049327354,0.8655948553054662 ,1555.0
Running                            ,0.8157683024939661 ,0.7880829015544042,0.8454697053918844 ,1799.0
Russian Twist                      ,0.7843551797040169 ,0.8355855855855856,0.7390438247011952 ,502.0
Seated Back Fly                    ,0.7095761381475667 ,0.8464419475655429,0.6108108108108108 ,370.0
Shoulder Press                     ,0.4587706146926537 ,0.5817490494296578,0.3787128712871287 ,404.0
Squat                              ,0.638793694311172  ,0.6796305298979096,0.6025862068965517 ,2320.0
Triceps Kickback                   ,0.6120218579234973 ,0.7466666666666667,0.5185185185185185 ,648.0
Triceps extension (lying)          ,0.8192457737321196 ,0.8246073298429321,0.813953488372093  ,387.0
Dumbbell Curl                      ,0.8361904761904762 ,0.8540856031128404,0.8190298507462687 ,536.0
V-up                               ,0.7725321888412017 ,0.8490566037735849,0.7086614173228346 ,508.0
Walk                               ,0.7852286773794809 ,0.7403846153846154,0.8358552631578947 ,3040.0
Walking lunge                      ,0.5337361530715005 ,0.53              ,0.537525354969574  ,493.0
Wall Ball                          ,0.43478260869565216,0.5376344086021505,0.36496350364963503,274.0
Wall Squat                         ,0.101010101010101  ,0.2325581395348837,0.06451612903225806,620.0
accuracy                           ,0.8001935309436057 ,0.8001935309436057,0.8001935309436057 ,0.8001935309436057
macro avg                          ,0.6342614089269846 ,0.6689050020789016,0.6123046651103414 ,70273.0
weighted avg                       ,0.7935558765118059 ,0.7913182577404513,0.8001935309436057 ,70273.0
