                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.9061405756255873 ,0.9232509571876087 ,0.8896528592990106 ,5963.0
Walking                                    ,0.6469344608879493 ,0.5257731958762887 ,0.8406593406593407 ,182.0
Jogging                                    ,0.8652037617554859 ,0.7931034482758621 ,0.9517241379310345 ,145.0
Running                                    ,0.8802816901408451 ,0.8503401360544217 ,0.9124087591240876 ,137.0
Jump up                                    ,0.17777777777777778,0.25               ,0.13793103448275862,29.0
Jump front and back                        ,0.47169811320754723,0.44642857142857145,0.5                ,50.0
Jump sideways                              ,0.6041666666666666 ,0.6744186046511628 ,0.5471698113207547 ,53.0
Jump leg/arms open/closed                  ,0.7047619047619047 ,0.7115384615384616 ,0.6981132075471698 ,53.0
Jump rope                                  ,0.4102564102564102 ,0.7272727272727273 ,0.2857142857142857 ,28.0
Trunk twist (arms outstretched)            ,0.848780487804878  ,0.8055555555555556 ,0.8969072164948454 ,97.0
Trunk twist (elbows bent)                  ,0.7840909090909091 ,0.7263157894736842 ,0.8518518518518519 ,81.0
Waist bends forward                        ,0.7853403141361256 ,0.6818181818181818 ,0.9259259259259259 ,81.0
Waist rotation                             ,0.7515151515151515 ,0.6391752577319587 ,0.9117647058823529 ,68.0
Waist bends (reach foot with opposite hand),0.8701298701298702 ,0.8933333333333333 ,0.8481012658227848 ,79.0
Reach heels backwards                      ,0.6527777777777777 ,0.5662650602409639 ,0.7704918032786885 ,61.0
Lateral bend                               ,0.32941176470588235,0.5185185185185185 ,0.2413793103448276 ,58.0
Lateral bend with arm up                   ,0.4044943820224719 ,0.5806451612903226 ,0.3103448275862069 ,58.0
Repetitive forward stretching              ,0.49122807017543857,0.6666666666666666 ,0.3888888888888889 ,36.0
Upper trunk and lower body opposite twist  ,0.5365853658536586 ,0.5365853658536586 ,0.5365853658536586 ,41.0
Lateral elevation of arms                  ,0.7079646017699116 ,0.6896551724137931 ,0.7272727272727273 ,55.0
Frontal elevation of arms                  ,0.6153846153846153 ,0.5263157894736842 ,0.7407407407407407 ,54.0
Frontal hand claps                         ,0.7142857142857142 ,0.6557377049180327 ,0.7843137254901961 ,51.0
Frontal crossing of arms                   ,0.7500000000000001 ,0.7258064516129032 ,0.7758620689655172 ,58.0
Shoulders high-amplitude rotation          ,0.64               ,0.6666666666666666 ,0.6153846153846154 ,52.0
Shoulders low-amplitude rotation           ,0.05555555555555555,0.25               ,0.03125            ,32.0
Arms inner rotation                        ,0.38461538461538464,0.4411764705882353 ,0.3409090909090909 ,44.0
Knees (alternating) to the breast          ,0.3448275862068965 ,0.625              ,0.23809523809523808,21.0
Heels (alternatively) to the backside      ,0.5405405405405405 ,0.7142857142857143 ,0.43478260869565216,23.0
Knees bending (crouching)                  ,0.6712328767123288 ,0.6363636363636364 ,0.7101449275362319 ,69.0
Knees (alternating) bending forward        ,0.8099999999999999 ,0.7105263157894737 ,0.9418604651162791 ,86.0
Rotation on the knees                      ,0.6823529411764706 ,0.7837837837837838 ,0.6041666666666666 ,48.0
Rowing                                     ,0.8743718592964824 ,0.7981651376146789 ,0.9666666666666667 ,90.0
Elliptical bike                            ,0.8065573770491803 ,0.7028571428571428 ,0.9461538461538461 ,130.0
Cycling                                    ,0.9142857142857143 ,0.8767123287671232 ,0.9552238805970149 ,134.0
accuracy                                   ,0.8517036498120528 ,0.8517036498120528 ,0.8517036498120528 ,0.8517036498120528
macro avg                                  ,0.6362808888579745 ,0.6564722737618474 ,0.6546600548911456 ,8247.0
weighted avg                               ,0.8495964273299029 ,0.8564687070120033 ,0.8517036498120528 ,8247.0
