Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.2018347463788732  ,0.8138894554354477  ,0.11520168594874312 ,138557.0
Band Pull-Down Row                 ,0.3048158640226629  ,0.20950155763239875 ,0.5592515592515592  ,962.0
Bicep Curl                         ,0.3569210655335839  ,0.2948164146868251  ,0.4521739130434783  ,2415.0
Box Jump (on bench)                ,0.09345794392523364 ,0.06345177664974619 ,0.1773049645390071  ,141.0
Burpee                             ,0.2870887050221281  ,0.2242934455802766  ,0.398717263495457   ,1871.0
Butterfly sit-up                   ,0.3053523296110897  ,0.3266062602965404  ,0.2866955892986261  ,5532.0
Chest Press                        ,0.40330578512396703 ,0.2596435222133546  ,0.9028677150786311  ,1081.0
Crunch                             ,0.3672363484785327  ,0.2736874805840323  ,0.5579480683977199  ,1579.0
Dip                                ,0.3654908627284318  ,0.2473396606269773  ,0.6997558991049634  ,1229.0
Dumbbell Deadlift Row              ,0.261101243339254   ,0.2284974093264249  ,0.3045580110497237  ,1448.0
Dumbbell Row (both)                ,0.01295774647887324 ,0.012214551248008495,0.01379724055188962 ,1667.0
Dumbbell Row (right)               ,0.1915028535193405  ,0.1222672064777328  ,0.4415204678362573  ,342.0
Dumbbell Squat (hands at side)     ,0.15916811091854416 ,0.08952663183342431 ,0.7166042446941323  ,1602.0
Elliptical machine                 ,0.8067284586337109  ,0.7373705679322247  ,0.8904888215233043  ,5278.0
Punches                            ,0.721827031074504   ,0.6648275862068965  ,0.7895167895167895  ,1221.0
Jump Rope                          ,0.5289940828402366  ,0.4720168954593453  ,0.6016150740242261  ,2972.0
Jumping Jacks                      ,0.7131882202304738  ,0.5689479060265578  ,0.9554030874785592  ,583.0
Kettlebell Swing                   ,0.4524503311258278  ,0.3229954614220877  ,0.7550839964633068  ,1131.0
Lateral Raise                      ,0.21436893203883492 ,0.1373134328358209  ,0.4884955752212389  ,1130.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,116.0
Lawnmower (right)                  ,0.1110320284697509  ,0.06966359035427211 ,0.2733644859813084  ,856.0
Lunge (both legs)                  ,0.09691487643353254 ,0.07381889763779527 ,0.14104372355430184 ,2127.0
Ball Slam                          ,0.2044887780548628  ,0.15853069115514742 ,0.28797190517998245 ,1139.0
Triceps Extension (standing - both),0.5078521381976323  ,0.3970532678503967  ,0.7044235924932976  ,1492.0
Plank                              ,0.1292427970612359  ,0.06993125849826258 ,0.8510687198345208  ,4351.0
Power Boat pose                    ,0.15724296822501682 ,0.08605653041924978 ,0.91                ,900.0
Pushups                            ,0.4481833699097781  ,0.3636723387415908  ,0.5838627700127065  ,1574.0
Rowing machine                     ,0.4511809559233774  ,0.42382948986722574 ,0.4823061630218688  ,5030.0
Running                            ,0.7550814715269611  ,0.7359201047806155  ,0.7752673335632977  ,5798.0
Russian Twist                      ,0.28353948620361563 ,0.2304717710750193  ,0.3683559950556242  ,1618.0
Seated Back Fly                    ,0.08676405489154494 ,0.09176029962546817 ,0.08228379513014274 ,1191.0
Shoulder Press                     ,0.4424574560138448  ,0.3534562211981567  ,0.5913646877409406  ,1297.0
Squat                              ,0.014298040182423272,0.0914826498422713  ,0.007755047466238801,7479.0
Triceps Kickback                   ,0.3852721451440769  ,0.4375757575757576  ,0.3441372735938989  ,2098.0
Triceps extension (lying)          ,0.3169587756109603  ,0.22863247863247865 ,0.5164923572003218  ,1243.0
Dumbbell Curl                      ,0.4027674820854954  ,0.35266118563392473 ,0.4694700460829493  ,1736.0
V-up                               ,0.41797049620026816 ,0.3299223712067749  ,0.5701219512195121  ,1640.0
Walk                               ,0.5299362183663672  ,0.39928689541132706 ,0.7876656472986748  ,9810.0
Walking lunge                      ,0.2863350485991996  ,0.17483591677140065 ,0.7904040404040404  ,1584.0
Wall Ball                          ,0.5141037306642402  ,0.4260935143288084  ,0.6479357798165137  ,872.0
Wall Squat                         ,0.12728923868624187 ,0.07496211783581425 ,0.42155388471177946 ,1995.0
accuracy                           ,0.2785206032988217  ,0.2785206032988217  ,0.2785206032988217  ,0.2785206032988217
macro avg                          ,0.3272366394505983  ,0.2838737700223385  ,0.5052158333141351  ,226687.0
weighted avg                       ,0.2689150566073102  ,0.6240707588934001  ,0.2785206032988217  ,226687.0
