                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.7883013751694752 ,0.9894250638142701 ,0.6551307847082495,12425.0
Walking                                    ,0.5488372093023256 ,0.38688524590163936,0.944             ,375.0
Jogging                                    ,0.8030534351145038 ,0.7471590909090909 ,0.8679867986798679,303.0
Running                                    ,0.89171974522293   ,0.8187134502923976 ,0.9790209790209791,286.0
Jump up                                    ,0.6282051282051281 ,0.5104166666666666 ,0.8166666666666667,60.0
Jump front and back                        ,0.8341708542713568 ,0.8736842105263158 ,0.7980769230769231,104.0
Jump sideways                              ,0.8704663212435233 ,0.9130434782608695 ,0.8316831683168316,101.0
Jump leg/arms open/closed                  ,0.9135802469135802 ,0.8538461538461538 ,0.9823008849557522,113.0
Jump rope                                  ,0.6857142857142856 ,0.5853658536585366 ,0.8275862068965517,58.0
Trunk twist (arms outstretched)            ,0.8863109048723897 ,0.8268398268398268 ,0.955             ,200.0
Trunk twist (elbows bent)                  ,0.8435013262599469 ,0.7571428571428571 ,0.9520958083832335,167.0
Waist bends forward                        ,0.846938775510204  ,0.7579908675799086 ,0.9595375722543352,173.0
Waist rotation                             ,0.7705382436260623 ,0.6476190476190476 ,0.951048951048951 ,143.0
Waist bends (reach foot with opposite hand),0.9253731343283582 ,0.8806818181818182 ,0.9748427672955975,159.0
Reach heels backwards                      ,0.655367231638418  ,0.5225225225225225 ,0.8787878787878788,132.0
Lateral bend                               ,0.1610461114934618 ,0.08803611738148984,0.9435483870967742,124.0
Lateral bend with arm up                   ,0.22753346080305925,0.12878787878787878,0.9754098360655737,122.0
Repetitive forward stretching              ,0.7499999999999999 ,0.6470588235294118 ,0.8918918918918919,74.0
Upper trunk and lower body opposite twist  ,0.36492890995260663,0.22916666666666666,0.8953488372093024,86.0
Lateral elevation of arms                  ,0.7883817427385893 ,0.7196969696969697 ,0.8715596330275229,109.0
Frontal elevation of arms                  ,0.7247386759581882 ,0.6190476190476191 ,0.8739495798319328,119.0
Frontal hand claps                         ,0.7530364372469636 ,0.6690647482014388 ,0.8611111111111112,108.0
Frontal crossing of arms                   ,0.8389513108614232 ,0.7832167832167832 ,0.9032258064516129,124.0
Shoulders high-amplitude rotation          ,0.7623318385650224 ,0.7203389830508474 ,0.8095238095238095,105.0
Shoulders low-amplitude rotation           ,0.4907975460122699 ,0.4166666666666667 ,0.5970149253731343,67.0
Arms inner rotation                        ,0.35835351089588374,0.22629969418960244,0.8604651162790697,86.0
Knees (alternating) to the breast          ,0.6788990825688074 ,0.578125           ,0.8222222222222222,45.0
Heels (alternatively) to the backside      ,0.6074074074074074 ,0.4659090909090909 ,0.8723404255319149,47.0
Knees bending (crouching)                  ,0.809384164222874  ,0.7150259067357513 ,0.9324324324324325,148.0
Knees (alternating) bending forward        ,0.5511811023622047 ,0.38377192982456143,0.9776536312849162,179.0
Rotation on the knees                      ,0.7120000000000001 ,0.577922077922078  ,0.9270833333333334,96.0
Rowing                                     ,0.9353233830845772 ,0.8867924528301887 ,0.9894736842105263,190.0
Elliptical bike                            ,0.805414551607445  ,0.74375            ,0.8782287822878229,271.0
Cycling                                    ,0.9620253164556962 ,0.9637681159420289 ,0.9602888086642599,277.0
accuracy                                   ,0.727119236143456  ,0.727119236143456  ,0.727119236143456 ,0.727119236143456
macro avg                                  ,0.7109944932243814 ,0.6362876964223821 ,0.8887216954094407,17176.0
weighted avg                               ,0.7747390130560248 ,0.8978559306279623 ,0.727119236143456 ,17176.0
