Unnamed: 0                         ,f1-score            ,precision          ,recall             ,support
Noise                              ,0.3006686850645815  ,0.8918464917948056 ,0.18081316147961854,38172.0
Band Pull-Down Row                 ,0.37662337662337664 ,0.2648401826484018 ,0.651685393258427  ,267.0
Bicep Curl                         ,0.3475862068965517  ,0.32266325224071696,0.37668161434977576,669.0
Box Jump (on bench)                ,0.3544303797468355  ,0.2352941176470588 ,0.7179487179487181 ,39.0
Burpee                             ,0.4284666177549523  ,0.34638196915776986,0.5615384615384615 ,520.0
Butterfly sit-up                   ,0.4980370162647225  ,0.4333821376281113 ,0.5853658536585366 ,1517.0
Chest Press                        ,0.5110896817743491  ,0.3576248313090418 ,0.8952702702702703 ,296.0
Crunch                             ,0.43762508338892603 ,0.3085606773283161 ,0.7522935779816514 ,436.0
Dip                                ,0.3883058470764617  ,0.2608257804632427 ,0.7595307917888563 ,341.0
Dumbbell Deadlift Row              ,0.2775229357798165  ,0.2574468085106383 ,0.3009950248756219 ,402.0
Dumbbell Row (both)                ,0.09840255591054313 ,0.06962025316455696,0.16775599128540306,459.0
Dumbbell Row (right)               ,0.1448275862068965  ,0.08641975308641975,0.44680851063829785,94.0
Dumbbell Squat (hands at side)     ,0.2451874366767984  ,0.1578604044357469 ,0.5487528344671202 ,441.0
Elliptical machine                 ,0.8244118649846575  ,0.8168918918918919 ,0.8320715760495526 ,1453.0
Punches                            ,0.7409470752089136  ,0.6963350785340314 ,0.7916666666666666 ,336.0
Jump Rope                          ,0.543245869776482   ,0.4522653721682848 ,0.6800486618004866 ,822.0
Jumping Jacks                      ,0.7117117117117117  ,0.5622775800711743 ,0.9693251533742332 ,163.0
Kettlebell Swing                   ,0.7359781121751026  ,0.6374407582938388 ,0.8705501618122977 ,309.0
Lateral Raise                      ,0.3435754189944134  ,0.22003577817531306,0.7834394904458599 ,314.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                ,33.0
Lawnmower (right)                  ,0.09952153110047847 ,0.05609492988133765,0.4406779661016949 ,236.0
Lunge (both legs)                  ,0.08876560332871013 ,0.07450523864959255,0.1097770154373928 ,583.0
Ball Slam                          ,0.4357894736842105  ,0.32547169811320753,0.6592356687898089 ,314.0
Triceps Extension (standing - both),0.6759061833688699  ,0.6003787878787878 ,0.7731707317073171 ,410.0
Plank                              ,0.13435466377440347 ,0.07310955367023239,0.8279030910609858 ,1197.0
Power Boat pose                    ,0.21704658077304265 ,0.123868778280543  ,0.8759999999999999 ,250.0
Pushups                            ,0.36675235646958015 ,0.2931506849315069 ,0.4897025171624714 ,437.0
Rowing machine                     ,0.7205169628432957  ,0.652428320655354  ,0.8044733044733045 ,1386.0
Running                            ,0.7876588021778584  ,0.7618490345231129 ,0.815278647463995  ,1597.0
Russian Twist                      ,0.23220536756126026 ,0.15681639085894405,0.4471910112359551 ,445.0
Seated Back Fly                    ,0.2306163021868787  ,0.17159763313609466,0.3515151515151515 ,330.0
Shoulder Press                     ,0.5924276169265034  ,0.4898710865561695 ,0.7492957746478873 ,355.0
Squat                              ,0.019391802556192158,0.10628019323671498,0.01066925315227934,2062.0
Triceps Kickback                   ,0.32281334535617673 ,0.3383742911153119 ,0.3086206896551724 ,580.0
Triceps extension (lying)          ,0.6391061452513968  ,0.5190562613430127 ,0.8313953488372093 ,344.0
Dumbbell Curl                      ,0.5664280031821798  ,0.4564102564102564 ,0.7463312368972747 ,477.0
V-up                               ,0.5431309904153355  ,0.4234122042341221 ,0.7572383073496659 ,449.0
Walk                               ,0.5494217240968166  ,0.4053483462350457 ,0.8523862375138734 ,2703.0
Walking lunge                      ,0.3169398907103825  ,0.19393004115226334,0.8666666666666667 ,435.0
Wall Ball                          ,0.6778523489932886  ,0.5674157303370787 ,0.8416666666666667 ,240.0
Wall Squat                         ,0.1887755102040816  ,0.11815693430656934,0.4692028985507246 ,552.0
accuracy                           ,0.35245337388937803 ,0.35245337388937803,0.35245337388937803,0.35245337388937803
macro avg                          ,0.407660113828708   ,0.3484277930257224 ,0.607340002404277  ,62465.0
weighted avg                       ,0.3563886384074532  ,0.6936020016582445 ,0.35245337388937803,62465.0
