                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.7786739111978945 ,0.9832761578044596 ,0.6445537596626845 ,7115.0
Walking                                    ,0.6040061633281972 ,0.4444444444444444 ,0.9423076923076923 ,208.0
Jogging                                    ,0.7769028871391077 ,0.7047619047619048 ,0.8654970760233918 ,171.0
Running                                    ,0.8770949720670391 ,0.8010204081632653 ,0.9691358024691358 ,162.0
Jump up                                    ,0.3666666666666667 ,0.25882352941176473,0.6285714285714286 ,35.0
Jump front and back                        ,0.6821705426356589 ,0.6376811594202898 ,0.7333333333333333 ,60.0
Jump sideways                              ,0.7857142857142857 ,0.8627450980392157 ,0.7213114754098361 ,61.0
Jump leg/arms open/closed                  ,0.8767123287671232 ,0.7901234567901234 ,0.9846153846153847 ,65.0
Jump rope                                  ,0.6373626373626374 ,0.5087719298245614 ,0.8529411764705882 ,34.0
Trunk twist (arms outstretched)            ,0.8429752066115703 ,0.7846153846153846 ,0.9107142857142857 ,112.0
Trunk twist (elbows bent)                  ,0.7964601769911503 ,0.6976744186046512 ,0.9278350515463918 ,97.0
Waist bends forward                        ,0.7634854771784233 ,0.6571428571428571 ,0.9108910891089109 ,101.0
Waist rotation                             ,0.6869565217391305 ,0.541095890410959  ,0.9404761904761905 ,84.0
Waist bends (reach foot with opposite hand),0.8934010152284265 ,0.8380952380952381 ,0.9565217391304348 ,92.0
Reach heels backwards                      ,0.4772727272727273 ,0.33689839572192515,0.8181818181818182 ,77.0
Lateral bend                               ,0.19504643962848298,0.109375           ,0.9                ,70.0
Lateral bend with arm up                   ,0.24436090225563908,0.1400862068965517 ,0.9558823529411765 ,68.0
Repetitive forward stretching              ,0.6597938144329897 ,0.5818181818181818 ,0.7619047619047619 ,42.0
Upper trunk and lower body opposite twist  ,0.3111111111111111 ,0.1926605504587156 ,0.8076923076923077 ,52.0
Lateral elevation of arms                  ,0.7746478873239436 ,0.6875             ,0.8870967741935484 ,62.0
Frontal elevation of arms                  ,0.6742857142857143 ,0.5566037735849056 ,0.855072463768116  ,69.0
Frontal hand claps                         ,0.6451612903225806 ,0.5319148936170213 ,0.819672131147541  ,61.0
Frontal crossing of arms                   ,0.7590361445783133 ,0.6494845360824743 ,0.9130434782608695 ,69.0
Shoulders high-amplitude rotation          ,0.6808510638297872 ,0.6233766233766234 ,0.75               ,64.0
Shoulders low-amplitude rotation           ,0.19999999999999998,0.15492957746478872,0.28205128205128205,39.0
Arms inner rotation                        ,0.24475524475524474,0.14644351464435146,0.7446808510638298 ,47.0
Knees (alternating) to the breast          ,0.5333333333333333 ,0.4                ,0.8                ,25.0
Heels (alternatively) to the backside      ,0.6181818181818182 ,0.53125            ,0.7391304347826086 ,23.0
Knees bending (crouching)                  ,0.8041237113402062 ,0.7027027027027027 ,0.9397590361445783 ,83.0
Knees (alternating) bending forward        ,0.5159574468085106 ,0.354014598540146  ,0.9509803921568627 ,102.0
Rotation on the knees                      ,0.574468085106383  ,0.4153846153846154 ,0.9310344827586207 ,58.0
Rowing                                     ,0.905982905982906  ,0.8412698412698413 ,0.9814814814814815 ,108.0
Elliptical bike                            ,0.8132530120481929 ,0.7627118644067796 ,0.8709677419354839 ,155.0
Cycling                                    ,0.9396825396825397 ,0.9308176100628931 ,0.9487179487179487 ,156.0
accuracy                                   ,0.7104915030019334 ,0.7104915030019334 ,0.7104915030019334 ,0.7104915030019334
macro avg                                  ,0.6452908230855217 ,0.563515128340048  ,0.8425310360006624 ,9827.0
weighted avg                               ,0.7551303929688352 ,0.8787562741175653 ,0.7104915030019334 ,9827.0
