                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.7652971815216861 ,0.9918927444794953 ,0.6229790775083215 ,50472.0
Walking                                    ,0.4029998584972407 ,0.25611510791366904,0.9449236894492369 ,1507.0
Jogging                                    ,0.718992965568308  ,0.657859078590786  ,0.7926530612244898 ,1225.0
Running                                    ,0.8228346456692913 ,0.7523398128149748 ,0.9079061685490878 ,1151.0
Jump up                                    ,0.48818897637795283,0.3904282115869018 ,0.6512605042016807 ,238.0
Jump front and back                        ,0.5788819875776399 ,0.5989717223650386 ,0.5600961538461539 ,416.0
Jump sideways                              ,0.49128367670364503,0.7416267942583732 ,0.36729857819905215,422.0
Jump leg/arms open/closed                  ,0.8904109589041096 ,0.9285714285714286 ,0.8552631578947368 ,456.0
Jump rope                                  ,0.7003484320557491 ,0.6072507552870091 ,0.8271604938271605 ,243.0
Trunk twist (arms outstretched)            ,0.7490494296577946 ,0.76953125         ,0.7296296296296296 ,810.0
Trunk twist (elbows bent)                  ,0.5540477304632663 ,0.406872852233677  ,0.8680351906158358 ,682.0
Waist bends forward                        ,0.7021110242376857 ,0.7714776632302406 ,0.6441893830703013 ,697.0
Waist rotation                             ,0.59328165374677   ,0.4239290989660266 ,0.9879518072289156 ,581.0
Waist bends (reach foot with opposite hand),0.896551724137931  ,0.9093799682034976 ,0.884080370942813  ,647.0
Reach heels backwards                      ,0.4712525667351129 ,0.32346723044397463,0.8676748582230623 ,529.0
Lateral bend                               ,0.11003838548330813,0.05827276087224344,0.9854166666666667 ,480.0
Lateral bend with arm up                   ,0.5900383141762452 ,0.4281742354031511 ,0.9486652977412731 ,487.0
Repetitive forward stretching              ,0.6578073089700996 ,0.49748743718592964,0.9705882352941176 ,306.0
Upper trunk and lower body opposite twist  ,0.4638860630722279 ,0.3619047619047619 ,0.6458923512747875 ,353.0
Lateral elevation of arms                  ,0.7216248506571088 ,0.7783505154639175 ,0.6726057906458798 ,449.0
Frontal elevation of arms                  ,0.6252909231962761 ,0.4956949569495695 ,0.8466386554621849 ,476.0
Frontal hand claps                         ,0.7667009249743062 ,0.6985018726591761 ,0.8496583143507973 ,439.0
Frontal crossing of arms                   ,0.7983789260385005 ,0.8073770491803278 ,0.7895791583166333 ,499.0
Shoulders high-amplitude rotation          ,0.6885572139303482 ,0.6006944444444444 ,0.8065268065268065 ,429.0
Shoulders low-amplitude rotation           ,0.5451977401129944 ,0.45093457943925236,0.6892857142857143 ,280.0
Arms inner rotation                        ,0.5508253692441356 ,0.39476961394769616,0.9109195402298851 ,348.0
Knees (alternating) to the breast          ,0.8048048048048047 ,0.864516129032258  ,0.7528089887640449 ,178.0
Heels (alternatively) to the backside      ,0.7807228915662651 ,0.7168141592920354 ,0.8571428571428571 ,189.0
Knees bending (crouching)                  ,0.6830818109610802 ,0.6584992343032159 ,0.7095709570957096 ,606.0
Knees (alternating) bending forward        ,0.40733664501337413,0.28245892951775303,0.7301369863013699 ,730.0
Rotation on the knees                      ,0.8074534161490683 ,0.6818181818181818 ,0.9898477157360406 ,394.0
Rowing                                     ,0.7461652647204354 ,0.6032             ,0.9779507133592736 ,771.0
Elliptical bike                            ,0.7756778964667215 ,0.7081770442610653 ,0.857402361489555  ,1101.0
Cycling                                    ,0.9642857142857143 ,0.9712230215827338 ,0.9574468085106383 ,1128.0
accuracy                                   ,0.6808617450049484 ,0.6808617450049484 ,0.6808617450049484 ,0.6808617450049484
macro avg                                  ,0.6562766845787412 ,0.6055465484177297 ,0.8076231189295504 ,69719.0
weighted avg                               ,0.7370824357135919 ,0.8839381347224491 ,0.6808617450049484 ,69719.0
