                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.8263447527515114 ,0.9924136647119054 ,0.7078879224487086,30122.0
Walking                                    ,0.36286919831223624,0.22384174908901613,0.9576837416481069,898.0
Jogging                                    ,0.7378881987577639 ,0.6757679180887372 ,0.8125854993160054,731.0
Running                                    ,0.8270481144343302 ,0.7473560517038778 ,0.925764192139738 ,687.0
Jump up                                    ,0.5549738219895288 ,0.43983402489626555,0.75177304964539  ,141.0
Jump front and back                        ,0.6639511201629328 ,0.6707818930041153 ,0.657258064516129 ,248.0
Jump sideways                              ,0.6231155778894473 ,0.8378378378378378 ,0.496             ,250.0
Jump leg/arms open/closed                  ,0.9306569343065695 ,0.9306569343065694 ,0.9306569343065694,274.0
Jump rope                                  ,0.69164265129683   ,0.594059405940594  ,0.8275862068965517,145.0
Trunk twist (arms outstretched)            ,0.8148148148148148 ,0.7887596899224806 ,0.8426501035196687,483.0
Trunk twist (elbows bent)                  ,0.579124579124579  ,0.4393358876117497 ,0.8493827160493828,405.0
Waist bends forward                        ,0.8543046357615893 ,0.7865853658536586 ,0.9347826086956522,414.0
Waist rotation                             ,0.6133093525179856 ,0.4451697127937337 ,0.9855491329479769,346.0
Waist bends (reach foot with opposite hand),0.9222520107238606 ,0.9502762430939227 ,0.8958333333333334,384.0
Reach heels backwards                      ,0.32185273159144895,0.1976659372720642 ,0.865814696485623 ,313.0
Lateral bend                               ,0.34684965689332503,0.21172886519421172,0.9586206896551724,290.0
Lateral bend with arm up                   ,0.6650544135429263 ,0.514018691588785  ,0.9417808219178082,292.0
Repetitive forward stretching              ,0.7404255319148936 ,0.6                ,0.9666666666666667,180.0
Upper trunk and lower body opposite twist  ,0.625250501002004  ,0.5416666666666666 ,0.7393364928909952,211.0
Lateral elevation of arms                  ,0.8007312614259597 ,0.7877697841726619 ,0.8141263940520446,269.0
Frontal elevation of arms                  ,0.6449934980494149 ,0.511340206185567  ,0.8732394366197183,284.0
Frontal hand claps                         ,0.7672131147540984 ,0.670487106017192  ,0.896551724137931 ,261.0
Frontal crossing of arms                   ,0.8168557536466775 ,0.7899686520376176 ,0.8456375838926175,298.0
Shoulders high-amplitude rotation          ,0.7719928186714542 ,0.7095709570957096 ,0.8464566929133859,254.0
Shoulders low-amplitude rotation           ,0.4601366742596811 ,0.37407407407407406,0.5976331360946746,169.0
Arms inner rotation                        ,0.48806366047745353,0.33638025594149906,0.8888888888888888,207.0
Knees (alternating) to the breast          ,0.8099999999999999 ,0.8350515463917526 ,0.7864077669902912,103.0
Heels (alternatively) to the backside      ,0.8296943231441047 ,0.7916666666666666 ,0.8715596330275229,109.0
Knees bending (crouching)                  ,0.7458912768647282 ,0.6892523364485982 ,0.8126721763085399,363.0
Knees (alternating) bending forward        ,0.5589080459770115 ,0.40818467995802726,0.8861047835990888,439.0
Rotation on the knees                      ,0.6978851963746223 ,0.5448113207547169 ,0.9705882352941176,238.0
Rowing                                     ,0.8891069676153092 ,0.806049822064057  ,0.9912472647702407,457.0
Elliptical bike                            ,0.7344051446945338 ,0.6365663322185061 ,0.8677811550151976,658.0
Cycling                                    ,0.9608856088560885 ,0.9545454545454546 ,0.9673105497771174,673.0
accuracy                                   ,0.7543273391672276 ,0.7543273391672276 ,0.7543273391672276,0.7543273391672276
macro avg                                  ,0.696426233605874  ,0.6303963451220085 ,0.8518770086606134,41596.0
weighted avg                               ,0.790866124598803  ,0.8900287013245715 ,0.7543273391672276,41596.0
