Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.0575077540594782  ,0.8843995510662177  ,0.029720147846420762,53028.0
Band Pull-Down Row                 ,0.03206106870229008 ,0.018641810918774968,0.11444141689373295 ,367.0
Bicep Curl                         ,0.3091314031180401  ,0.26347760060744113 ,0.3739224137931034  ,928.0
Box Jump (on bench)                ,0.09694793536804308 ,0.0536779324055666  ,0.5                 ,54.0
Burpee                             ,0.10028744809964868 ,0.06506423539162867 ,0.2186629526462396  ,718.0
Butterfly sit-up                   ,0.13933236574746008 ,0.1808590806330068  ,0.113314447592068   ,2118.0
Chest Press                        ,0.1076086956521739  ,0.06937631394533987 ,0.2397094430992736  ,413.0
Crunch                             ,0.1305699481865285  ,0.0826048951048951  ,0.3113673805601318  ,607.0
Dip                                ,0.1700960219478738  ,0.10826542491268916 ,0.39658848614072495 ,469.0
Dumbbell Deadlift Row              ,0.1411530815109344  ,0.09739368998628258 ,0.2563176895306859  ,554.0
Dumbbell Row (both)                ,0.02257761053621825 ,0.0160857908847185  ,0.03785488958990536 ,634.0
Dumbbell Row (right)               ,0.061281337047353765,0.03499469777306469 ,0.2462686567164179  ,134.0
Dumbbell Squat (hands at side)     ,0.15882352941176472 ,0.09117221418234443 ,0.6156351791530945  ,614.0
Elliptical machine                 ,0.2726436781609196  ,0.25450643776824033 ,0.29356435643564355 ,2020.0
Punches                            ,0.4105754276827373  ,0.3223443223443224  ,0.5653104925053534  ,467.0
Jump Rope                          ,0.3716884143930408  ,0.3374012921751615  ,0.4137323943661972  ,1136.0
Jumping Jacks                      ,0.4069264069264069  ,0.3019271948608137  ,0.6238938053097345  ,226.0
Kettlebell Swing                   ,0.31130063965884863 ,0.20277777777777775 ,0.6697247706422018  ,436.0
Lateral Raise                      ,0.17228464419475656 ,0.10791788856304986 ,0.42691415313225056 ,431.0
Lawnmower (both)                   ,0.01438848920863309 ,0.007585335018963337,0.13953488372093026 ,43.0
Lawnmower (right)                  ,0.044110275689223065,0.026378896882494004,0.1345565749235474  ,327.0
Lunge (both legs)                  ,0.0763765541740675  ,0.05980528511821975 ,0.10565110565110564 ,814.0
Ball Slam                          ,0.2150719729043184  ,0.17092866756393002 ,0.2899543378995434  ,438.0
Triceps Extension (standing - both),0.3208751139471285  ,0.3365200764818356  ,0.30662020905923343 ,574.0
Plank                              ,0.1219595417986839  ,0.0663414116773612  ,0.7545235223160435  ,1658.0
Power Boat pose                    ,0.05609832965647653 ,0.029656781072975674,0.5174418604651163  ,344.0
Pushups                            ,0.13942071674030435 ,0.0993006993006993  ,0.2339373970345964  ,607.0
Rowing machine                     ,0.32556922271656635 ,0.3287526427061311  ,0.3224468636599274  ,1929.0
Running                            ,0.3498116760828625  ,0.3660098522167488  ,0.33498647430117223 ,2218.0
Russian Twist                      ,0.2110843373493976  ,0.1501028101439342  ,0.3555194805194805  ,616.0
Seated Back Fly                    ,0.05854241338112305 ,0.040229885057471264,0.1074561403508772  ,456.0
Shoulder Press                     ,0.11966701352757544 ,0.08075842696629214 ,0.2309236947791165  ,498.0
Squat                              ,0.014794889038332213,0.020586400499064253,0.011546536039188244,2858.0
Triceps Kickback                   ,0.07017543859649124 ,0.07680945347119646 ,0.06459627329192548 ,805.0
Triceps extension (lying)          ,0.26060606060606056 ,0.1826677994902294  ,0.4545454545454545  ,473.0
Dumbbell Curl                      ,0.2898032200357782  ,0.23846908734052996 ,0.36930091185410335 ,658.0
V-up                               ,0.25570342205323193 ,0.1829931972789116  ,0.4242902208201893  ,634.0
Walk                               ,0.35671256454388983 ,0.2992239667929977  ,0.4415446071904128  ,3755.0
Walking lunge                      ,0.1847774054571565  ,0.12979152656355078 ,0.32059800664451826 ,602.0
Wall Ball                          ,0.12922705314009664 ,0.08087679516250945 ,0.3213213213213213  ,333.0
Wall Squat                         ,0.03403244954491492 ,0.02437641723356009 ,0.0563564875491481  ,763.0
accuracy                           ,0.1377986790691241  ,0.1377986790691241  ,0.1377986790691241  ,0.1377986790691241
macro avg                          ,0.17369769684382513 ,0.15831837964246198 ,0.3108437912168325  ,86757.0
weighted avg                       ,0.11486546541917905 ,0.609954543215298   ,0.1377986790691241  ,86757.0
