Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8024982971924477  ,0.7784282880787908 ,0.8281043545073021  ,343598.0
Band Pull-Down Row                 ,0.15593908629441625 ,0.1515988945913936 ,0.1605351170568562  ,2392.0
Bicep Curl                         ,0.3040350877192983  ,0.3195648165222202 ,0.28994478835536225 ,5977.0
Box Jump (on bench)                ,0.04422604422604423 ,0.03870967741935484,0.051575931232091685,349.0
Burpee                             ,0.23773239865894544 ,0.2249567390886368 ,0.2520465316673847  ,4642.0
Butterfly sit-up                   ,0.3407614082748999  ,0.3432946223833124 ,0.338265306122449   ,13720.0
Chest Press                        ,0.34443123265953235 ,0.36651202024462254,0.32485981308411216 ,2675.0
Crunch                             ,0.1910270880361174  ,0.21369949494949492,0.17270408163265305 ,3920.0
Dip                                ,0.3378221113881962  ,0.3410540449815374 ,0.3346508563899868  ,3036.0
Dumbbell Deadlift Row              ,0.18202764976958524 ,0.18888224745965326,0.17565314063368534 ,3598.0
Dumbbell Row (both)                ,0.14572802367155716 ,0.14871665827881228,0.14285714285714285 ,4137.0
Dumbbell Row (right)               ,0.052225519287833824,0.05244338498212157,0.05200945626477541 ,846.0
Dumbbell Squat (hands at side)     ,0.28979203479679216 ,0.31585185185185183,0.26770467101958817 ,3982.0
Elliptical machine                 ,0.6370506450670118  ,0.7029392794618999 ,0.5824553366926248  ,13098.0
Punches                            ,0.5713809761785774  ,0.5770524899057874 ,0.5658198614318707  ,3031.0
Jump Rope                          ,0.5300392264813159  ,0.5374738311235171 ,0.5228074938908499  ,7366.0
Jumping Jacks                      ,0.6560917988525143  ,0.6407382992748847 ,0.6721991701244814  ,1446.0
Kettlebell Swing                   ,0.5021129466000769  ,0.5439034540158135 ,0.4662861220121299  ,2803.0
Lateral Raise                      ,0.1852930469603203  ,0.18943059173799776,0.1813323833273958  ,2807.0
Lawnmower (both)                   ,0.003824091778202677,0.00425531914893617,0.003472222222222222,288.0
Lawnmower (right)                  ,0.11717458067564375 ,0.11787072243346007,0.11648661343353688 ,2129.0
Lunge (both legs)                  ,0.17773689052437902 ,0.17265415549597854,0.18312796208530804 ,5275.0
Ball Slam                          ,0.18555085409810376 ,0.16666666666666666,0.20926122304701308 ,2829.0
Triceps Extension (standing - both),0.4936147331630596  ,0.4920932725810774 ,0.4951456310679612  ,3708.0
Plank                              ,0.6025923459193607  ,0.6734997709573981 ,0.5451932882172986  ,10787.0
Power Boat pose                    ,0.4646124217621569  ,0.5023425299323269 ,0.43215405284370795 ,2233.0
Pushups                            ,0.3743143812709031  ,0.3903459821428572 ,0.3595476741197636  ,3891.0
Rowing machine                     ,0.37403760907097205 ,0.4477711987487432 ,0.3211538461538462  ,12480.0
Running                            ,0.655363450455475   ,0.7040262022687329 ,0.6129929748904499  ,14377.0
Russian Twist                      ,0.22104003191913812 ,0.2374964275507288 ,0.20671641791044776 ,4020.0
Seated Back Fly                    ,0.18711817071042067 ,0.1932227829848594 ,0.18138747884940776 ,2955.0
Shoulder Press                     ,0.4257746261754278  ,0.4240098249923242 ,0.42755417956656333 ,3230.0
Squat                              ,0.4318328606329505  ,0.450307467057101  ,0.4148144151920587  ,18536.0
Triceps Kickback                   ,0.2658959537572255  ,0.2763621296871763 ,0.25619358555790284 ,5207.0
Triceps extension (lying)          ,0.3035470668485675  ,0.3191107923987092 ,0.2894308943089431  ,3075.0
Dumbbell Curl                      ,0.30926083262531856 ,0.3236788617886179 ,0.2960725075528701  ,4303.0
V-up                               ,0.3236484001471129  ,0.3232916972814107 ,0.3240058910162003  ,4074.0
Walk                               ,0.4005731197444449  ,0.4674121580880338 ,0.3504582631211212  ,24331.0
Walking lunge                      ,0.18901596078924215 ,0.18683229813664595,0.19125127161749747 ,3932.0
Wall Ball                          ,0.3718990120746433  ,0.3539490179690765 ,0.3917668825161888  ,2162.0
Wall Squat                         ,0.14956599154239927 ,0.16608996539792387,0.1360323886639676  ,4940.0
accuracy                           ,0.6476889280219145  ,0.6476889280219145 ,0.6476889280219145  ,0.6476889280219145
macro avg                          ,0.3302001953122105  ,0.3431351202453778 ,0.3201471029818785  ,562185.0
weighted avg                       ,0.6406752407860721  ,0.6367926112375412 ,0.6476889280219145  ,562185.0
