Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.8330640568644407 ,0.8058976681929108  ,0.8621258687528376  ,114532.0
Band Pull-Down Row                 ,0.263465282284231  ,0.2728494623655914  ,0.2547051442910916  ,797.0
Bicep Curl                         ,0.44171779141104295,0.4504692387904067  ,0.4332998996990973  ,1994.0
Box Jump (on bench)                ,0.02985074626865672,0.026490066225165563,0.034188034188034185,117.0
Burpee                             ,0.29465697122984497,0.2878319950586782  ,0.3018134715025907  ,1544.0
Butterfly sit-up                   ,0.4362913029063985 ,0.4405266681544298  ,0.4321366024518389  ,4568.0
Chest Press                        ,0.428400954653938  ,0.4584929757343551  ,0.4020156774916013  ,893.0
Crunch                             ,0.34512887723896896,0.4030612244897959  ,0.3017570664629488  ,1309.0
Dip                                ,0.44467213114754106,0.4621938232161874  ,0.4284304047384008  ,1013.0
Dumbbell Deadlift Row              ,0.2460281434407626 ,0.2696517412935324  ,0.2262103505843072  ,1198.0
Dumbbell Row (both)                ,0.16173120728929385,0.1695859872611465  ,0.15457184325108853 ,1378.0
Dumbbell Row (right)               ,0.1234991423670669 ,0.12                ,0.127208480565371   ,283.0
Dumbbell Squat (hands at side)     ,0.3957568339453285 ,0.4311111111111111  ,0.365761689291101   ,1326.0
Elliptical machine                 ,0.6527865938809192 ,0.7322700085445742  ,0.5888685295464956  ,4366.0
Punches                            ,0.6504618376276131 ,0.6377502383222117  ,0.6636904761904762  ,1008.0
Jump Rope                          ,0.5464256368118324 ,0.5511811023622047  ,0.5417515274949084  ,2455.0
Jumping Jacks                      ,0.7564655172413792 ,0.7923250564334086  ,0.7237113402061855  ,485.0
Kettlebell Swing                   ,0.5551411827384124 ,0.5542553191489362  ,0.5560298826040555  ,937.0
Lateral Raise                      ,0.2455573505654281 ,0.2480957562568009  ,0.24307036247334754 ,938.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,96.0
Lawnmower (right)                  ,0.14457831325301204,0.1553398058252427  ,0.1352112676056338  ,710.0
Lunge (both legs)                  ,0.22090729783037474,0.21875             ,0.22310756972111556 ,1757.0
Ball Slam                          ,0.2656617993405558 ,0.23898305084745766 ,0.2990455991516437  ,943.0
Triceps Extension (standing - both),0.5519480519480519 ,0.5541972290138549  ,0.549717057396928   ,1237.0
Plank                              ,0.6354445435622956 ,0.6818761965539247  ,0.5949331848552338  ,3592.0
Power Boat pose                    ,0.5035360678925035 ,0.5337331334332833  ,0.4765729585006693  ,747.0
Pushups                            ,0.5609157808667211 ,0.5991266375545852  ,0.5272867025365103  ,1301.0
Rowing machine                     ,0.5554465161923454 ,0.6661062542030934  ,0.476316422216879   ,4159.0
Running                            ,0.7202881152460985 ,0.7551487414187643  ,0.6885040684331316  ,4793.0
Russian Twist                      ,0.2536261914629093 ,0.2841225626740947  ,0.2290419161676647  ,1336.0
Seated Back Fly                    ,0.2487778381314503 ,0.2668997668997669  ,0.23296032553407936 ,983.0
Shoulder Press                     ,0.5164628410159925 ,0.5213675213675214  ,0.5116495806150979  ,1073.0
Squat                              ,0.5145425252268295 ,0.5409163843822429  ,0.490620957309185   ,6184.0
Triceps Kickback                   ,0.3849397590361446 ,0.4039190897597977  ,0.3676639815880322  ,1738.0
Triceps extension (lying)          ,0.4014598540145986 ,0.4311310190369541  ,0.37560975609756103 ,1025.0
Dumbbell Curl                      ,0.4541300527240773 ,0.4591329068941009  ,0.4492350486787205  ,1438.0
V-up                               ,0.4010079193664507 ,0.3919774806474314  ,0.41046425939572573 ,1357.0
Walk                               ,0.5066318764948902 ,0.6144514767932491  ,0.4310025897151313  ,8109.0
Walking lunge                      ,0.2619984264358773 ,0.27051177904142976 ,0.2540045766590389  ,1311.0
Wall Ball                          ,0.5303225806451612 ,0.4945848375451263  ,0.5716272600834492  ,719.0
Wall Squat                         ,0.2003865979381443 ,0.21330589849108367 ,0.18894289185905225 ,1646.0
accuracy                           ,0.6986312334907548 ,0.6986312334907548  ,0.6986312334907548  ,0.6986312334907548
macro avg                          ,0.4069296221594532 ,0.4246249076913281  ,0.39328938111966494 ,187395.0
weighted avg                       ,0.6916749280158643 ,0.6890407328743249  ,0.6986312334907548  ,187395.0
