Unnamed: 0                         ,f1-score            ,precision          ,recall             ,support
Noise                              ,0.8355769796014344  ,0.8091614641644054 ,0.8637753965199425 ,98734.0
Band Pull-Down Row                 ,0.3271604938271605  ,0.3481116584564861 ,0.3085880640465793 ,687.0
Bicep Curl                         ,0.4236395552954945  ,0.4258823529411765 ,0.4214202561117579 ,1718.0
Box Jump (on bench)                ,0.026200873362445417,0.02325581395348837,0.03               ,100.0
Burpee                             ,0.32451499118165783 ,0.3062583222370173 ,0.345086271567892  ,1333.0
Butterfly sit-up                   ,0.4573772593257275  ,0.4626556016597511 ,0.4522179974651458 ,3945.0
Chest Press                        ,0.3948863636363636  ,0.43302180685358255,0.3629242819843342 ,766.0
Crunch                             ,0.4420839656044512  ,0.5141176470588236 ,0.3877551020408163 ,1127.0
Dip                                ,0.4654761904761905  ,0.4845105328376704 ,0.44788087056128295,873.0
Dumbbell Deadlift Row              ,0.26726726726726724 ,0.2772585669781931 ,0.2579710144927536 ,1035.0
Dumbbell Row (both)                ,0.16733422340898976 ,0.1776937618147448 ,0.1581160639192599 ,1189.0
Dumbbell Row (right)               ,0.08565310492505353 ,0.08888888888888889,0.08264462809917356,242.0
Dumbbell Squat (hands at side)     ,0.4505021520803443  ,0.4989406779661017 ,0.4106364428945074 ,1147.0
Elliptical machine                 ,0.6561949500880799  ,0.7342312746386334 ,0.5931528662420382 ,3768.0
Punches                            ,0.7072428484479609  ,0.7516170763260026 ,0.6678160919540229 ,870.0
Jump Rope                          ,0.5896061524120252  ,0.5821445006902899 ,0.597261567516525  ,2118.0
Jumping Jacks                      ,0.7385786802030455  ,0.782258064516129  ,0.6995192307692307 ,416.0
Kettlebell Swing                   ,0.5508905852417302  ,0.5645371577574967 ,0.537888198757764  ,805.0
Lateral Raise                      ,0.20160213618157544 ,0.21852387843704776,0.18711276332094176,807.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                ,83.0
Lawnmower (right)                  ,0.15439856373429087 ,0.1702970297029703 ,0.1412151067323481 ,609.0
Lunge (both legs)                  ,0.26857142857142857 ,0.2596685082872928 ,0.2781065088757396 ,1521.0
Ball Slam                          ,0.35059331175836034 ,0.3121998078770413 ,0.3997539975399754 ,813.0
Triceps Extension (standing - both),0.5919407132931913  ,0.5846294602012809 ,0.5994371482176359 ,1066.0
Plank                              ,0.6514701024116286  ,0.6662162162162162 ,0.6373626373626373 ,3094.0
Power Boat pose                    ,0.4918032786885246  ,0.5190311418685121 ,0.4672897196261682 ,642.0
Pushups                            ,0.5645933014354068  ,0.609504132231405  ,0.5258467023172906 ,1122.0
Rowing machine                     ,0.5895498898331759  ,0.6759292674124865 ,0.5227463019815797 ,3583.0
Running                            ,0.6788349514563107  ,0.7301587301587301 ,0.6342525399129173 ,4134.0
Russian Twist                      ,0.2643089809213588  ,0.28514056224899603,0.2463139635732871 ,1153.0
Seated Back Fly                    ,0.26675015654351913 ,0.2855227882037534 ,0.2502937720329025 ,851.0
Shoulder Press                     ,0.5072463768115942  ,0.5266203703703703 ,0.48924731182795705,930.0
Squat                              ,0.535437760571769   ,0.5675505050505051 ,0.5067643742953777 ,5322.0
Triceps Kickback                   ,0.41215050051777696 ,0.42491103202846975,0.40013404825737264,1492.0
Triceps extension (lying)          ,0.4441671865252651  ,0.4944444444444445 ,0.4031710079275198 ,883.0
Dumbbell Curl                      ,0.4417077175697865  ,0.4483333333333333 ,0.4352750809061489 ,1236.0
V-up                               ,0.4567796610169492  ,0.4533221194280908 ,0.4602903501280957 ,1171.0
Walk                               ,0.4898849995802904  ,0.5928484355952864 ,0.4173937920183092 ,6991.0
Walking lunge                      ,0.2713754646840149  ,0.28627450980392155,0.2579505300353357 ,1132.0
Wall Ball                          ,0.5577812018489985  ,0.534711964549483  ,0.5829307568438004 ,621.0
Wall Squat                         ,0.22198120028922635 ,0.2277448071216617 ,0.2165021156558533 ,1418.0
accuracy                           ,0.7048289352324709  ,0.7048289352324709 ,0.7048289352324709 ,0.7048289352324709
macro avg                          ,0.4225150126982893  ,0.4423933710807362 ,0.4069279237642005 ,161547.0
weighted avg                       ,0.6982389631423687  ,0.6957091300681805 ,0.7048289352324709 ,161547.0
