Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8534301428771754 ,0.8313955253331714 ,0.8766645326504482 ,31240.0
Band Pull-Down Row                 ,0.26666666666666666,0.2872340425531915 ,0.2488479262672811 ,217.0
Bicep Curl                         ,0.4408310749774165 ,0.4341637010676157 ,0.4477064220183487 ,545.0
Box Jump (on bench)                ,0.15151515151515152,0.14705882352941174,0.15625            ,32.0
Burpee                             ,0.4534606205250597 ,0.4523809523809524 ,0.4545454545454545 ,418.0
Butterfly sit-up                   ,0.5848903330625508 ,0.5935696619950536 ,0.5764611689351481 ,1249.0
Chest Press                        ,0.475              ,0.4769874476987448 ,0.4730290456431535 ,241.0
Crunch                             ,0.3877862595419848 ,0.4233333333333333 ,0.35774647887323946,355.0
Dip                                ,0.4504504504504505 ,0.4480286738351255 ,0.4528985507246377 ,276.0
Dumbbell Deadlift Row              ,0.32597623089983024,0.36641221374045796,0.29357798165137616,327.0
Dumbbell Row (both)                ,0.21465968586387435,0.20971867007672634,0.2198391420911528 ,373.0
Dumbbell Row (right)               ,0.12422360248447205,0.12048192771084335,0.1282051282051282 ,78.0
Dumbbell Squat (hands at side)     ,0.5321375186846039 ,0.5760517799352751 ,0.4944444444444445 ,360.0
Elliptical machine                 ,0.6079254079254078 ,0.6848739495798319 ,0.5465213746856664 ,1193.0
Punches                            ,0.7421150278293135 ,0.7490636704119851 ,0.7352941176470589 ,272.0
Jump Rope                          ,0.6352605281941469 ,0.6079234972677595 ,0.6651718983557549 ,669.0
Jumping Jacks                      ,0.6850393700787399 ,0.7073170731707317 ,0.6641221374045801 ,131.0
Kettlebell Swing                   ,0.5029239766081871 ,0.50390625         ,0.5019455252918288 ,257.0
Lateral Raise                      ,0.3290598290598291 ,0.3615023474178404 ,0.3019607843137255 ,255.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                ,25.0
Lawnmower (right)                  ,0.17464788732394365,0.191358024691358  ,0.16062176165803108,193.0
Lunge (both legs)                  ,0.3726708074534161 ,0.371900826446281  ,0.3734439834024896 ,482.0
Ball Slam                          ,0.4013961605584643 ,0.36507936507936506,0.4457364341085272 ,258.0
Triceps Extension (standing - both),0.6311111111111111 ,0.6283185840707964 ,0.6339285714285714 ,336.0
Plank                              ,0.6183324702226825 ,0.6271008403361344 ,0.609805924412666  ,979.0
Power Boat pose                    ,0.4745762711864406 ,0.4688995215311005 ,0.4803921568627451 ,204.0
Pushups                            ,0.5638766519823788 ,0.5835866261398176 ,0.5454545454545454 ,352.0
Rowing machine                     ,0.5703896103896104 ,0.6958174904942965 ,0.483274647887324  ,1136.0
Running                            ,0.668065463701217  ,0.738404452690167  ,0.6099616858237548 ,1305.0
Russian Twist                      ,0.3294892915980231 ,0.4132231404958678 ,0.273972602739726  ,365.0
Seated Back Fly                    ,0.23220973782771534,0.2330827067669173 ,0.23134328358208955,268.0
Shoulder Press                     ,0.5878260869565217 ,0.6057347670250897 ,0.5709459459459459 ,296.0
Squat                              ,0.5431949075477417 ,0.5572139303482587 ,0.5298639858072147 ,1691.0
Triceps Kickback                   ,0.3811563169164882 ,0.3877995642701525 ,0.3747368421052632 ,475.0
Triceps extension (lying)          ,0.44015444015444016,0.475              ,0.4100719424460432 ,278.0
Dumbbell Curl                      ,0.44836272040302266,0.44168734491315137,0.4552429667519182 ,391.0
V-up                               ,0.607242339832869  ,0.6264367816091954 ,0.5891891891891892 ,370.0
Walk                               ,0.6574531095755182 ,0.7231270358306189 ,0.6027149321266968 ,2210.0
Walking lunge                      ,0.4233576642335766 ,0.4434250764525994 ,0.40502793296089373,358.0
Wall Ball                          ,0.6084656084656085 ,0.6460674157303371 ,0.575              ,200.0
Wall Squat                         ,0.2654867256637168 ,0.26258205689277897,0.2684563758389262 ,447.0
accuracy                           ,0.7302326491478662 ,0.7302326491478662 ,0.7302326491478662 ,0.7302326491478662
macro avg                          ,0.4576296892768138 ,0.4748109534842032 ,0.4444979957141704 ,51107.0
weighted avg                       ,0.7254642951068934 ,0.7240116241150375 ,0.7302326491478662 ,51107.0
