Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.8174620522161508  ,0.7650120460020908  ,0.8776335002085941  ,76704.0
Band Pull-Down Row                 ,0.027477919528949957,0.028925619834710745,0.026168224299065426,535.0
Bicep Curl                         ,0.3605236656596173  ,0.3268411442483262  ,0.4019461077844311  ,1336.0
Box Jump (on bench)                ,0.25                ,0.24390243902439024 ,0.2564102564102564  ,78.0
Burpee                             ,0.1158129175946548  ,0.13612565445026178 ,0.1007751937984496  ,1032.0
Butterfly sit-up                   ,0.4017467248908297  ,0.4809090909090909  ,0.34496250407564394 ,3067.0
Chest Press                        ,0.09418282548476456 ,0.10515463917525772 ,0.08528428093645485 ,598.0
Crunch                             ,0.3065134099616858  ,0.4672897196261682  ,0.2280501710376283  ,877.0
Dip                                ,0.2980694980694981  ,0.3138211382113821  ,0.2838235294117647  ,680.0
Dumbbell Deadlift Row              ,0.14977307110438728 ,0.19038461538461535 ,0.12344139650872818 ,802.0
Dumbbell Row (both)                ,0.08803471791692499 ,0.10289855072463767 ,0.07692307692307693 ,923.0
Dumbbell Row (right)               ,0.07807807807807808 ,0.0896551724137931  ,0.06914893617021277 ,188.0
Dumbbell Squat (hands at side)     ,0.22959889349930845 ,0.29695885509839004 ,0.1871476888387824  ,887.0
Elliptical machine                 ,0.5852500370974922  ,0.5167714884696016  ,0.674649332877181   ,2923.0
Punches                            ,0.4137404580152672  ,0.4281200631911533  ,0.4002954209748893  ,677.0
Jump Rope                          ,0.4514285714285714  ,0.4714854111405836  ,0.4330085261875761  ,1642.0
Jumping Jacks                      ,0.6085526315789473  ,0.6537102473498233  ,0.5692307692307692  ,325.0
Kettlebell Swing                   ,0.5293644408688657  ,0.5349593495934959  ,0.5238853503184714  ,628.0
Lateral Raise                      ,0.2325102880658436  ,0.32753623188405795 ,0.18022328548644334 ,627.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,64.0
Lawnmower (right)                  ,0.07747489239598278 ,0.12162162162162166 ,0.0568421052631579  ,475.0
Lunge (both legs)                  ,0.15440041173443128 ,0.19556714471968709 ,0.12755102040816327 ,1176.0
Ball Slam                          ,0.343297974927676   ,0.43950617283950616 ,0.2816455696202532  ,632.0
Triceps Extension (standing - both),0.4399460188933873  ,0.4969512195121951  ,0.3946731234866828  ,826.0
Plank                              ,0.4210039324543141  ,0.4764397905759162  ,0.3771239121425611  ,2413.0
Power Boat pose                    ,0.17795484727755645 ,0.2607003891050584  ,0.1350806451612903  ,496.0
Pushups                            ,0.2898172323759791  ,0.33383458646616543 ,0.2560553633217993  ,867.0
Rowing machine                     ,0.4970317297850563  ,0.5786463298379408  ,0.4355938284894152  ,2787.0
Running                            ,0.5349974700624052  ,0.582659808963997   ,0.4945431867789211  ,3207.0
Russian Twist                      ,0.3187035786630655  ,0.4068965517241379  ,0.2619311875693674  ,901.0
Seated Back Fly                    ,0.1511500547645126  ,0.27058823529411763 ,0.10486322188449848 ,658.0
Shoulder Press                     ,0.11567164179104478 ,0.1751412429378531  ,0.08635097493036213 ,718.0
Squat                              ,0.27550554964269425 ,0.3700980392156863  ,0.21942358924679095 ,4129.0
Triceps Kickback                   ,0.3318129988597492  ,0.4915540540540541  ,0.2504302925989673  ,1162.0
Triceps extension (lying)          ,0.3666961913197519  ,0.4683257918552036  ,0.30131004366812225 ,687.0
Dumbbell Curl                      ,0.3131253678634491  ,0.35897435897435903 ,0.2776617954070981  ,958.0
V-up                               ,0.424037812288994   ,0.5518453427065027  ,0.3442982456140351  ,912.0
Walk                               ,0.5151694247438928  ,0.5541428268700996  ,0.48131787226210204 ,5433.0
Walking lunge                      ,0.18933333333333333 ,0.2261146496815287  ,0.1628440366972477  ,872.0
Wall Ball                          ,0.14529914529914528 ,0.2328767123287671  ,0.10559006211180123 ,483.0
Wall Squat                         ,0.08388814913448735 ,0.1575              ,0.05716878402903811 ,1102.0
accuracy                           ,0.6640289432371481  ,0.6640289432371481  ,0.6640289432371481  ,0.6640289432371481
macro avg                          ,0.29766921850416456 ,0.34708405721990804 ,0.2696416198090267  ,125487.0
weighted avg                       ,0.6394198298131957  ,0.6276873811281537  ,0.6640289432371481  ,125487.0
