Unnamed: 0                         ,f1-score            ,precision          ,recall             ,support
Noise                              ,0.8199797401573198  ,0.7695497932724209 ,0.8774827209894507 ,68725.0
Band Pull-Down Row                 ,0.027118644067796613,0.0297029702970297 ,0.02494802494802495,481.0
Bicep Curl                         ,0.3644477500929713  ,0.3281982585398526 ,0.4096989966555184 ,1196.0
Box Jump (on bench)                ,0.2786885245901639  ,0.3269230769230769 ,0.24285714285714285,70.0
Burpee                             ,0.15596880623875226 ,0.1771117166212534 ,0.13933547695605572,933.0
Butterfly sit-up                   ,0.4126122363750261  ,0.482657547630679  ,0.3603209336250912 ,2742.0
Chest Press                        ,0.13814432989690725 ,0.15261958997722094,0.12617702448210924,531.0
Crunch                             ,0.28694900605012963 ,0.4486486486486487 ,0.21092757306226176,787.0
Dip                                ,0.3016006739679865  ,0.3096885813148789 ,0.2939244663382594 ,609.0
Dumbbell Deadlift Row              ,0.15004122011541632 ,0.18609406952965235,0.12569060773480664,724.0
Dumbbell Row (both)                ,0.0821529745042493  ,0.09830508474576273,0.0705596107055961 ,822.0
Dumbbell Row (right)               ,0.09803921568627452 ,0.10948905109489053,0.08875739644970414,169.0
Dumbbell Squat (hands at side)     ,0.20826709062003174 ,0.2841648590021692 ,0.164366373902133  ,797.0
Elliptical machine                 ,0.563182781672917   ,0.491043502985499  ,0.6601681957186545 ,2616.0
Punches                            ,0.4293193717277488  ,0.4538745387453874 ,0.40728476821192056,604.0
Jump Rope                          ,0.43542695836273815 ,0.4536764705882353 ,0.4185888738127544 ,1474.0
Jumping Jacks                      ,0.6217228464419475  ,0.680327868852459  ,0.5724137931034483 ,290.0
Kettlebell Swing                   ,0.5828054298642534  ,0.5930018416206262 ,0.5729537366548043 ,562.0
Lateral Raise                      ,0.2695852534562212  ,0.3786407766990291 ,0.20930232558139536,559.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                ,57.0
Lawnmower (right)                  ,0.08130081300813008 ,0.13227513227513227,0.05868544600938967,426.0
Lunge (both legs)                  ,0.1743810548977395  ,0.2025             ,0.15311909262759926,1058.0
Ball Slam                          ,0.4016824395373291  ,0.4961038961038961 ,0.3374558303886926 ,566.0
Triceps Extension (standing - both),0.4639175257731959  ,0.5155482815057283 ,0.42168674698795183,747.0
Plank                              ,0.4151832460732984  ,0.4751348112642301 ,0.3686657368665737 ,2151.0
Power Boat pose                    ,0.1906116642958748  ,0.2586872586872587 ,0.15090090090090091,444.0
Pushups                            ,0.2945848375451263  ,0.3377483443708609 ,0.2612035851472471 ,781.0
Rowing machine                     ,0.4751659418631266  ,0.5536             ,0.4161988773055333 ,2494.0
Running                            ,0.5176734617542548  ,0.5603238866396761 ,0.48105665623913796,2877.0
Russian Twist                      ,0.30769230769230765 ,0.3945841392649903 ,0.2521631644004944 ,809.0
Seated Back Fly                    ,0.1330049261083744  ,0.24215246636771304,0.09168081494057724,589.0
Shoulder Press                     ,0.09164969450101833 ,0.13392857142857142,0.0696594427244582 ,646.0
Squat                              ,0.30038085775790696 ,0.38843683083511776,0.24487041036717064,3704.0
Triceps Kickback                   ,0.33918128654970764 ,0.5230460921843687 ,0.2509615384615385 ,1040.0
Triceps extension (lying)          ,0.3925049309664694  ,0.4975             ,0.3241042345276873 ,614.0
Dumbbell Curl                      ,0.30483764082173626 ,0.3549382716049383 ,0.2671312427409989 ,861.0
V-up                               ,0.4461979913916786  ,0.5343642611683849 ,0.3830049261083744 ,812.0
Walk                               ,0.5415933098591549  ,0.5830371949774935 ,0.5056502979247997 ,4867.0
Walking lunge                      ,0.18236173393124064 ,0.21981981981981985,0.1558109833971903 ,783.0
Wall Ball                          ,0.1796042617960426  ,0.26222222222222225,0.13657407407407407,432.0
Wall Squat                         ,0.08616780045351476 ,0.1701492537313433 ,0.0576923076923077 ,988.0
accuracy                           ,0.6664443199302721  ,0.6664443199302721 ,0.6664443199302721 ,0.6664443199302721
macro avg                          ,0.3059934287918556  ,0.3558492434522078 ,0.27717156955175193,112437.0
weighted avg                       ,0.6430909379080857  ,0.6319601950781628 ,0.6664443199302721 ,112437.0
