Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8255435792603606  ,0.7797867204985298 ,0.8770050836582597  ,40522.0
Band Pull-Down Row                 ,0.015686274509803925,0.01762114537444934,0.01413427561837456 ,283.0
Bicep Curl                         ,0.3691496374423204  ,0.3431372549019608 ,0.3994293865905849  ,701.0
Box Jump (on bench)                ,0.40540540540540543 ,0.46875            ,0.35714285714285715 ,42.0
Burpee                             ,0.17874875868917575 ,0.1965065502183406 ,0.16393442622950818 ,549.0
Butterfly sit-up                   ,0.480435522286492   ,0.53444360333081   ,0.4363411619283066  ,1618.0
Chest Press                        ,0.12456747404844293 ,0.13688212927756654,0.11428571428571427 ,315.0
Crunch                             ,0.22809457579972184 ,0.3215686274509804 ,0.17672413793103448 ,464.0
Dip                                ,0.34188034188034183 ,0.3488372093023256 ,0.33519553072625696 ,358.0
Dumbbell Deadlift Row              ,0.1282401091405184  ,0.15210355987055016,0.1108490566037736  ,424.0
Dumbbell Row (both)                ,0.096               ,0.10852713178294572,0.0860655737704918  ,488.0
Dumbbell Row (right)               ,0.0510204081632653  ,0.05154639175257732,0.0505050505050505  ,99.0
Dumbbell Squat (hands at side)     ,0.21298701298701292 ,0.274247491638796  ,0.1740976645435244  ,471.0
Elliptical machine                 ,0.5527693579498485  ,0.4810551558752997 ,0.6496113989637305  ,1544.0
Punches                            ,0.42467718794835    ,0.4352941176470588 ,0.41456582633053213 ,357.0
Jump Rope                          ,0.4537712895377129  ,0.4819121447028424 ,0.428735632183908   ,870.0
Jumping Jacks                      ,0.5942492012779552  ,0.6549295774647887 ,0.543859649122807   ,171.0
Kettlebell Swing                   ,0.6294573643410853  ,0.6464968152866242 ,0.6132930513595166  ,331.0
Lateral Raise                      ,0.2906309751434035  ,0.3917525773195876 ,0.23100303951367784 ,329.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,34.0
Lawnmower (right)                  ,0.07874015748031496 ,0.1153846153846154 ,0.059760956175298814,251.0
Lunge (both legs)                  ,0.2349914236706689  ,0.25183823529411764,0.2202572347266881  ,622.0
Ball Slam                          ,0.3823529411764706  ,0.4254545454545455 ,0.34718100890207715 ,337.0
Triceps Extension (standing - both),0.4882280049566295  ,0.5281501340482574 ,0.4539170506912442  ,434.0
Plank                              ,0.412571934484285   ,0.4735772357723577 ,0.36549019607843136 ,1275.0
Power Boat pose                    ,0.2118226600985222  ,0.30935251798561153,0.16104868913857678 ,267.0
Pushups                            ,0.2550505050505051  ,0.2997032640949555 ,0.221978021978022   ,455.0
Rowing machine                     ,0.4580838323353293  ,0.5091514143094842 ,0.4163265306122449  ,1470.0
Running                            ,0.5679167979829813  ,0.6100203114421124 ,0.53125             ,1696.0
Russian Twist                      ,0.3426395939086295  ,0.4299363057324841 ,0.2848101265822785  ,474.0
Seated Back Fly                    ,0.1728395061728395  ,0.3088235294117647 ,0.12                ,350.0
Shoulder Press                     ,0.07773851590106008 ,0.1176470588235294 ,0.058047493403693924,379.0
Squat                              ,0.3167991230474103  ,0.39561943874058864,0.2641681901279708  ,2188.0
Triceps Kickback                   ,0.34255319148936164 ,0.48640483383685795,0.26436781609195403 ,609.0
Triceps extension (lying)          ,0.38666666666666666 ,0.4813278008298755 ,0.3231197771587744  ,359.0
Dumbbell Curl                      ,0.3515541264737407  ,0.3895486935866984 ,0.3203125           ,512.0
V-up                               ,0.4906542056074766  ,0.5540897097625329 ,0.440251572327044   ,477.0
Walk                               ,0.583996966249526   ,0.6405990016638935 ,0.5365853658536586  ,2870.0
Walking lunge                      ,0.1857142857142857  ,0.20580474934036935,0.16919739696312364 ,461.0
Wall Ball                          ,0.1702127659574468  ,0.2195121951219512 ,0.138996138996139   ,259.0
Wall Squat                         ,0.10119840213049268 ,0.2222222222222222 ,0.06551724137931035 ,580.0
accuracy                           ,0.673534957387435   ,0.673534957387435  ,0.673534957387435   ,0.673534957387435
macro avg                          ,0.3174546361552649  ,0.36096502479402104,0.2912039469315717  ,66295.0
weighted avg                       ,0.6531599065782433  ,0.6428172322088467 ,0.673534957387435   ,66295.0
