Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8240294878833033 ,0.7766542487138549 ,0.8775598837403534 ,29933.0
Band Pull-Down Row                 ,0.03773584905660378,0.04294478527607362,0.03365384615384615,208.0
Bicep Curl                         ,0.37681159420289856,0.3561643835616438 ,0.4                ,520.0
Box Jump (on bench)                ,0.3773584905660377 ,0.43478260869565216,0.3333333333333333 ,30.0
Burpee                             ,0.1842105263157895 ,0.19498607242339835,0.1745635910224439 ,401.0
Butterfly sit-up                   ,0.5027472527472527 ,0.5579268292682927 ,0.4575             ,1200.0
Chest Press                        ,0.15695067264573992,0.1650943396226415 ,0.14957264957264954,234.0
Crunch                             ,0.25               ,0.35714285714285715,0.19230769230769232,338.0
Dip                                ,0.3385214007782101 ,0.3522267206477733 ,0.3258426966292135 ,267.0
Dumbbell Deadlift Row              ,0.0967117988394584 ,0.12077294685990338,0.08064516129032258,310.0
Dumbbell Row (both)                ,0.10862619808306707,0.12830188679245286,0.09418282548476456,361.0
Dumbbell Row (right)               ,0.09230769230769233,0.10526315789473684,0.0821917808219178 ,73.0
Dumbbell Squat (hands at side)     ,0.2482269503546099 ,0.3225806451612903 ,0.2017291066282421 ,347.0
Elliptical machine                 ,0.5580524344569289 ,0.4862924281984334 ,0.6546572934973638 ,1138.0
Punches                            ,0.4784313725490196 ,0.5                ,0.4586466165413534 ,266.0
Jump Rope                          ,0.4974619289340101 ,0.5444444444444444 ,0.4579439252336449 ,642.0
Jumping Jacks                      ,0.6307053941908713 ,0.6725663716814161 ,0.59375            ,128.0
Kettlebell Swing                   ,0.6346555323590815 ,0.6413502109704642 ,0.628099173553719  ,242.0
Lateral Raise                      ,0.2588832487309645 ,0.34               ,0.20901639344262296,244.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                ,25.0
Lawnmower (right)                  ,0.05797101449275361,0.08888888888888889,0.04301075268817205,186.0
Lunge (both legs)                  ,0.23429951690821255,0.2657534246575343 ,0.20950323974082075,463.0
Ball Slam                          ,0.4243792325056433 ,0.4795918367346938 ,0.3805668016194332 ,247.0
Triceps Extension (standing - both),0.4641638225255973 ,0.5190839694656488 ,0.41975308641975306,324.0
Plank                              ,0.4278728606356968 ,0.4992867332382311 ,0.37433155080213903,935.0
Power Boat pose                    ,0.21160409556313992,0.31313131313131315,0.15979381443298968,194.0
Pushups                            ,0.2198952879581152 ,0.2669491525423729 ,0.18694362017804156,337.0
Rowing machine                     ,0.4791142425767489 ,0.5288888888888889 ,0.437902483900644  ,1087.0
Running                            ,0.5902335456475585 ,0.631244323342416  ,0.5542264752791068 ,1254.0
Russian Twist                      ,0.3164983164983165 ,0.3868312757201646 ,0.2678062678062678 ,351.0
Seated Back Fly                    ,0.14444444444444446,0.25               ,0.1015625          ,256.0
Shoulder Press                     ,0.04608294930875576,0.06493506493506493,0.03571428571428571,280.0
Squat                              ,0.34002976190476186,0.42630597014925375,0.2827970297029703 ,1616.0
Triceps Kickback                   ,0.37643678160919536,0.532520325203252  ,0.2911111111111111 ,450.0
Triceps extension (lying)          ,0.4250559284116331 ,0.5307262569832403 ,0.3544776119402985 ,268.0
Dumbbell Curl                      ,0.3646723646723647 ,0.3950617283950617 ,0.3386243386243386 ,378.0
V-up                               ,0.4636363636363636 ,0.504950495049505  ,0.42857142857142855,357.0
Walk                               ,0.6174636174636174 ,0.6867052023121387 ,0.5609065155807366 ,2118.0
Walking lunge                      ,0.1942675159235669 ,0.21403508771929824,0.17784256559766765,343.0
Wall Ball                          ,0.1466666666666667 ,0.19642857142857145,0.11702127659574467,188.0
Wall Squat                         ,0.05063291139240506,0.11475409836065575,0.03248259860788863,431.0
accuracy                           ,0.6780273636920564 ,0.6780273636920564 ,0.6780273636920564 ,0.6780273636920564
macro avg                          ,0.3231182698962707 ,0.3657455498658908 ,0.2965889103455444 ,48970.0
weighted avg                       ,0.6571861845283951 ,0.6465643982731535 ,0.6780273636920564 ,48970.0
