Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.287157090214276  ,0.8831986567320809  ,0.17145068959194898 ,49087.0
Band Pull-Down Row                 ,0.3037766830870279 ,0.21094640820980612 ,0.5425219941348973  ,341.0
Bicep Curl                         ,0.2920997920997921 ,0.2626168224299065  ,0.32903981264637    ,854.0
Box Jump (on bench)                ,0.08247422680412371,0.05555555555555555 ,0.16                ,50.0
Burpee                             ,0.38998211091234347,0.3231225296442688  ,0.4917293233082707  ,665.0
Butterfly sit-up                   ,0.4575219345174406 ,0.3949021056520133  ,0.5437436419125127  ,1966.0
Chest Press                        ,0.4593687038280726 ,0.3089430894308943  ,0.8952879581151832  ,382.0
Crunch                             ,0.4162330905306973 ,0.2939015429831007  ,0.7130124777183601  ,561.0
Dip                                ,0.3772954924874791 ,0.2488986784140969  ,0.7793103448275862  ,435.0
Dumbbell Deadlift Row              ,0.2668947818648417 ,0.2388973966309341  ,0.3023255813953488  ,516.0
Dumbbell Row (both)                ,0.05414551607445008,0.04057480980557904 ,0.08135593220338982 ,590.0
Dumbbell Row (right)               ,0.13110181311018132,0.07846410684474124 ,0.3983050847457627  ,118.0
Dumbbell Squat (hands at side)     ,0.22093981863149212,0.14463032919589855 ,0.4677137870855148  ,573.0
Elliptical machine                 ,0.7684809098294071 ,0.7800989554700385  ,0.7572038420490929  ,1874.0
Punches                            ,0.7197452229299363 ,0.6647058823529411  ,0.7847222222222222  ,432.0
Jump Rope                          ,0.508653122648608  ,0.4203980099502487  ,0.6438095238095238  ,1050.0
Jumping Jacks                      ,0.7027027027027027 ,0.5571428571428572  ,0.951219512195122   ,205.0
Kettlebell Swing                   ,0.7052740434332989 ,0.6046099290780141  ,0.8461538461538461  ,403.0
Lateral Raise                      ,0.32               ,0.2074074074074074  ,0.7                 ,400.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,41.0
Lawnmower (right)                  ,0.06920415224913494,0.0391644908616188  ,0.297029702970297   ,303.0
Lunge (both legs)                  ,0.06814106395696352,0.062023939064200215,0.07559681697612733 ,754.0
Ball Slam                          ,0.3591836734693878 ,0.2669902912621359  ,0.5486284289276808  ,401.0
Triceps Extension (standing - both),0.6479550922213313 ,0.5618915159944368  ,0.7651515151515151  ,528.0
Plank                              ,0.13360991436625713,0.07277362535488731 ,0.814526588845655   ,1542.0
Power Boat pose                    ,0.19138755980861247,0.10744435917114352 ,0.875               ,320.0
Pushups                            ,0.3920493488690884 ,0.3160220994475138  ,0.5162454873646211  ,554.0
Rowing machine                     ,0.6801346801346801 ,0.6318575553416746  ,0.736399326977005   ,1783.0
Running                            ,0.7532592950265572 ,0.7471264367816092  ,0.7594936708860759  ,2054.0
Russian Twist                      ,0.23404255319148934,0.16144096064042696 ,0.4253075571177504  ,569.0
Seated Back Fly                    ,0.20757825370675453,0.1590909090909091  ,0.2985781990521327  ,422.0
Shoulder Press                     ,0.5330848089468779 ,0.4688524590163934  ,0.6177105831533477  ,463.0
Squat                              ,0.02061855670103093,0.11320754716981132 ,0.011342155009451795,2645.0
Triceps Kickback                   ,0.30071942446043165,0.3235294117647059  ,0.28091397849462363 ,744.0
Triceps extension (lying)          ,0.5415929203539823 ,0.4434782608695652  ,0.6954545454545454  ,440.0
Dumbbell Curl                      ,0.5628205128205128 ,0.4660297239915074  ,0.7103559870550162  ,618.0
V-up                               ,0.5653950953678475 ,0.4657687991021324  ,0.7192374350086655  ,577.0
Walk                               ,0.5293951650832471 ,0.3932914046121593  ,0.8095512082853855  ,3476.0
Walking lunge                      ,0.25421756835369397,0.15205288796102992 ,0.7748226950354609  ,564.0
Wall Ball                          ,0.6455862977602107 ,0.5444444444444444  ,0.7928802588996764  ,309.0
Wall Squat                         ,0.1498740554156171 ,0.08790938192563408 ,0.5078236130867709  ,703.0
accuracy                           ,0.3300627552545074 ,0.3300627552545074  ,0.3300627552545074  ,0.3300627552545074
macro avg                          ,0.3732609036090214 ,0.3244733067511786  ,0.5509989104357746  ,80312.0
weighted avg                       ,0.33727712177040003,0.681116814181257   ,0.3300627552545074  ,80312.0
