Unnamed: 0                         ,f1-score           ,precision           ,recall             ,support
Noise                              ,0.3098862515931992 ,0.8928769401330376  ,0.1874763581342567 ,34367.0
Band Pull-Down Row                 ,0.3108433734939759 ,0.2179054054054054  ,0.5420168067226889 ,238.0
Bicep Curl                         ,0.2732075471698114 ,0.2496551724137931  ,0.3016666666666667 ,600.0
Box Jump (on bench)                ,0.0900900900900901 ,0.06578947368421052 ,0.14285714285714285,35.0
Burpee                             ,0.4362745098039216 ,0.3513157894736842  ,0.5754310344827587 ,464.0
Butterfly sit-up                   ,0.5046612802983219 ,0.4401084010840109  ,0.5914056809905317 ,1373.0
Chest Press                        ,0.4881075491209928 ,0.3376251788268956  ,0.8805970149253731 ,268.0
Crunch                             ,0.4150943396226415 ,0.2944325481798715  ,0.7033248081841432 ,391.0
Dip                                ,0.4046762589928058 ,0.2764127764127764  ,0.7550335570469798 ,298.0
Dumbbell Deadlift Row              ,0.2769607843137255 ,0.24780701754385964 ,0.3138888888888889 ,360.0
Dumbbell Row (both)                ,0.0879274249825541 ,0.0621301775147929  ,0.15035799522673032,419.0
Dumbbell Row (right)               ,0.10163934426229508,0.05938697318007662 ,0.3522727272727273 ,88.0
Dumbbell Squat (hands at side)     ,0.2586520947176685 ,0.17053642914331466 ,0.535175879396985  ,398.0
Elliptical machine                 ,0.7727445755614771 ,0.7724505327245054  ,0.773038842345773  ,1313.0
Punches                            ,0.7161961367013371 ,0.654891304347826   ,0.7901639344262295 ,305.0
Jump Rope                          ,0.5156167284277395 ,0.42237640936686893 ,0.6616847826086957 ,736.0
Jumping Jacks                      ,0.6799007444168734 ,0.5310077519379846  ,0.9448275862068966 ,145.0
Kettlebell Swing                   ,0.7168674698795181 ,0.6181818181818182  ,0.8530465949820788 ,279.0
Lateral Raise                      ,0.3362974939369442 ,0.2173458725182863  ,0.7428571428571429 ,280.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                ,29.0
Lawnmower (right)                  ,0.07696054554310765,0.043004899292324435,0.3657407407407408 ,216.0
Lunge (both legs)                  ,0.15346225826575172,0.11388888888888887 ,0.23518164435946465,523.0
Ball Slam                          ,0.413953488372093  ,0.31010452961672474 ,0.6223776223776224 ,286.0
Triceps Extension (standing - both),0.6547619047619048 ,0.583864118895966   ,0.7452574525745257 ,369.0
Plank                              ,0.1364720852552887 ,0.07464114832535887 ,0.7951807228915663 ,1079.0
Power Boat pose                    ,0.21171413218699625,0.12063686466625842 ,0.8640350877192983 ,228.0
Pushups                            ,0.3533906399235913 ,0.2786144578313253  ,0.4830287206266319 ,383.0
Rowing machine                     ,0.6695778748180494 ,0.6129247168554297  ,0.7377706495589414 ,1247.0
Running                            ,0.7516869095816464 ,0.7300131061598951  ,0.7746870653685675 ,1438.0
Russian Twist                      ,0.2025164769322948 ,0.13286163522012578 ,0.4256926952141058 ,397.0
Seated Back Fly                    ,0.18843683083511772,0.13814756671899528 ,0.2962962962962963 ,297.0
Shoulder Press                     ,0.5670886075949367 ,0.4827586206896552  ,0.6871165644171779 ,326.0
Squat                              ,0.01691542288557214,0.10429447852760736 ,0.0092041147807255 ,1847.0
Triceps Kickback                   ,0.3124335812964931 ,0.3466981132075472  ,0.2843326885880077 ,517.0
Triceps extension (lying)          ,0.6385869565217391 ,0.5439814814814815  ,0.7730263157894737 ,304.0
Dumbbell Curl                      ,0.5351397121083827 ,0.4202127659574468  ,0.7365967365967366 ,429.0
V-up                               ,0.5259454705364995 ,0.4112792297111417  ,0.7292682926829268 ,410.0
Walk                               ,0.549087982832618  ,0.4074442675159236  ,0.8416940789473685 ,2432.0
Walking lunge                      ,0.3155505107832009 ,0.20306793279766253 ,0.7073791348600509 ,393.0
Wall Ball                          ,0.6579439252336449 ,0.5517241379310345  ,0.8148148148148148 ,216.0
Wall Squat                         ,0.16924110141034251,0.10149013290374546 ,0.509090909090909  ,495.0
accuracy                           ,0.34679284215020095,0.34679284215020095 ,0.34679284215020095,0.34679284215020095
macro avg                          ,0.3852807418308576 ,0.3315582698845746  ,0.5667047754272839 ,56218.0
weighted avg                       ,0.35568632445504145,0.6892357640213891  ,0.34679284215020095,56218.0
