                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.6973867701449099 ,0.9834131326949385 ,0.5402536402066698,10645.0
Walking                                    ,0.3213694091662065 ,0.1950402144772118 ,0.9122257053291536,319.0
Jogging                                    ,0.7000000000000001 ,0.675              ,0.7269230769230769,260.0
Running                                    ,0.8082191780821918 ,0.7023809523809523 ,0.9516129032258065,248.0
Jump up                                    ,0.5606060606060607 ,0.4457831325301205 ,0.7551020408163265,49.0
Jump front and back                        ,0.7046632124352331 ,0.6476190476190476 ,0.7727272727272727,88.0
Jump sideways                              ,0.6436781609195402 ,0.6588235294117647 ,0.6292134831460674,89.0
Jump leg/arms open/closed                  ,0.8923076923076922 ,0.8613861386138614 ,0.925531914893617 ,94.0
Jump rope                                  ,0.6833333333333333 ,0.5857142857142857 ,0.82              ,50.0
Trunk twist (arms outstretched)            ,0.6848635235732009 ,0.6                ,0.7976878612716763,173.0
Trunk twist (elbows bent)                  ,0.41124780316344467,0.2765957446808511 ,0.8013698630136986,146.0
Waist bends forward                        ,0.7584269662921348 ,0.6398104265402843 ,0.9310344827586207,145.0
Waist rotation                             ,0.4787018255578093 ,0.31891891891891894,0.959349593495935 ,123.0
Waist bends (reach foot with opposite hand),0.8623188405797101 ,0.85               ,0.875             ,136.0
Reach heels backwards                      ,0.21088435374149658,0.129979035639413  ,0.5585585585585585,111.0
Lateral bend                               ,0.3645569620253164 ,0.24489795918367346,0.7128712871287128,101.0
Lateral bend with arm up                   ,0.4086021505376343 ,0.3220338983050847 ,0.5588235294117647,102.0
Repetitive forward stretching              ,0.5644171779141104 ,0.46               ,0.7301587301587301,63.0
Upper trunk and lower body opposite twist  ,0.5821596244131456 ,0.45588235294117646,0.8051948051948052,77.0
Lateral elevation of arms                  ,0.7727272727272727 ,0.6746031746031746 ,0.9042553191489362,94.0
Frontal elevation of arms                  ,0.2977867203219316 ,0.18781725888324874,0.7184466019417476,103.0
Frontal hand claps                         ,0.5466666666666665 ,0.3961352657004831 ,0.8817204301075269,93.0
Frontal crossing of arms                   ,0.5112781954887218 ,0.4276729559748428 ,0.6355140186915887,107.0
Shoulders high-amplitude rotation          ,0.7219512195121951 ,0.6548672566371682 ,0.8043478260869565,92.0
Shoulders low-amplitude rotation           ,0.13836477987421383,0.08461538461538462,0.3793103448275862,58.0
Arms inner rotation                        ,0.1636060100166945 ,0.09315589353612168,0.6712328767123288,73.0
Knees (alternating) to the breast          ,0.7200000000000001 ,0.7105263157894737 ,0.7297297297297297,37.0
Heels (alternatively) to the backside      ,0.6888888888888889 ,0.6326530612244898 ,0.7560975609756098,41.0
Knees bending (crouching)                  ,0.3693931398416887 ,0.2777777777777778 ,0.5511811023622047,127.0
Knees (alternating) bending forward        ,0.5835411471321696 ,0.4717741935483871 ,0.7647058823529411,153.0
Rotation on the knees                      ,0.46153846153846156,0.31718061674008813,0.8470588235294118,85.0
Rowing                                     ,0.7893462469733656 ,0.657258064516129  ,0.9878787878787879,165.0
Elliptical bike                            ,0.4716763005780347 ,0.3232963549920761 ,0.8717948717948718,234.0
Cycling                                    ,0.8457142857142858 ,0.7789473684210526 ,0.925             ,240.0
accuracy                                   ,0.6142245771347056 ,0.6142245771347056 ,0.6142245771347056,0.6142245771347056
macro avg                                  ,0.5711830111784637 ,0.4923988150768082 ,0.7703503801294329,14721.0
weighted avg                               ,0.665004331839401  ,0.8457951898556937 ,0.6142245771347056,14721.0
