Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.059902406192158836,0.8872274143302181  ,0.03099762728836065 ,45939.0
Band Pull-Down Row                 ,0.021848739495798318,0.01262135922330097 ,0.08125             ,320.0
Bicep Curl                         ,0.2811534500514933  ,0.2382198952879581  ,0.34296482412060303 ,796.0
Box Jump (on bench)                ,0.0202020202020202  ,0.011494252873563218,0.08333333333333333 ,48.0
Burpee                             ,0.10946745562130177 ,0.0710172744721689  ,0.23870967741935484 ,620.0
Butterfly sit-up                   ,0.15328947368421053 ,0.1936824605153782  ,0.12683723462166574 ,1837.0
Chest Press                        ,0.08312020460358058 ,0.05385252692626346 ,0.18207282913165265 ,357.0
Crunch                             ,0.1245644599303136  ,0.0806997742663657  ,0.2729007633587786  ,524.0
Dip                                ,0.17659804983748645 ,0.11319444444444444 ,0.4014778325123153  ,406.0
Dumbbell Deadlift Row              ,0.12437810945273635 ,0.08169934640522876 ,0.2604166666666667  ,480.0
Dumbbell Row (both)                ,0.025372311086596804,0.01826846703733121 ,0.04151624548736462 ,554.0
Dumbbell Row (right)               ,0.06362672322375397 ,0.036057692307692304,0.2702702702702703  ,111.0
Dumbbell Squat (hands at side)     ,0.15138282387190685 ,0.08693229311786012 ,0.5853658536585366  ,533.0
Elliptical machine                 ,0.2492676431424767  ,0.23318385650224216 ,0.2677345537757437  ,1748.0
Punches                            ,0.3950617283950617  ,0.3093922651933701  ,0.5463414634146342  ,410.0
Jump Rope                          ,0.3533664708540443  ,0.3178861788617886  ,0.3977619532044761  ,983.0
Jumping Jacks                      ,0.3768595041322314  ,0.2773722627737226  ,0.5876288659793815  ,194.0
Kettlebell Swing                   ,0.30927835051546393 ,0.19984326018808776 ,0.6836461126005362  ,373.0
Lateral Raise                      ,0.16771488469601678 ,0.10450685826257347 ,0.4244031830238727  ,377.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,38.0
Lawnmower (right)                  ,0.03936577364680153 ,0.02328589909443726 ,0.127208480565371   ,283.0
Lunge (both legs)                  ,0.10094637223974763 ,0.09101251422070536 ,0.113314447592068   ,706.0
Ball Slam                          ,0.22222222222222224 ,0.17767295597484276 ,0.2965879265091864  ,381.0
Triceps Extension (standing - both),0.3484013230429989  ,0.3853658536585366  ,0.31790744466800797 ,497.0
Plank                              ,0.12306107263465173 ,0.06707849744165731 ,0.7439446366782007  ,1445.0
Power Boat pose                    ,0.05443151298119965 ,0.028755202421490725,0.5083612040133779  ,299.0
Pushups                            ,0.12336892052194542 ,0.08911739502999143 ,0.2003853564547206  ,519.0
Rowing machine                     ,0.3173742848539597  ,0.3178528347406514  ,0.31689717378232113 ,1663.0
Running                            ,0.3304347826086957  ,0.3351149118118653  ,0.32588357588357586 ,1924.0
Russian Twist                      ,0.1913875598086124  ,0.13382899628252787 ,0.3358208955223881  ,536.0
Seated Back Fly                    ,0.052253429131286735,0.0353356890459364  ,0.10025062656641603 ,399.0
Shoulder Press                     ,0.12230634828188698 ,0.08164852255054432 ,0.24361948955916474 ,431.0
Squat                              ,0.014113957135389441,0.01989683124539425 ,0.010935601458080195,2469.0
Triceps Kickback                   ,0.05737051792828685 ,0.06451612903225806 ,0.051649928263988516,697.0
Triceps extension (lying)          ,0.2796610169491525  ,0.19721115537848605 ,0.4805825242718447  ,412.0
Dumbbell Curl                      ,0.27557411273486426 ,0.2296983758700696  ,0.3443478260869565  ,575.0
V-up                               ,0.25585193249863897 ,0.1821705426356589  ,0.4296160877513711  ,547.0
Walk                               ,0.34584615384615386 ,0.2883825944170772  ,0.4319090070703965  ,3253.0
Walking lunge                      ,0.12667946257197696 ,0.08472400513478819 ,0.2509505703422053  ,526.0
Wall Ball                          ,0.12958115183246072 ,0.07996768982229402 ,0.3413793103448276  ,290.0
Wall Squat                         ,0.032337089661930433,0.02386117136659436 ,0.050151975683890584,658.0
accuracy                           ,0.13492908273237714 ,0.13492908273237714 ,0.13492908273237714 ,0.13492908273237714
macro avg                          ,0.16558594649076866 ,0.15277194268696012 ,0.28895935070575385 ,75158.0
weighted avg                       ,0.1135611339529655  ,0.6091042721312421  ,0.13492908273237714 ,75158.0
