                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6035203734318778 ,0.9794823232323232  ,0.43612087139845396,7115.0
Walking                                    ,0.3297872340425532 ,0.20217391304347826 ,0.8942307692307693 ,208.0
Jogging                                    ,0.5663265306122448 ,0.502262443438914   ,0.6491228070175439 ,171.0
Running                                    ,0.7638190954773869 ,0.6440677966101694  ,0.9382716049382716 ,162.0
Jump up                                    ,0.5411764705882354 ,0.46                ,0.6571428571428571 ,35.0
Jump front and back                        ,0.6716417910447762 ,0.6081081081081081  ,0.75               ,60.0
Jump sideways                              ,0.6412213740458015 ,0.6                 ,0.6885245901639344 ,61.0
Jump leg/arms open/closed                  ,0.8275862068965517 ,0.75                ,0.9230769230769231 ,65.0
Jump rope                                  ,0.5671641791044776 ,0.5757575757575758  ,0.5588235294117647 ,34.0
Trunk twist (arms outstretched)            ,0.6240601503759399 ,0.538961038961039   ,0.7410714285714286 ,112.0
Trunk twist (elbows bent)                  ,0.3893333333333333 ,0.26258992805755393 ,0.7525773195876289 ,97.0
Waist bends forward                        ,0.7022900763358778 ,0.5714285714285714  ,0.9108910891089109 ,101.0
Waist rotation                             ,0.4202127659574468 ,0.2705479452054795  ,0.9404761904761905 ,84.0
Waist bends (reach foot with opposite hand),0.8102564102564102 ,0.7669902912621359  ,0.8586956521739131 ,92.0
Reach heels backwards                      ,0.1658031088082902 ,0.10355987055016182 ,0.4155844155844156 ,77.0
Lateral bend                               ,0.32592592592592595,0.22                ,0.6285714285714286 ,70.0
Lateral bend with arm up                   ,0.28735632183908044,0.2358490566037736  ,0.36764705882352944,68.0
Repetitive forward stretching              ,0.3548387096774194 ,0.2682926829268293  ,0.5238095238095238 ,42.0
Upper trunk and lower body opposite twist  ,0.49696969696969695,0.36283185840707965 ,0.7884615384615384 ,52.0
Lateral elevation of arms                  ,0.7417218543046358 ,0.6292134831460674  ,0.9032258064516129 ,62.0
Frontal elevation of arms                  ,0.2118226600985222 ,0.12759643916913946 ,0.6231884057971014 ,69.0
Frontal hand claps                         ,0.35460992907801414,0.22624434389140272 ,0.819672131147541  ,61.0
Frontal crossing of arms                   ,0.3793103448275862 ,0.26993865030674846 ,0.6376811594202898 ,69.0
Shoulders high-amplitude rotation          ,0.5632183908045978 ,0.44545454545454544 ,0.765625           ,64.0
Shoulders low-amplitude rotation           ,0.07878787878787878,0.044673539518900345,0.3333333333333333 ,39.0
Arms inner rotation                        ,0.10444874274661507,0.0574468085106383  ,0.574468085106383  ,47.0
Knees (alternating) to the breast          ,0.6792452830188679 ,0.6428571428571429  ,0.72               ,25.0
Heels (alternatively) to the backside      ,0.6153846153846154 ,0.5517241379310345  ,0.6956521739130435 ,23.0
Knees bending (crouching)                  ,0.27338129496402874,0.19487179487179487 ,0.4578313253012048 ,83.0
Knees (alternating) bending forward        ,0.4755244755244755 ,0.3695652173913043  ,0.6666666666666666 ,102.0
Rotation on the knees                      ,0.4272727272727273 ,0.29012345679012347 ,0.8103448275862069 ,58.0
Rowing                                     ,0.7186440677966103 ,0.5668449197860963  ,0.9814814814814815 ,108.0
Elliptical bike                            ,0.4054054054054054 ,0.26418786692759294 ,0.8709677419354839 ,155.0
Cycling                                    ,0.8089887640449438 ,0.72                ,0.9230769230769231 ,156.0
accuracy                                   ,0.5255927546555409 ,0.5255927546555409  ,0.5255927546555409 ,0.5255927546555409
macro avg                                  ,0.49785459378773084,0.4212836985336978  ,0.7119504311401853 ,9827.0
weighted avg                               ,0.5785238106397012 ,0.8234794678233213  ,0.5255927546555409 ,9827.0
