Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.06741497513106601  ,0.8971377459749553   ,0.035023395488511765,28638.0
Band Pull-Down Row                 ,0.030006523157208087 ,0.0172543135783946   ,0.115               ,200.0
Bicep Curl                         ,0.30278884462151395  ,0.2503293807641634   ,0.38306451612903225 ,496.0
Box Jump (on bench)                ,0.2151898734177215   ,0.1328125            ,0.5666666666666667  ,30.0
Burpee                             ,0.10484330484330484  ,0.06720233747260775  ,0.2383419689119171  ,386.0
Butterfly sit-up                   ,0.19989904088844015  ,0.23826714801444046  ,0.17217391304347826 ,1150.0
Chest Press                        ,0.0911854103343465   ,0.06912442396313365  ,0.13392857142857142 ,224.0
Crunch                             ,0.1794145420207743   ,0.1296043656207367   ,0.2914110429447853  ,326.0
Dip                                ,0.16809605488850773  ,0.1074561403508772   ,0.3858267716535433  ,254.0
Dumbbell Deadlift Row              ,0.1133651551312649   ,0.0690406976744186   ,0.31666666666666665 ,300.0
Dumbbell Row (both)                ,0.008421052631578947 ,0.006600660066006601 ,0.011627906976744186,344.0
Dumbbell Row (right)               ,0.057416267942583726 ,0.03225806451612903  ,0.2608695652173913  ,69.0
Dumbbell Squat (hands at side)     ,0.16458852867830426  ,0.0955137481910275   ,0.5945945945945946  ,333.0
Elliptical machine                 ,0.2722292456805731   ,0.2517537022603273   ,0.2963302752293578  ,1090.0
Punches                            ,0.3842917251051893   ,0.2984749455337691   ,0.5393700787401575  ,254.0
Jump Rope                          ,0.3796940194714882   ,0.3305084745762712   ,0.44607843137254893 ,612.0
Jumping Jacks                      ,0.3966005665722379   ,0.3017241379310345   ,0.5785123966942148  ,121.0
Kettlebell Swing                   ,0.3004694835680751   ,0.1927710843373494   ,0.6808510638297872  ,235.0
Lateral Raise                      ,0.17623282134195636  ,0.1086739780658026   ,0.4658119658119658  ,234.0
Lawnmower (both)                   ,0.0017761989342806395,0.0009074410163339383,0.04166666666666666 ,24.0
Lawnmower (right)                  ,0.033973412112259974 ,0.019508057675996608 ,0.13142857142857142 ,175.0
Lunge (both legs)                  ,0.16366906474820142  ,0.1348148148148148   ,0.20823798627002288 ,437.0
Ball Slam                          ,0.2422360248447205   ,0.19164619164619165  ,0.3291139240506329  ,237.0
Triceps Extension (standing - both),0.3303030303030303   ,0.3096590909090909   ,0.3538961038961039  ,308.0
Plank                              ,0.12274719922065268  ,0.06727175654030966  ,0.7                 ,900.0
Power Boat pose                    ,0.06507442021460713  ,0.03476331360946745  ,0.5081081081081081  ,185.0
Pushups                            ,0.11350737797956867  ,0.08912655971479501  ,0.15625             ,320.0
Rowing machine                     ,0.3577452285841101   ,0.3327828241123039   ,0.3867562380038388  ,1042.0
Running                            ,0.3395942900075131   ,0.30853242320819113  ,0.3776106934001671  ,1197.0
Russian Twist                      ,0.18483412322274884  ,0.1255364806866953   ,0.3502994011976048  ,334.0
Seated Back Fly                    ,0.044386422976501305 ,0.032567049808429116 ,0.06967213114754098 ,244.0
Shoulder Press                     ,0.14186851211072665  ,0.09244644870349493  ,0.3048327137546468  ,269.0
Squat                              ,0.02432432432432433  ,0.03994082840236687  ,0.017487046632124352,1544.0
Triceps Kickback                   ,0.07514450867052024  ,0.1015625            ,0.059633027522935776,436.0
Triceps extension (lying)          ,0.2905342080599813   ,0.19112207151664606  ,0.60546875          ,256.0
Dumbbell Curl                      ,0.29629629629629634  ,0.2577962577962578   ,0.34831460674157305 ,356.0
V-up                               ,0.2785898538263113   ,0.1966019417475728   ,0.4778761061946903  ,339.0
Walk                               ,0.3896587383660806   ,0.33547008547008544  ,0.4647261963492846  ,2027.0
Walking lunge                      ,0.11149825783972124  ,0.07246376811594203  ,0.2416918429003021  ,331.0
Wall Ball                          ,0.11216730038022814  ,0.06750572082379863  ,0.3314606741573033  ,178.0
Wall Squat                         ,0.04991680532445923  ,0.038022813688212934 ,0.07263922518159806 ,413.0
accuracy                           ,0.14696465163934427  ,0.14696465163934427  ,0.14696465163934427 ,0.14696465163934427
macro avg                          ,0.18004861057982874  ,0.16186722655849856  ,0.3182760928049671  ,46848.0
weighted avg                       ,0.12518970510858146  ,0.620304311894715    ,0.14696465163934427 ,46848.0
