Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.7644643731806289   ,0.6677478683948502  ,0.8939429393665285  ,858981.0
Band Pull-Down Row                 ,0.028346121057118506 ,0.03910614525139665 ,0.02222965067691793 ,5983.0
Bicep Curl                         ,0.20919771735481707  ,0.2098881853697966  ,0.2085117773019272  ,14944.0
Box Jump (on bench)                ,0.026899798251513108 ,0.032679738562091505,0.022857142857142857,875.0
Burpee                             ,0.023755842727522684 ,0.03285171102661597 ,0.018604651162790697,11610.0
Butterfly sit-up                   ,0.19242196511587265  ,0.2401413365904729  ,0.1605237067708637  ,34294.0
Chest Press                        ,0.1573639367066597   ,0.1882279534109817  ,0.13519569763967731 ,6694.0
Crunch                             ,0.12034299231224127  ,0.2181720718306084  ,0.08308665918138207 ,9797.0
Dip                                ,0.037040350720229036 ,0.05774058577405858 ,0.02726554267650158 ,7592.0
Dumbbell Deadlift Row              ,0.02312581361513133  ,0.03714637146371464 ,0.016788970424727597,8994.0
Dumbbell Row (both)                ,0.05838534326555265  ,0.09526938239159    ,0.0420899854862119  ,10335.0
Dumbbell Row (right)               ,0.0042105263157894745,0.008241758241758242,0.002827521206409048,2122.0
Dumbbell Squat (hands at side)     ,0.04030075187969925  ,0.08023952095808383 ,0.026907630522088357,9960.0
Elliptical machine                 ,0.18332666933226716  ,0.2653510041090341  ,0.1400384838581595  ,32741.0
Punches                            ,0.01942336874051593  ,0.04168475900998697 ,0.012661566868900027,7582.0
Jump Rope                          ,0.051440573851702136 ,0.09516129032258064 ,0.035246836474230166,18413.0
Jumping Jacks                      ,0.24590452703892904  ,0.3385063045586809  ,0.19308437067773168 ,3615.0
Kettlebell Swing                   ,0.2576108395506389   ,0.3237068965517241  ,0.2139296396524712  ,7021.0
Lateral Raise                      ,0.07837181044957472  ,0.13522012578616352 ,0.05517536355859709 ,7014.0
Lawnmower (both)                   ,0.020642201834862383 ,0.05960264900662252 ,0.01248266296809986 ,721.0
Lawnmower (right)                  ,0.03180680312177882  ,0.07346938775510205 ,0.020296936666040214,5321.0
Lunge (both legs)                  ,0.033896350954055465 ,0.07074109720885467 ,0.022287923584262   ,13191.0
Ball Slam                          ,0.07558449877228568  ,0.15478793178836905 ,0.05                ,7080.0
Triceps Extension (standing - both),0.14858705560619873  ,0.2512846865364851  ,0.10547886108714408 ,9272.0
Plank                              ,0.7704541025141297   ,0.8115120909800058  ,0.7333506474232924  ,26953.0
Power Boat pose                    ,0.4290010023387905   ,0.5681415929203539  ,0.3446054750402576  ,5589.0
Pushups                            ,0.02977018074752596  ,0.07312173563680192 ,0.018689669336619433,9738.0
Rowing machine                     ,0.1397580211087969   ,0.2587297461225197  ,0.09573581276050017 ,31190.0
Running                            ,0.15497569606866116  ,0.2882214993569861  ,0.10598052851182198 ,35950.0
Russian Twist                      ,0.20513187048817094  ,0.3645833333333333  ,0.1427150671307807  ,10055.0
Seated Back Fly                    ,0.032630229576972376 ,0.11656952539550375 ,0.018970189701897015,7380.0
Shoulder Press                     ,0.046033703247020136 ,0.13477737665463296 ,0.027757125154894667,8070.0
Squat                              ,0.17026910622278232  ,0.32644198421921833 ,0.11517047906776005 ,46340.0
Triceps Kickback                   ,0.07691832829186986  ,0.1951754385964912  ,0.04789728607672791 ,13007.0
Triceps extension (lying)          ,0.1104203982720472   ,0.2909494725152693  ,0.0681404421326398  ,7690.0
Dumbbell Curl                      ,0.1678782983306408   ,0.3039980497318381  ,0.1159568532639018  ,10754.0
V-up                               ,0.14469184588494569  ,0.3193559208319356  ,0.09353507565337002 ,10178.0
Walk                               ,0.2279989509572515   ,0.3149398637878568  ,0.1786747780335416  ,60820.0
Walking lunge                      ,0.026931983875117936 ,0.0859802847754655  ,0.015966642937048713,9833.0
Wall Ball                          ,0.0381653833277536   ,0.2024866785079929  ,0.021068194418776567,5411.0
Wall Squat                         ,0.4104470013236941   ,0.5529492455418381  ,0.32634391191709844 ,12352.0
accuracy                           ,0.600256001229489    ,0.600256001229489   ,0.600256001229489   ,0.600256001229489
macro avg                          ,0.1466811301056526   ,0.21768055123921135 ,0.12175787071292035 ,1405462.0
weighted avg                       ,0.5350290109693818   ,0.5092401703376734  ,0.600256001229489   ,1405462.0
