Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8183262237115037  ,0.7515799462034042 ,0.8980831511477112  ,859014.0
Band Pull-Down Row                 ,0.2804421131509929  ,0.3190537084398977 ,0.2501671122994653  ,5984.0
Bicep Curl                         ,0.22288480154888676 ,0.2643519794250023 ,0.1926630070959968  ,14938.0
Box Jump (on bench)                ,0.012738853503184714,0.03125            ,0.008               ,875.0
Burpee                             ,0.05756578947368421 ,0.07917357864575479,0.045223533465414766,11609.0
Butterfly sit-up                   ,0.3155706535516909  ,0.37558836545037616,0.2720913965959431  ,34312.0
Chest Press                        ,0.5522367324256738  ,0.5161667315932996 ,0.5937266616878267  ,6695.0
Crunch                             ,0.4750918273645546  ,0.5424639580602884 ,0.4226056769450684  ,9794.0
Dip                                ,0.2690644206692466  ,0.3174006444683136 ,0.23350454365863296 ,7593.0
Dumbbell Deadlift Row              ,0.15125946911375254 ,0.16956641811654238,0.13652028904947192 ,8995.0
Dumbbell Row (both)                ,0.3004988977839657  ,0.3752535496957404 ,0.2505804953560372  ,10336.0
Dumbbell Row (right)               ,0.02540578687367678 ,0.0502092050209205 ,0.017005196032120924,2117.0
Dumbbell Squat (hands at side)     ,0.3665726121150267  ,0.4556716417910448 ,0.30661845937531385 ,9957.0
Elliptical machine                 ,0.5620612536497483  ,0.5717400233814655 ,0.5527047252512294  ,32739.0
Punches                            ,0.1410163900628801  ,0.3230987246102976 ,0.09018987341772153 ,7584.0
Jump Rope                          ,0.5261641274025933  ,0.6040684169775463 ,0.4660584338003693  ,18414.0
Jumping Jacks                      ,0.0809953647231032  ,0.3408624229979466 ,0.045957918050941314,3612.0
Kettlebell Swing                   ,0.14195848186202556 ,0.26865079365079364,0.09646622969506982 ,7018.0
Lateral Raise                      ,0.11023622047244093 ,0.2262062859672421 ,0.072875071306332   ,7012.0
Lawnmower (both)                   ,0.2951496388028896  ,0.5766129032258065 ,0.19833564493758668 ,721.0
Lawnmower (right)                  ,0.03760956175298805 ,0.12368972746331235,0.022176282653636536,5321.0
Lunge (both legs)                  ,0.16645925630942307 ,0.24214337436640115,0.12682038834951456 ,13184.0
Ball Slam                          ,0.04588910133843212 ,0.14872192099147946,0.02713013988978381 ,7077.0
Triceps Extension (standing - both),0.5450809765530578  ,0.619420409284439  ,0.4866731412539118  ,9267.0
Plank                              ,0.8917932325849709  ,0.909564412207261  ,0.8747031760166222  ,26952.0
Power Boat pose                    ,0.7320127079050645  ,0.7662363067292645 ,0.7007155635062612  ,5590.0
Pushups                            ,0.11886544555220653 ,0.23986275733000625,0.07900955512175074 ,9733.0
Rowing machine                     ,0.5877438275815031  ,0.6277773730603919 ,0.5525100980957877  ,31194.0
Running                            ,0.4937431703620149  ,0.6737697820963009 ,0.3896353166986564  ,35949.0
Russian Twist                      ,0.13743771097894228 ,0.3575909661229611 ,0.08506616257088846 ,10051.0
Seated Back Fly                    ,0.15625             ,0.4314565483476132 ,0.09539918809201624 ,7390.0
Shoulder Press                     ,0.5109253144101735  ,0.5892075838599903 ,0.4510047134706029  ,8062.0
Squat                              ,0.4486801963125083  ,0.5820027529249828 ,0.3650550399309303  ,46330.0
Triceps Kickback                   ,0.3218537414965986  ,0.5217091660923501 ,0.23270826928988625 ,13012.0
Triceps extension (lying)          ,0.4856225025464232  ,0.6107607410327158 ,0.40304330862270776 ,7689.0
Dumbbell Curl                      ,0.19743454112668607 ,0.3412571428571429 ,0.13889664154805098 ,10749.0
V-up                               ,0.3081183304065919  ,0.493295847750865  ,0.2240227853074052  ,10182.0
Walk                               ,0.6798949183154092  ,0.6789585007132434 ,0.6808339224938754  ,60821.0
Walking lunge                      ,0.2402155780828949  ,0.3250564334085779 ,0.19049557342016893 ,9827.0
Wall Ball                          ,0.0830405621207282  ,0.3026775320139697 ,0.04812141402924301 ,5403.0
Wall Squat                         ,0.6714540588760036  ,0.7468743798372693 ,0.6098687408847837  ,12342.0
accuracy                           ,0.6975973429037372  ,0.6975973429037372 ,0.6975973429037372  ,0.6975973429037372
macro avg                          ,0.33086254616766203 ,0.4266098282002981 ,0.2910552887906033  ,1405444.0
weighted avg                       ,0.6657521406874848  ,0.6571167239818114 ,0.6975973429037372  ,1405444.0
