Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.8237875870249332  ,0.7589741527136316  ,0.9007042163337676  ,858969.0
Band Pull-Down Row                 ,0.31820728291316525 ,0.3604823355193569  ,0.2848069530335952  ,5983.0
Bicep Curl                         ,0.2042056259123368  ,0.2487983080176889  ,0.1731682837069254  ,14945.0
Box Jump (on bench)                ,0.01235657546337158 ,0.027131782945736437,0.008               ,875.0
Burpee                             ,0.06199401131196629 ,0.08701743462017435 ,0.04814814814814815 ,11610.0
Butterfly sit-up                   ,0.33219183859376844 ,0.3940764458675205  ,0.2871056161427655  ,34294.0
Chest Press                        ,0.5751324226373014  ,0.5390645414162529  ,0.6163728712279654  ,6694.0
Crunch                             ,0.4946199436101042  ,0.5668689000263782  ,0.43870572624272736 ,9797.0
Dip                                ,0.2905918057663126  ,0.3426986399427344  ,0.2522391991570074  ,7592.0
Dumbbell Deadlift Row              ,0.17019207391198635 ,0.18771788683293109 ,0.15565932844118302 ,8994.0
Dumbbell Row (both)                ,0.31753473214796185 ,0.3880659586361096  ,0.2686985970004838  ,10335.0
Dumbbell Row (right)               ,0.033249006143838085,0.07131782945736434 ,0.021677662582469368,2122.0
Dumbbell Squat (hands at side)     ,0.4098255440807515  ,0.4892046245995264  ,0.3526104417670683  ,9960.0
Elliptical machine                 ,0.6059599083091031  ,0.6104773713577185  ,0.6015088115818087  ,32741.0
Punches                            ,0.17989633092793986 ,0.39211342490031015 ,0.11672381957267212 ,7582.0
Jump Rope                          ,0.5633327304515585  ,0.6330194431271594  ,0.5074675501004725  ,18413.0
Jumping Jacks                      ,0.0960656529085204  ,0.3768939393939394  ,0.055048409405255884,3615.0
Kettlebell Swing                   ,0.1318355235269182  ,0.25755693581780537 ,0.08859136875089019 ,7021.0
Lateral Raise                      ,0.12987290398376589 ,0.25883354618986804 ,0.08668377530652979 ,7014.0
Lawnmower (both)                   ,0.3198380566801619  ,0.5917602996254682  ,0.21914008321775316 ,721.0
Lawnmower (right)                  ,0.042836744407425034,0.13747454175152748 ,0.025371170832550274,5321.0
Lunge (both legs)                  ,0.19811734868068087 ,0.2777625820568928  ,0.1539686149647487  ,13191.0
Ball Slam                          ,0.04673006927321827 ,0.13848295059151008 ,0.028107344632768358,7080.0
Triceps Extension (standing - both),0.5678466957196585  ,0.6359138922315818  ,0.5129421915444349  ,9272.0
Plank                              ,0.8932038834951457  ,0.9116124546086688  ,0.8755240604014396  ,26953.0
Power Boat pose                    ,0.7505588673621459  ,0.7827860889838741  ,0.7208803005904455  ,5589.0
Pushups                            ,0.12548601052069833 ,0.2435631843740752  ,0.08451427397822961 ,9738.0
Rowing machine                     ,0.6096600226538859  ,0.6448624870355137  ,0.5781019557550497  ,31190.0
Running                            ,0.5367940185124985  ,0.6972929723963195  ,0.4363560500695409  ,35950.0
Russian Twist                      ,0.15530153724871895 ,0.3745247148288973  ,0.09796121332670313 ,10055.0
Seated Back Fly                    ,0.1625927542557835  ,0.41760089686098656 ,0.10094850948509483 ,7380.0
Shoulder Press                     ,0.5376659678546472  ,0.6165064102564103  ,0.4767038413878562  ,8070.0
Squat                              ,0.4731185614301817  ,0.6024768008545297  ,0.38949072075960295 ,46340.0
Triceps Kickback                   ,0.35363169479090245 ,0.5553909465020576  ,0.2593987852694703  ,13007.0
Triceps extension (lying)          ,0.509607993850884   ,0.6231203007518797  ,0.4310793237971392  ,7690.0
Dumbbell Curl                      ,0.20165636913369264 ,0.3439461883408072  ,0.1426445973591222  ,10754.0
V-up                               ,0.31062378819281944 ,0.4860849550115087  ,0.2282373747298094  ,10178.0
Walk                               ,0.7046510482507264  ,0.7035998819710829  ,0.7057053600789214  ,60820.0
Walking lunge                      ,0.2544287548138639  ,0.3449356073790463  ,0.20154565792149684 ,9834.0
Wall Ball                          ,0.098076316619363   ,0.33049946865037194 ,0.057581929272356974,5401.0
Wall Squat                         ,0.6868336886993603  ,0.7609251968503937  ,0.6258905440414507  ,12352.0
accuracy                           ,0.7075147889418418  ,0.7075147889418418  ,0.7075147889418418  ,0.7075147889418418
macro avg                          ,0.3485393095627333  ,0.4441813737389173  ,0.3077076751687249  ,1405442.0
weighted avg                       ,0.6773893915992768  ,0.6691261923078304  ,0.7075147889418418  ,1405442.0
