Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.8288458384288131 ,0.7659469632637262  ,0.9029993306364774  ,859025.0
Band Pull-Down Row                 ,0.3515140116607109 ,0.4017626827171109  ,0.3124373119358074  ,5982.0
Bicep Curl                         ,0.2270759543486816 ,0.2756018341612533  ,0.19307990898139474 ,14942.0
Box Jump (on bench)                ,0.00539568345323741,0.012711864406779662,0.003424657534246575,876.0
Burpee                             ,0.06662965019433649,0.0937060752772138  ,0.051692943913155855,11607.0
Butterfly sit-up                   ,0.3467874517698373 ,0.4086021505376344  ,0.30121816168327803 ,34314.0
Chest Press                        ,0.5995654307142357 ,0.5646950092421442  ,0.6390258479007919  ,6693.0
Crunch                             ,0.5124750214102198 ,0.5811965811965812  ,0.4582865311957521  ,9793.0
Dip                                ,0.32975018925056776,0.3875444839857651  ,0.28695652173913044 ,7590.0
Dumbbell Deadlift Row              ,0.21755862898376427,0.23690413829229964 ,0.20113408939292865 ,8994.0
Dumbbell Row (both)                ,0.3281840027463097 ,0.4016806722689076  ,0.277423099245502   ,10338.0
Dumbbell Row (right)               ,0.0396600566572238 ,0.07965860597439545 ,0.026402640264026403,2121.0
Dumbbell Squat (hands at side)     ,0.4636149560622594 ,0.5413090128755365  ,0.40542440984429934 ,9955.0
Elliptical machine                 ,0.6182176510439121 ,0.6233427515757444  ,0.6131761400079411  ,32741.0
Punches                            ,0.22498755599800896,0.4584178498985802  ,0.14907651715039574 ,7580.0
Jump Rope                          ,0.6049096528768426 ,0.6679574691520084  ,0.5527373452096459  ,18412.0
Jumping Jacks                      ,0.15176908752327747,0.4780058651026393  ,0.09020475926950748 ,3614.0
Kettlebell Swing                   ,0.1462909241607957 ,0.2684410646387833  ,0.10054115636570778 ,7022.0
Lateral Raise                      ,0.1328265230704255 ,0.25548334687246144 ,0.08974176059352261 ,7009.0
Lawnmower (both)                   ,0.3140830800405269 ,0.5805243445692884  ,0.2152777777777778  ,720.0
Lawnmower (right)                  ,0.04872611464968153,0.159375            ,0.028759398496240606,5320.0
Lunge (both legs)                  ,0.22942954469126325,0.31214099216710184 ,0.1813699461427596  ,13183.0
Ball Slam                          ,0.04958092314956911,0.1504297994269341  ,0.029681978798586577,7075.0
Triceps Extension (standing - both),0.5772238226821095 ,0.6344836499935376  ,0.5294434857635893  ,9272.0
Plank                              ,0.8963444599856348 ,0.9136482737361282  ,0.879683905913779   ,26954.0
Power Boat pose                    ,0.7587602317667618 ,0.7805108798486282  ,0.7381889763779528  ,5588.0
Pushups                            ,0.15873015873015872,0.30042918454935624 ,0.1078582434514638  ,9735.0
Rowing machine                     ,0.6394220365222313 ,0.6650046743533811  ,0.6157348037958451  ,31192.0
Running                            ,0.5574026857045725 ,0.7166397132741815  ,0.4560651998553587  ,35951.0
Russian Twist                      ,0.17500389590151166,0.4026532807457871  ,0.11179691388750622 ,10045.0
Seated Back Fly                    ,0.17165711814938925,0.4261943102522813  ,0.10747157552788306 ,7388.0
Shoulder Press                     ,0.5546793216553841 ,0.6340140395660497  ,0.4929909440516065  ,8061.0
Squat                              ,0.4982090946843854 ,0.624674563915647   ,0.4143282680020722  ,46328.0
Triceps Kickback                   ,0.3791859866048429 ,0.5747305950335779  ,0.2829245790728069  ,13007.0
Triceps extension (lying)          ,0.5415239400167466 ,0.6525408181984957  ,0.4627894873796513  ,7686.0
Dumbbell Curl                      ,0.21093026333201004,0.3653449461379785  ,0.14826527764859082 ,10751.0
V-up                               ,0.3373477942644221 ,0.5223573047599424  ,0.24911556603773585 ,10176.0
Walk                               ,0.7141443953007349 ,0.7102135063499032  ,0.7181190397895431  ,60820.0
Walking lunge                      ,0.2814871016691957 ,0.37205415343473175 ,0.2263805552730601  ,9833.0
Wall Ball                          ,0.1273431448489543 ,0.3899430740037951  ,0.07609701907054249 ,5401.0
Wall Squat                         ,0.6983259911894274 ,0.7654273297923708  ,0.642041312272175   ,12345.0
accuracy                           ,0.7166052742239257 ,0.7166052742239257  ,0.7166052742239257  ,0.7166052742239257
macro avg                          ,0.3686731555095848 ,0.467226898915821   ,0.3260821313963424  ,1405439.0
weighted avg                       ,0.6883065104199767 ,0.6813402025854275  ,0.7166052742239257  ,1405439.0
