Unnamed: 0                         ,f1-score            ,precision           ,recall                ,support
Noise                              ,0.4852395581085589  ,0.5963189246983351  ,0.4090447136725421    ,858999.0
Band Pull-Down Row                 ,0.0                 ,0.0                 ,0.0                   ,5980.0
Bicep Curl                         ,0.3160401647785788  ,0.30434513109775    ,0.3286699243590602    ,14939.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                   ,875.0
Burpee                             ,0.012735473600424516,0.027689645226420537,0.008269446119390128  ,11609.0
Butterfly sit-up                   ,0.24967290079273455 ,0.22294511133510486 ,0.28368215472512104   ,34306.0
Chest Press                        ,0.4126193441261934  ,0.268515600378191   ,0.890548006570106     ,6697.0
Crunch                             ,0.046869278652508235,0.2269503546099291  ,0.02613311555737036   ,9796.0
Dip                                ,0.2810883239662039  ,0.19591159074400746 ,0.4973001448702752    ,7593.0
Dumbbell Deadlift Row              ,0.000658544616397761,0.02654867256637168 ,0.00033340742387197157,8998.0
Dumbbell Row (both)                ,0.00949395432154053 ,0.0640096618357488  ,0.0051272129244461645 ,10337.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                   ,2117.0
Dumbbell Squat (hands at side)     ,0.09386002147369472 ,0.05359357846561827 ,0.3774475348930616    ,9959.0
Elliptical machine                 ,0.2342394540743244  ,0.2475843767011432  ,0.22225955224336455   ,32741.0
Punches                            ,0.024074553455863314,0.6549295774647887  ,0.0122626582278481    ,7584.0
Jump Rope                          ,0.11052197478496524 ,0.1996877661084303  ,0.076405104534347     ,18415.0
Jumping Jacks                      ,0.3167657550535077  ,0.27761567319716546 ,0.3687707641196013    ,3612.0
Kettlebell Swing                   ,0.3078439829934069  ,0.2711091816800521  ,0.35609408410548826   ,7015.0
Lateral Raise                      ,0.037867463876432486,0.1497536945812808  ,0.02167403393697419   ,7013.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                   ,722.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                   ,5320.0
Lunge (both legs)                  ,0.1732781015235554  ,0.11273524575187285 ,0.3742796481649985    ,13188.0
Ball Slam                          ,0.031021897810218982,0.05485837217640732 ,0.021625441696113083  ,7075.0
Triceps Extension (standing - both),0.4700292035836262  ,0.4341227027521258  ,0.5124109648176127    ,9266.0
Plank                              ,0.1733268743478909  ,0.09633897799575822 ,0.8629044226773523    ,26952.0
Power Boat pose                    ,0.14892231452214932 ,0.08171375782189608 ,0.8389405869720831    ,5588.0
Pushups                            ,0.16007326007326006 ,0.1974992467610726  ,0.13457195647710946   ,9742.0
Rowing machine                     ,0.0                 ,0.0                 ,0.0                   ,31195.0
Running                            ,0.248661536794191   ,0.5630705801511731  ,0.15956381439857573   ,35948.0
Russian Twist                      ,0.2313773934527486  ,0.3050985502524841  ,0.18634961695353694   ,10051.0
Seated Back Fly                    ,0.0                 ,0.0                 ,0.0                   ,7388.0
Shoulder Press                     ,0.31978319783197834 ,0.256560203928625   ,0.4243551587301587    ,8064.0
Squat                              ,0.02831204800738575 ,0.06813693219223173 ,0.01786831826323399   ,46339.0
Triceps Kickback                   ,0.2874930516953864  ,0.5189644792293799  ,0.1988160221419236    ,13007.0
Triceps extension (lying)          ,0.09187599004299614 ,0.3530434782608696  ,0.052809573361082204  ,7688.0
Dumbbell Curl                      ,0.10705702425169324 ,0.2467270896273917  ,0.068359375           ,10752.0
V-up                               ,0.164907063197026   ,0.3394551576369758  ,0.10890700186585484   ,10183.0
Walk                               ,0.4226200917132333  ,0.3413792405473241  ,0.554603748766853     ,60820.0
Walking lunge                      ,0.1014653337151252  ,0.0578038781792133  ,0.4147160594341543    ,9826.0
Wall Ball                          ,0.11418519110826802 ,0.4255065554231228  ,0.06594015515330624   ,5414.0
Wall Squat                         ,0.0                 ,0.0                 ,0.0                   ,12347.0
accuracy                           ,0.34624108832695344 ,0.34624108832695344 ,0.34624108832695344   ,0.34624108832695344
macro avg                          ,0.15156049566697727 ,0.2009883655945918  ,0.21661082251602      ,1405460.0
weighted avg                       ,0.365559956636468   ,0.44897701106782667 ,0.34624108832695344   ,1405460.0
