Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.5087019619268551   ,0.6207871575388413  ,0.430901293549018    ,859032.0
Band Pull-Down Row                 ,0.0                  ,0.0                 ,0.0                  ,5981.0
Bicep Curl                         ,0.2636891592920354   ,0.27266228195596226 ,0.2552878179384204   ,14940.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,875.0
Burpee                             ,0.031207038768215564 ,0.07710597826086958 ,0.01956221992416408  ,11604.0
Butterfly sit-up                   ,0.28568640843009074  ,0.2456272807348685  ,0.3413582046050714   ,34310.0
Chest Press                        ,0.4245794522452384   ,0.2766304347826087  ,0.9127316198445904   ,6692.0
Crunch                             ,0.0                  ,0.0                 ,0.0                  ,9796.0
Dip                                ,0.2410045882637044   ,0.15132421322191522 ,0.5916216572256621   ,7591.0
Dumbbell Deadlift Row              ,0.0874550744480575   ,0.1897512068325288  ,0.056821972645390864 ,8993.0
Dumbbell Row (both)                ,0.024595662219572184 ,0.05350194552529183 ,0.0159682570405497   ,10333.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,2118.0
Dumbbell Squat (hands at side)     ,0.11603919546157812  ,0.06910452058738842 ,0.3616999899527781   ,9953.0
Elliptical machine                 ,0.3164582600445596   ,0.24306886104970116 ,0.4533321116608637   ,32742.0
Punches                            ,0.05760163119663566  ,0.8528301886792453  ,0.02980743867053548  ,7582.0
Jump Rope                          ,0.1816882188576256   ,0.2261586993448192  ,0.15183274504480046  ,18415.0
Jumping Jacks                      ,0.3981212874706451   ,0.397407611693326   ,0.3988375311375588   ,3613.0
Kettlebell Swing                   ,0.3189933460702286   ,0.2966548217130254  ,0.3449700769449986   ,7018.0
Lateral Raise                      ,0.0916150815981992   ,0.2171824973319104  ,0.058051633147910425 ,7011.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.0024200518582541053,0.015151515151515154,0.0013150479053165509,5323.0
Lunge (both legs)                  ,0.20198284080076265  ,0.13490385839806446 ,0.4017444065225636   ,13185.0
Ball Slam                          ,0.014648010494097072 ,0.032335907335907334,0.009468626342566422 ,7076.0
Triceps Extension (standing - both),0.5172816231259538   ,0.4429922349504113  ,0.6215079279473628   ,9271.0
Plank                              ,0.2086886579469321   ,0.1190034400083394  ,0.8470727906804185   ,26954.0
Power Boat pose                    ,0.1522560965716418   ,0.08372591006423982 ,0.8389057750759878   ,5593.0
Pushups                            ,0.08462474215898873  ,0.08719346049046321 ,0.08220304151253596  ,9732.0
Rowing machine                     ,0.0                  ,0.0                 ,0.0                  ,31196.0
Running                            ,0.05327868852459016  ,0.8643919510061242  ,0.02748643761301989  ,35945.0
Russian Twist                      ,0.22156093602056     ,0.3462270133164236  ,0.16290402784684238  ,10055.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                  ,7384.0
Shoulder Press                     ,0.2727315982300043   ,0.2212102500771843  ,0.3555390150105446   ,8061.0
Squat                              ,0.006484981102048936 ,0.041339081917321836,0.0035184665529820617,46327.0
Triceps Kickback                   ,0.24656417423713026  ,0.5090165905265689  ,0.16268347037577807  ,13013.0
Triceps extension (lying)          ,0.15478187919463088  ,0.3993506493506493  ,0.09599375650364204  ,7688.0
Dumbbell Curl                      ,0.1796443162701274   ,0.2536477774007465  ,0.13906976744186048  ,10750.0
V-up                               ,0.21482367846836067  ,0.3790362642821659  ,0.1498870444946469   ,10181.0
Walk                               ,0.46535706448037     ,0.3537453375765664  ,0.6798638628105425   ,60821.0
Walking lunge                      ,0.1276371426328245   ,0.0717257027606202  ,0.5788991759080273   ,9829.0
Wall Ball                          ,0.007272727272727274 ,0.21978021978021975 ,0.003697541135145129 ,5409.0
Wall Squat                         ,0.0                  ,0.0                 ,0.0                  ,12345.0
accuracy                           ,0.370674897435569    ,0.370674897435569   ,0.370674897435569    ,0.370674897435569
macro avg                          ,0.15803598965081087  ,0.21377011862550813 ,0.23376938417102675  ,1405458.0
weighted avg                       ,0.3814102258272435   ,0.4730892623117198  ,0.370674897435569    ,1405458.0
