Unnamed: 0                         ,f1-score            ,precision          ,recall               ,support
Noise                              ,0.6378126756736792  ,0.6898677352212697 ,0.5930622285294518   ,858979.0
Band Pull-Down Row                 ,0.15105568938642486 ,0.4948932219127205 ,0.0891304347826087   ,5980.0
Bicep Curl                         ,0.0                 ,0.0                ,0.0                  ,14941.0
Box Jump (on bench)                ,0.0                 ,0.0                ,0.0                  ,875.0
Burpee                             ,0.05186801900115548 ,0.1017888636936256 ,0.034800585752433465 ,11609.0
Butterfly sit-up                   ,0.07050282595985187 ,0.21465657914256045,0.04217798117002361  ,34307.0
Chest Press                        ,0.5051283124712186  ,0.35095986038394417,0.9008511273704644   ,6697.0
Crunch                             ,0.08588551743664763 ,0.07985958753839402,0.09289505920783993  ,9796.0
Dip                                ,0.29040708798163245 ,0.1869977255496588 ,0.6496773343869353   ,7593.0
Dumbbell Deadlift Row              ,0.3231757687012391  ,0.2752501563477173 ,0.3913091798177373   ,8998.0
Dumbbell Row (both)                ,0.12298532851371465 ,0.10972833510396114,0.1398858469575312   ,10337.0
Dumbbell Row (right)               ,0.0                 ,0.0                ,0.0                  ,2117.0
Dumbbell Squat (hands at side)     ,0.2413157894736842  ,0.15437277293005247,0.5524651069384476   ,9959.0
Elliptical machine                 ,0.3889729366280047  ,0.27379499314983186,0.6714211539048899   ,32741.0
Punches                            ,0.3631626089080693  ,0.4747711305088354 ,0.29404008438818563  ,7584.0
Jump Rope                          ,0.4340970568515479  ,0.3779692406796039 ,0.5098017920173772   ,18415.0
Jumping Jacks                      ,0.490778368240075   ,0.5635319454414932 ,0.4346622369878184   ,3612.0
Kettlebell Swing                   ,0.014043583535108959,0.0465863453815261 ,0.0082679971489665   ,7015.0
Lateral Raise                      ,0.0                 ,0.0                ,0.0                  ,7013.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                  ,722.0
Lawnmower (right)                  ,0.0                 ,0.0                ,0.0                  ,5320.0
Lunge (both legs)                  ,0.2157491820463137  ,0.13645678466669345,0.5150136487716106   ,13188.0
Ball Slam                          ,0.021472075978115002,0.03981623277182236,0.01469964664310954  ,7075.0
Triceps Extension (standing - both),0.4477935519966431  ,0.33121249741361475,0.6910209367580401   ,9266.0
Plank                              ,0.3207065750736016  ,0.20568982880161127,0.7275155832591274   ,26952.0
Power Boat pose                    ,0.20866058659414344 ,0.12005935518683394,0.7963493199713673   ,5588.0
Pushups                            ,0.06770030816640987 ,0.06375838926174497,0.07216177376308766  ,9742.0
Rowing machine                     ,0.4423908129125599  ,0.5075103734439834 ,0.3920820644334028   ,31195.0
Running                            ,0.21338718703618093 ,0.8512910114540866 ,0.12198175141871592  ,35948.0
Russian Twist                      ,0.06565025410314089 ,0.201844262295082  ,0.039200079594070236 ,10051.0
Seated Back Fly                    ,0.0                 ,0.0                ,0.0                  ,7388.0
Shoulder Press                     ,0.44642593231193656 ,0.3703310175725378 ,0.5618799603174603   ,8064.0
Squat                              ,0.019989270173068136,0.1261283851554664 ,0.010854787543969442 ,46339.0
Triceps Kickback                   ,0.13584950589355874 ,0.3009759957794777 ,0.08772199584838933  ,13007.0
Triceps extension (lying)          ,0.26111400312337324 ,0.2176705433084534 ,0.3262226847034339   ,7688.0
Dumbbell Curl                      ,0.007161400053710501,0.0954653937947494 ,0.0037202380952380955,10752.0
V-up                               ,0.308795551002488   ,0.60579959804766   ,0.2072080919179024   ,10183.0
Walk                               ,0.6279265977641848  ,0.5042042760077311 ,0.8321111476487998   ,60820.0
Walking lunge                      ,0.23317188513023915 ,0.14347060894051392,0.6221634272921542   ,9827.0
Wall Ball                          ,0.0                 ,0.0                ,0.0                  ,5399.0
Wall Squat                         ,0.0                 ,0.0                ,0.0                  ,12348.0
accuracy                           ,0.4923845371167543  ,0.4923845371167543 ,0.4923845371167543   ,0.4923845371167543
macro avg                          ,0.20036917678345664 ,0.22479787919237207,0.27869159237416075  ,1405430.0
weighted avg                       ,0.4851960724050083  ,0.533512664062424  ,0.4923845371167543   ,1405430.0
