Unnamed: 0                         ,f1-score              ,precision             ,recall                ,support
Noise                              ,0.013681579102480088  ,0.9440191387559808    ,0.006890722844859199  ,858981.0
Band Pull-Down Row                 ,0.0012395413696932136 ,0.008492569002123142  ,0.0006685609226140733 ,5983.0
Bicep Curl                         ,0.001148260722728808  ,0.001159143597436247  ,0.0011375802997858672 ,14944.0
Box Jump (on bench)                ,0.0010293625672302426 ,0.0005265374894692502 ,0.022857142857142857  ,875.0
Burpee                             ,0.00010524654001999683,0.00013526308670363854,8.613264427217915e-05 ,11610.0
Butterfly sit-up                   ,0.001417133139658471  ,0.001805217077353552  ,0.001166384790342334  ,34294.0
Chest Press                        ,0.010850866746063255  ,0.04750869061413674   ,0.0061248879593665964 ,6694.0
Crunch                             ,0.004816168565899806  ,0.004161093773220389  ,0.005716035521077881  ,9797.0
Dip                                ,0.002404026744797536  ,0.002797691904179052  ,0.002107481559536354  ,7592.0
Dumbbell Deadlift Row              ,0.008068729320253092  ,0.005459544383346426  ,0.015454747609517457  ,8994.0
Dumbbell Row (both)                ,0.011090909090909092  ,0.09172932330827067   ,0.005902273826802129  ,10335.0
Dumbbell Row (right)               ,0.0                   ,0.0                   ,0.0                   ,2122.0
Dumbbell Squat (hands at side)     ,0.005965817478232828  ,0.015139116202945991  ,0.003714859437751004  ,9960.0
Elliptical machine                 ,0.0007428146963030682 ,0.005749668288367979  ,0.00039705567942335297,32741.0
Punches                            ,0.0065324142902194    ,0.003938932956644573  ,0.019124241624901082  ,7582.0
Jump Rope                          ,0.08968858415618007   ,0.049524198164804835  ,0.4745560202031174    ,18413.0
Jumping Jacks                      ,0.012363242644374222  ,0.006325567014293721  ,0.27164591977869984   ,3615.0
Kettlebell Swing                   ,0.0009818360333824251 ,0.0007149356557909787 ,0.001566728386269762  ,7021.0
Lateral Raise                      ,0.003782863627766219  ,0.00339097999321804   ,0.00427715996578272   ,7014.0
Lawnmower (both)                   ,0.003278170543860342  ,0.0016627601819019571 ,0.11511789181692095   ,721.0
Lawnmower (right)                  ,0.0040545106430904376 ,0.0028945887271850123 ,0.00676564555534674   ,5321.0
Lunge (both legs)                  ,0.0019659642440253123 ,0.005184705119896306  ,0.0012129482222727618 ,13191.0
Ball Slam                          ,0.010897778834532091  ,0.005859916043384688  ,0.07768361581920905   ,7080.0
Triceps Extension (standing - both),0.001957585644371941  ,0.004016064257028112  ,0.0012942191544434854 ,9272.0
Plank                              ,0.21983114783545896   ,0.21307936065745028   ,0.22702482098467705   ,26953.0
Power Boat pose                    ,0.1169124771234794    ,0.06880603161529446   ,0.3886205045625336    ,5589.0
Pushups                            ,0.003009433416285665  ,0.003447818591698713  ,0.0026699527623742047 ,9738.0
Rowing machine                     ,0.0052800216616273295 ,0.008912248628884827  ,0.00375120230843219   ,31190.0
Running                            ,0.008829265156548015  ,0.007180702732849972  ,0.011460361613351878  ,35950.0
Russian Twist                      ,0.0010259648015152713 ,0.0008503957611042062 ,0.0012928891098955744 ,10055.0
Seated Back Fly                    ,0.0020508392249986513 ,0.001704188716476814  ,0.0025745257452574532 ,7380.0
Shoulder Press                     ,0.002899651351444648  ,0.002009665534236088  ,0.0052044609665427505 ,8070.0
Squat                              ,0.0032460816294056804 ,0.006179945471069373  ,0.00220112214069918   ,46340.0
Triceps Kickback                   ,0.010605833208264548  ,0.015181896304783732  ,0.008149457984162374  ,13007.0
Triceps extension (lying)          ,0.00606060606060606   ,0.008591885441527447  ,0.0046814044213263975 ,7690.0
Dumbbell Curl                      ,0.0005395016353643323 ,0.00042321324657461785,0.0007439092430723452 ,10754.0
V-up                               ,0.010895467532929444  ,0.005797522016704938  ,0.09029278836706622   ,10178.0
Walk                               ,0.1972618262092219    ,0.12486715097335148   ,0.4694179546201907    ,60820.0
Walking lunge                      ,0.016417189763399318  ,0.00975199342218483   ,0.051866164954744234  ,9833.0
Wall Ball                          ,0.003257515144587953  ,0.0019266520196045292 ,0.010534097209388284  ,5411.0
Wall Squat                         ,0.04021614881014236   ,0.05613577023498695   ,0.0313309585492228    ,12352.0
accuracy                           ,0.0402444178497889    ,0.0402444178497889    ,0.0402444178497889    ,0.0402444178497889
macro avg                          ,0.020643960422228092  ,0.042610782608938184  ,0.057494752000546136  ,1405462.0
weighted avg                       ,0.024493379420389868  ,0.590298591779679     ,0.0402444178497889    ,1405462.0
