Unnamed: 0                         ,f1-score             ,precision             ,recall               ,support
Noise                              ,0.011936849766912555 ,0.7908756889161054    ,0.006013808710593313 ,859023.0
Band Pull-Down Row                 ,0.007918910357934747 ,0.07507507507507508   ,0.004179903026249791 ,5981.0
Bicep Curl                         ,0.01158152103976322  ,0.011150343802267235  ,0.012047386386453385 ,14941.0
Box Jump (on bench)                ,0.0008399646330680813,0.00042825587161339767,0.021739130434782608 ,874.0
Burpee                             ,0.013660394706597051 ,0.011037410453701248  ,0.01791867677463818  ,11608.0
Butterfly sit-up                   ,0.015606918337347137 ,0.0168393345256977    ,0.014542593186255937 ,34313.0
Chest Press                        ,0.023494463948150145 ,0.12201963534361852   ,0.012998655311519496 ,6693.0
Crunch                             ,0.019144994167295686 ,0.014416369555107738  ,0.028489737567650362 ,9793.0
Dip                                ,0.024952535937076213 ,0.021209885651051277  ,0.030299038334870236 ,7591.0
Dumbbell Deadlift Row              ,0.046061512262995034 ,0.02540344286516017   ,0.2465814341300723   ,8995.0
Dumbbell Row (both)                ,0.0040411139418431   ,0.022030651340996167  ,0.0022245865170712835,10339.0
Dumbbell Row (right)               ,0.026225974492545358 ,0.02117169373549884   ,0.034450212364322795 ,2119.0
Dumbbell Squat (hands at side)     ,0.07625880164740267  ,0.11259317379364454   ,0.05765367617517075  ,9956.0
Elliptical machine                 ,0.0219418249435516   ,0.08428571428571427   ,0.012612612612612612 ,32745.0
Punches                            ,0.034371797867941825 ,0.019898426442427772  ,0.1260714756692602   ,7583.0
Jump Rope                          ,0.2048358393452755   ,0.12741614742145035   ,0.5220248764325675   ,18411.0
Jumping Jacks                      ,0.03449485500467726  ,0.01800822884490947   ,0.4082479933573208   ,3613.0
Kettlebell Swing                   ,0.006515649738156132 ,0.0041435929210393825 ,0.015239994302805869 ,7021.0
Lateral Raise                      ,0.013027901422212574 ,0.010514325768860073  ,0.017120844628334998 ,7009.0
Lawnmower (both)                   ,0.008167415063966791 ,0.004134216214361684  ,0.3342579750346741   ,721.0
Lawnmower (right)                  ,0.01812530099382689  ,0.011815742907700209  ,0.03889515219842165  ,5322.0
Lunge (both legs)                  ,0.006282416538826796 ,0.08531746031746032   ,0.003261281759575275 ,13185.0
Ball Slam                          ,0.01988666219351501  ,0.01054635250540179   ,0.17390074932843205  ,7073.0
Triceps Extension (standing - both),0.029606351306649018 ,0.06336283185840708   ,0.019315851947771658 ,9267.0
Plank                              ,0.12883157791121172  ,0.137248322147651     ,0.12138749768132072  ,26955.0
Power Boat pose                    ,0.1835658625355793   ,0.10553707479343276   ,0.7042606516290727   ,5586.0
Pushups                            ,0.03389466909792985  ,0.03546576879910213   ,0.032456861133935914 ,9736.0
Rowing machine                     ,0.0995902516085504   ,0.10231268596159047   ,0.09700894431442952  ,31193.0
Running                            ,0.06855949895615868  ,0.04898568019093079   ,0.1141863699582754   ,35950.0
Russian Twist                      ,0.0021037868162692847,0.0016234644731857786 ,0.0029877502240812674,10041.0
Seated Back Fly                    ,0.01905371867744776  ,0.013530415008527572  ,0.032196969696969696 ,7392.0
Shoulder Press                     ,0.0349428997020854   ,0.02329912266181096   ,0.06985111662531017  ,8060.0
Squat                              ,0.03487038994684573  ,0.05620620140155515   ,0.025275745213581127 ,46329.0
Triceps Kickback                   ,0.005643892114831497 ,0.009599409267122024  ,0.003996925441967717 ,13010.0
Triceps extension (lying)          ,0.02348539956354567  ,0.01954510075239989   ,0.029415592867369517 ,7683.0
Dumbbell Curl                      ,0.007594706444131156 ,0.005026184313489436  ,0.015531994047619046 ,10752.0
V-up                               ,0.03381704605339264  ,0.018091924304103862  ,0.25849872273531144  ,10178.0
Walk                               ,0.3920921707253208   ,0.26688450570342204   ,0.7386057218020388   ,60820.0
Walking lunge                      ,0.07019549109254297  ,0.04353139588883729   ,0.18116163157359372  ,9831.0
Wall Ball                          ,0.017607405171546433 ,0.010189228529839884  ,0.06474287828338883  ,5406.0
Wall Squat                         ,0.10134040359404918  ,0.09290392276011072   ,0.11146213041717294  ,12345.0
accuracy                           ,0.06568960818759638  ,0.06568960818759638   ,0.06568960818759638  ,0.06568960818759638
macro avg                          ,0.04722363755290168  ,0.06521157091157029   ,0.11617354023992355  ,1405443.0
weighted avg                       ,0.04098925204578276  ,0.513425592010521     ,0.06568960818759638  ,1405443.0
