Unnamed: 0                         ,f1-score            ,precision             ,recall               ,support
Noise                              ,0.011491038515317149,0.7767536322449617    ,0.00578833461975927  ,858969.0
Band Pull-Down Row                 ,0.010405171054705977,0.09166666666666666   ,0.005515627611566104 ,5983.0
Bicep Curl                         ,0.007233273056057866,0.006989951944080385  ,0.007494145199063231 ,14945.0
Box Jump (on bench)                ,0.000823911749897011,0.00042037413297835066,0.02057142857142857  ,875.0
Burpee                             ,0.014325914556152468,0.011392533821584784  ,0.01929371231696813  ,11610.0
Butterfly sit-up                   ,0.01617369414726243 ,0.017563042438324336  ,0.01498804455589899  ,34294.0
Chest Press                        ,0.02099031216361679 ,0.10569105691056913   ,0.011652225873916941 ,6694.0
Crunch                             ,0.01749192680301399 ,0.013045005268175204  ,0.02653873634786159  ,9797.0
Dip                                ,0.028039383561643837,0.023612112472963232  ,0.0345100105374078   ,7592.0
Dumbbell Deadlift Row              ,0.04846377782897355 ,0.0267514450867052    ,0.2572826328663553   ,8994.0
Dumbbell Row (both)                ,0.004037212568018257,0.02171860245514636   ,0.0022254475084663764,10335.0
Dumbbell Row (right)               ,0.022976126368695032,0.01855610321832415   ,0.030160226201696512 ,2122.0
Dumbbell Squat (hands at side)     ,0.08089242612042534 ,0.11547774259638667   ,0.06224899598393574  ,9960.0
Elliptical machine                 ,0.01855889391119384 ,0.07167796262066133   ,0.010659417855288476 ,32741.0
Punches                            ,0.033043695469873485,0.019106571752811302  ,0.12213136375626485  ,7582.0
Jump Rope                          ,0.20827364484346125 ,0.1303913245885478    ,0.5171889425949058   ,18413.0
Jumping Jacks                      ,0.034230005416140095,0.01789354473386183   ,0.3933609958506224   ,3615.0
Kettlebell Swing                   ,0.00816400580551524 ,0.005182142720049135  ,0.0192280301951289   ,7021.0
Lateral Raise                      ,0.013816746312071472,0.010867788854387972  ,0.018962075848303398 ,7014.0
Lawnmower (both)                   ,0.00898684771556955 ,0.004547189538144946  ,0.3800277392510402   ,721.0
Lawnmower (right)                  ,0.014632495982407175,0.009440654843110505  ,0.032512685585416284 ,5321.0
Lunge (both legs)                  ,0.005713867115962201,0.08478260869565217   ,0.0029565612917898565,13191.0
Ball Slam                          ,0.019479045024004157,0.010332782710441187  ,0.16963276836158192  ,7080.0
Triceps Extension (standing - both),0.0362492758420922  ,0.07790821771611528   ,0.023619499568593612 ,9272.0
Plank                              ,0.12499507893390024 ,0.13312927166757516   ,0.11779764775720698  ,26953.0
Power Boat pose                    ,0.1828698348063486  ,0.10501421624637952   ,0.7071032385042046   ,5589.0
Pushups                            ,0.03322259136212625 ,0.03414634146341464   ,0.03234750462107209  ,9738.0
Rowing machine                     ,0.10952721132614626 ,0.11094664824682586   ,0.10814363578069894  ,31190.0
Running                            ,0.07059485304457883 ,0.05023723465627465   ,0.11869262865090405  ,35950.0
Russian Twist                      ,0.001247833622183709,0.0009577015163607344 ,0.0017901541521631028,10055.0
Seated Back Fly                    ,0.017822641063049562,0.012568822646126469  ,0.030623306233062333 ,7380.0
Shoulder Press                     ,0.0346824389186511  ,0.023118523717128348  ,0.06939281288723669  ,8070.0
Squat                              ,0.038609230953128036,0.06275805119735756   ,0.027880880448856282 ,46340.0
Triceps Kickback                   ,0.00529296564865294 ,0.008494733265375467  ,0.0038440839547935726,13007.0
Triceps extension (lying)          ,0.021648626144879262,0.018046156515703626  ,0.0270481144343303   ,7690.0
Dumbbell Curl                      ,0.008601260291614921,0.0057137619164018575 ,0.01738887855681607  ,10754.0
V-up                               ,0.03657654866114081 ,0.01957437987977613   ,0.2783454509726862   ,10178.0
Walk                               ,0.3960482347813453  ,0.2704381339474143    ,0.7395429135152909   ,60820.0
Walking lunge                      ,0.07178346026204226 ,0.044236907435867126  ,0.19025828757372384  ,9834.0
Wall Ball                          ,0.017446787298738848,0.010080354828489962  ,0.06480281429364933  ,5401.0
Wall Squat                         ,0.10158096926713947 ,0.09341032608695653   ,0.11131800518134716  ,12352.0
accuracy                           ,0.06611372080811588 ,0.06611372080811588   ,0.06611372080811588  ,0.06611372080811588
macro avg                          ,0.04773276239799358 ,0.06523513715278237   ,0.1179236586797879   ,1405442.0
weighted avg                       ,0.041231500216005135,0.5050895858563443    ,0.06611372080811588  ,1405442.0
