Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.010743877111126777 ,0.7408351928594198   ,0.005411176034357708 ,858963.0
Band Pull-Down Row                 ,0.010985561833019459 ,0.08997429305912596  ,0.005849908072873141 ,5983.0
Bicep Curl                         ,0.007788111865606797 ,0.007502480158730159 ,0.008096353295416527 ,14945.0
Box Jump (on bench)                ,0.0016687724986292226,0.0008521620568757304,0.04                 ,875.0
Burpee                             ,0.024770125727153317 ,0.019446081319976428 ,0.034108527131782945 ,11610.0
Butterfly sit-up                   ,0.02387788079885788  ,0.02584391767982069  ,0.022189823589444525 ,34295.0
Chest Press                        ,0.017710988863544882 ,0.08695652173913042  ,0.00985957573946818  ,6694.0
Crunch                             ,0.019925857275254862 ,0.014744060739652216 ,0.030723690925793613 ,9797.0
Dip                                ,0.032953480341374373 ,0.02634277151194889  ,0.04399367755532139  ,7592.0
Dumbbell Deadlift Row              ,0.05340780528574195  ,0.029398893614156357 ,0.29130531465421394  ,8994.0
Dumbbell Row (both)                ,0.005591961555264308 ,0.028828828828828833 ,0.003096274794388002 ,10335.0
Dumbbell Row (right)               ,0.03308823529411765  ,0.027124773960217    ,0.042412818096135715 ,2122.0
Dumbbell Squat (hands at side)     ,0.08513756578509094  ,0.12650960205899822  ,0.06415662650602409  ,9960.0
Elliptical machine                 ,0.018685334843259384 ,0.05938164567315558  ,0.011087016279282855 ,32741.0
Punches                            ,0.040446693421741405 ,0.023306788931788933 ,0.1528620416776576   ,7582.0
Jump Rope                          ,0.2454979597616075   ,0.1608799811047002   ,0.5178949655134959   ,18413.0
Jumping Jacks                      ,0.04243431420303144  ,0.022375995286083368 ,0.4096818810511757   ,3615.0
Kettlebell Swing                   ,0.008681925808997631 ,0.005516762470583697 ,0.02036746902150691  ,7021.0
Lateral Raise                      ,0.008787989747345295 ,0.006471619253067278 ,0.013686911890504704 ,7014.0
Lawnmower (both)                   ,0.007956789406435126 ,0.004020483925400948 ,0.3800277392510402   ,721.0
Lawnmower (right)                  ,0.014778902920592722 ,0.009330568720379146 ,0.03551963916557038  ,5321.0
Lunge (both legs)                  ,0.002493765586034913 ,0.038374717832957116 ,0.0012887574861648091,13191.0
Ball Slam                          ,0.020025637818909457 ,0.0105993910107897   ,0.1809322033898305   ,7080.0
Triceps Extension (standing - both),0.04822843214068077  ,0.1250564334085779   ,0.0298748921484038   ,9272.0
Plank                              ,0.10377643200611633  ,0.11336263736263735  ,0.09568508143805884  ,26953.0
Power Boat pose                    ,0.18275117032769173  ,0.1045233375382952   ,0.7264269100017893   ,5589.0
Pushups                            ,0.04151478331308222  ,0.04094268024765328  ,0.04210310125282399  ,9738.0
Rowing machine                     ,0.07697651799360844  ,0.07423398743411845  ,0.07992946457197819  ,31190.0
Running                            ,0.07189129773848782  ,0.04994205378708287  ,0.12826147426981918  ,35950.0
Russian Twist                      ,0.0016217443482209465,0.001203311513284559 ,0.002486325211337643 ,10055.0
Seated Back Fly                    ,0.02348650619985412  ,0.016067864271457087 ,0.043631436314363135 ,7380.0
Shoulder Press                     ,0.03792901415399797  ,0.02524734184490332  ,0.0762081784386617   ,8070.0
Squat                              ,0.04940759006435317  ,0.08146568821896072  ,0.035455330168321114 ,46340.0
Triceps Kickback                   ,0.008522579639349373 ,0.013149454778704295 ,0.006304297685861459 ,13007.0
Triceps extension (lying)          ,0.024351842132885482 ,0.020415346708905317 ,0.030169050715214564 ,7690.0
Dumbbell Curl                      ,0.012323943661971832 ,0.008137108792846497 ,0.025385902919843783 ,10754.0
V-up                               ,0.044879831417215715 ,0.02407388859477171  ,0.3306150520730988   ,10178.0
Walk                               ,0.4256545511816946   ,0.2980517898645668   ,0.7443110818809602   ,60820.0
Walking lunge                      ,0.06816023634509198  ,0.041205987412825315 ,0.1970713849908481   ,9834.0
Wall Ball                          ,0.018617956714423053 ,0.010657432015247912 ,0.07357301704966641  ,5396.0
Wall Squat                         ,0.1046595499134449   ,0.0943678459937565   ,0.1174708549222798   ,12352.0
accuracy                           ,0.06735224471906147  ,0.06735224471906147  ,0.06735224471906147  ,0.06735224471906147
macro avg                          ,0.05078520773280263  ,0.06601760301425323  ,0.124622322614019    ,1405432.0
weighted avg                       ,0.04254393790513239  ,0.4842898175566844   ,0.06735224471906147  ,1405432.0
