Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7228154194843134  ,0.7196521052777342  ,0.7260066658983305  ,858999.0
Band Pull-Down Row                 ,0.1490331321591329  ,0.11795671670891013 ,0.20234113712374585 ,5980.0
Bicep Curl                         ,0.23684577808792745 ,0.2473580642810291  ,0.2271905750050204  ,14939.0
Box Jump (on bench)                ,0.023021582733812957,0.019834710743801654,0.027428571428571427,875.0
Burpee                             ,0.1043111707223606  ,0.09395278199641033 ,0.1172366267551038  ,11609.0
Butterfly sit-up                   ,0.3312589476144565  ,0.33202530162820665 ,0.33049612312714977 ,34306.0
Chest Press                        ,0.3025779145825317  ,0.312162591298825   ,0.29356428251455874 ,6697.0
Crunch                             ,0.1815538215480056  ,0.17283381009504475 ,0.1912004899959167  ,9796.0
Dip                                ,0.19340060669844614 ,0.1824766355140187  ,0.20571579086000266 ,7593.0
Dumbbell Deadlift Row              ,0.15141789866891145 ,0.14377060645419126 ,0.15992442765058898 ,8998.0
Dumbbell Row (both)                ,0.08535130930775214 ,0.09197586052749218 ,0.07961691012866402 ,10337.0
Dumbbell Row (right)               ,0.024877365101611773,0.019771651350598718,0.03353802550779405 ,2117.0
Dumbbell Squat (hands at side)     ,0.1885573501231864  ,0.2073200096315916  ,0.17290892659905613 ,9959.0
Elliptical machine                 ,0.3147213196700825  ,0.3462638410207524  ,0.28844567972878044 ,32741.0
Punches                            ,0.15126559283032578 ,0.13986562150055992 ,0.16468881856540085 ,7584.0
Jump Rope                          ,0.2289981699037724  ,0.2508568841751277  ,0.21064349714906327 ,18415.0
Jumping Jacks                      ,0.3244221665274297  ,0.3263305322128852  ,0.3225359911406423  ,3612.0
Kettlebell Swing                   ,0.4817015952455427  ,0.5335181015070154  ,0.4390591589451176  ,7015.0
Lateral Raise                      ,0.1670802315963606  ,0.17674196627426025 ,0.1584200769998574  ,7013.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,722.0
Lawnmower (right)                  ,0.10914051841746247 ,0.113314447592068   ,0.10526315789473684 ,5320.0
Lunge (both legs)                  ,0.13572149344096873 ,0.1293269230769231  ,0.14278131634819533 ,13188.0
Ball Slam                          ,0.2232612507305669  ,0.2065112926477655  ,0.24296819787985866 ,7075.0
Triceps Extension (standing - both),0.4720563139931741  ,0.4665823318574742  ,0.4776602633282971  ,9266.0
Plank                              ,0.329103960707764   ,0.28581975281636224 ,0.3878376372810923  ,26952.0
Power Boat pose                    ,0.2981691368788143  ,0.32502639915522696 ,0.27541159627773804 ,5588.0
Pushups                            ,0.12173819279706707 ,0.12820803997274585 ,0.1158899609936358  ,9742.0
Rowing machine                     ,0.3383056677134739  ,0.40576655755347296 ,0.29007853822728    ,31195.0
Running                            ,0.3605954072855113  ,0.3900702333559893  ,0.3352620451763659  ,35948.0
Russian Twist                      ,0.2605087303298125  ,0.284185773074662   ,0.2404735847179385  ,10051.0
Seated Back Fly                    ,0.1820284826140389  ,0.19534522885958108 ,0.17041147807255008 ,7388.0
Shoulder Press                     ,0.3684098864962341  ,0.3218721037998146  ,0.4306795634920635  ,8064.0
Squat                              ,0.28207874954589063 ,0.2481561608811093  ,0.3267442111396448  ,46339.0
Triceps Kickback                   ,0.2786428711512061  ,0.2844330557335041  ,0.2730837241485354  ,13007.0
Triceps extension (lying)          ,0.2939274669665449  ,0.31972477064220184 ,0.2719823100936524  ,7688.0
Dumbbell Curl                      ,0.2373349982161969  ,0.22798149417409186 ,0.2474888392857143  ,10752.0
V-up                               ,0.2735965594546369  ,0.2561247216035635  ,0.2936266326229991  ,10183.0
Walk                               ,0.32429381829504433 ,0.3972253343186098  ,0.2739888194672805  ,60820.0
Walking lunge                      ,0.16577413392730206 ,0.1551219512195122  ,0.17799715041726033 ,9826.0
Wall Ball                          ,0.2705200369654709  ,0.2481121898597627  ,0.2973771702992242  ,5414.0
Wall Squat                         ,0.03598533299224013 ,0.03799405780138651 ,0.03417834291730785 ,12347.0
accuracy                           ,0.5458632760804292  ,0.5458632760804292  ,0.5458632760804292  ,0.5458632760804292
macro avg                          ,0.23718059467135086 ,0.24052611249254344 ,0.2381011296391399  ,1405460.0
weighted avg                       ,0.5455958935040751  ,0.5481670327750732  ,0.5458632760804292  ,1405460.0
