Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.7186094055468844   ,0.7075745591220467   ,0.729993888420011   ,859025.0
Band Pull-Down Row                 ,0.19624091755239292  ,0.15311094452773613  ,0.27319846179568635 ,5981.0
Bicep Curl                         ,0.2323295365891715   ,0.2784478728377747   ,0.1993173147714343  ,14941.0
Box Jump (on bench)                ,0.0005730659025787965,0.0003824091778202677,0.001142857142857143,875.0
Burpee                             ,0.0728126834997064   ,0.06341089235489644  ,0.08548776284039986 ,11604.0
Butterfly sit-up                   ,0.2995010144212316   ,0.28272684921579794  ,0.3183911396094433  ,34310.0
Chest Press                        ,0.3239672333303973   ,0.39455052563827503  ,0.27480573819485954 ,6692.0
Crunch                             ,0.187514450867052    ,0.21615138592750527  ,0.16557778685177624 ,9796.0
Dip                                ,0.20939818631492169  ,0.1893302097753168   ,0.2342247398234752  ,7591.0
Dumbbell Deadlift Row              ,0.1830256758876745   ,0.1727541954590326   ,0.1945957967307906  ,8993.0
Dumbbell Row (both)                ,0.07038600417026905  ,0.07416934619506968  ,0.06696990225491145 ,10333.0
Dumbbell Row (right)               ,0.02504581551618815  ,0.01851015801354402  ,0.03871576959395656 ,2118.0
Dumbbell Squat (hands at side)     ,0.19910795974382434  ,0.23105507631055075  ,0.17492213402994072 ,9953.0
Elliptical machine                 ,0.2857552489884347   ,0.2986481086840703   ,0.2739295094985035  ,32742.0
Punches                            ,0.1693003404298562   ,0.1376973303578808   ,0.21973094170403587 ,7582.0
Jump Rope                          ,0.4670279753140566   ,0.5519028579890419   ,0.4047787130057019  ,18415.0
Jumping Jacks                      ,0.3298538622129436   ,0.33174692049272114  ,0.3279822861887628  ,3613.0
Kettlebell Swing                   ,0.268735612584193    ,0.33453619189131817  ,0.2245654032487888  ,7018.0
Lateral Raise                      ,0.12256055888829827  ,0.1310490418967197   ,0.11510483525887892 ,7011.0
Lawnmower (both)                   ,0.0                  ,0.0                  ,0.0                 ,721.0
Lawnmower (right)                  ,0.047703493527221134 ,0.045172124265323264 ,0.050535412361450316,5323.0
Lunge (both legs)                  ,0.15016305390370227  ,0.15194099378881987  ,0.1484262419416003  ,13185.0
Ball Slam                          ,0.12415320479416365  ,0.1151522474625423   ,0.13468061051441493 ,7076.0
Triceps Extension (standing - both),0.4407962050041857   ,0.3874580982748753   ,0.5111638442454967  ,9271.0
Plank                              ,0.37138439000569706  ,0.3308488732925379   ,0.4232395933813163  ,26954.0
Power Boat pose                    ,0.2522385216231663   ,0.26992864424057084  ,0.2367244770248525  ,5593.0
Pushups                            ,0.0974431019949424   ,0.10752821530447723  ,0.08908754623921085 ,9732.0
Rowing machine                     ,0.308679354094579    ,0.3525440474230199   ,0.2745223746634184  ,31196.0
Running                            ,0.4846229925116564   ,0.5561360524609066   ,0.4294060370009737  ,35945.0
Russian Twist                      ,0.07171956418758882  ,0.06847580280416103  ,0.07528592739930383 ,10055.0
Seated Back Fly                    ,0.1071452487778745   ,0.10597430123195126  ,0.10834236186348864 ,7384.0
Shoulder Press                     ,0.42099205892507774  ,0.3926156488139959   ,0.4537898523756358  ,8061.0
Squat                              ,0.2126766586770366   ,0.19719660641829584  ,0.230794137328124   ,46327.0
Triceps Kickback                   ,0.26208339344971865  ,0.24695805859560874  ,0.279182356105433   ,13013.0
Triceps extension (lying)          ,0.2538129496402878   ,0.28396651641983256  ,0.2294484911550468  ,7688.0
Dumbbell Curl                      ,0.30038282028423097  ,0.3442721480947229   ,0.2664186046511628  ,10750.0
V-up                               ,0.4632050414040935   ,0.4930155210643016   ,0.4367940280915431  ,10181.0
Walk                               ,0.4357950127291514   ,0.6187912154395305   ,0.3363312013942553  ,60821.0
Walking lunge                      ,0.18408526490066227  ,0.18730259001895136  ,0.1809766022380468  ,9830.0
Wall Ball                          ,0.11895722601872945  ,0.10931927430609396  ,0.13045891931902295 ,5404.0
Wall Squat                         ,0.035269903639255314 ,0.04173585741171261  ,0.030538679627379505,12345.0
accuracy                           ,0.5494482897979861   ,0.5494482897979861   ,0.5494482897979861  ,0.5494482897979861
macro avg                          ,0.2318306099476365   ,0.2432704320243744   ,0.2287702995093997  ,1405448.0
weighted avg                       ,0.5480997374335151   ,0.5530091080487408   ,0.5494482897979861  ,1405448.0
