                                           ,f1-score            ,precision           ,recall              ,support
No activity                                ,0.8260225220439819  ,0.8176359554342739  ,0.8345829151661845  ,186329.0
Walking                                    ,0.2035993955213628  ,0.4363957597173145  ,0.13277190467658126 ,5581.0
Jogging                                    ,0.5937382119954734  ,0.6909569798068481  ,0.5205026455026455  ,4536.0
Running                                    ,0.6559666748345993  ,0.6855313700384122  ,0.6288466055907916  ,4257.0
Jump up                                    ,0.11381367599816428 ,0.09531129900076864 ,0.14123006833712984 ,878.0
Jump front and back                        ,0.19053289669544504 ,0.17515051997810618 ,0.20887728459530025 ,1532.0
Jump sideways                              ,0.08052846807172066 ,0.07867240319606637 ,0.08247422680412371 ,1552.0
Jump leg/arms open/closed                  ,0.5512039454598201  ,0.5394662123793299  ,0.5634638196915777  ,1686.0
Jump rope                                  ,0.07852062588904694 ,0.05281285878300804 ,0.15299334811529933 ,902.0
Trunk twist (arms outstretched)            ,0.4175118323191346  ,0.42410714285714285 ,0.4111185086551265  ,3004.0
Trunk twist (elbows bent)                  ,0.550438596491228   ,0.6130923302393747  ,0.49940310385992837 ,2513.0
Waist bends forward                        ,0.2744903033316758  ,0.38016528925619836 ,0.21478599221789882 ,2570.0
Waist rotation                             ,0.4147589550228925  ,0.4913848117421825  ,0.35880708294501396 ,2146.0
Waist bends (reach foot with opposite hand),0.5021219566674113  ,0.5383141762452107  ,0.47048974466303894 ,2389.0
Reach heels backwards                      ,0.5070350473266819  ,0.50846587993843    ,0.5056122448979592  ,1960.0
Lateral bend                               ,0.19159456118665016 ,0.21587743732590528 ,0.17222222222222222 ,1800.0
Lateral bend with arm up                   ,0.21354287034897154 ,0.18253654681943896 ,0.2572383073496659  ,1796.0
Repetitive forward stretching              ,0.26236044657097285 ,0.23875181422351233 ,0.2911504424778761  ,1130.0
Upper trunk and lower body opposite twist  ,0.25706099058534587 ,0.2751971954425942  ,0.2411674347158218  ,1302.0
Lateral elevation of arms                  ,0.27875095201827876 ,0.37888198757763975 ,0.22048192771084338 ,1660.0
Frontal elevation of arms                  ,0.14174894217207334 ,0.18662952646239556 ,0.11426947129050596 ,1759.0
Frontal hand claps                         ,0.2046545991872922  ,0.2567191844300278  ,0.17014742014742015 ,1628.0
Frontal crossing of arms                   ,0.15016887503247597 ,0.14478957915831664 ,0.1559633027522936  ,1853.0
Shoulders high-amplitude rotation          ,0.2500953107129241  ,0.3138755980861244  ,0.20785804816223066 ,1578.0
Shoulders low-amplitude rotation           ,0.08567096285064443 ,0.070625            ,0.10886319845857419 ,1038.0
Arms inner rotation                        ,0.22163588390501318 ,0.21475529583637692 ,0.22897196261682243 ,1284.0
Knees (alternating) to the breast          ,0.031567080045095834,0.024933214603739984,0.043010752688172046,651.0
Heels (alternatively) to the backside      ,0.23908918406072105 ,0.2111731843575419  ,0.2755102040816326  ,686.0
Knees bending (crouching)                  ,0.20407084324610095 ,0.2511385816525699  ,0.17186108637577915 ,2246.0
Knees (alternating) bending forward        ,0.4603836530442035  ,0.5252140818268316  ,0.40979955456570155 ,2694.0
Rotation on the knees                      ,0.34828496042216356 ,0.336734693877551   ,0.36065573770491804 ,1464.0
Rowing                                     ,0.61671469740634    ,0.6326681448632668  ,0.6015460295151089  ,2846.0
Elliptical bike                            ,0.6759790471439262  ,0.6864235055724417  ,0.6658476658476659  ,4070.0
Cycling                                    ,0.2754653130287648  ,0.2129774986917844  ,0.38984674329501917 ,4176.0
accuracy                                   ,0.7007526330506105  ,0.7007526330506105  ,0.7007526330506105  ,0.7007526330506105
macro avg                                  ,0.3255624200187234  ,0.3496283841006096  ,0.3180109119910845  ,257496.0
weighted avg                               ,0.6989553560754973  ,0.7042694509822908  ,0.7007526330506105  ,257496.0
