Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.73564685216648     ,0.6498272953650895  ,0.8475830588859824  ,858999.0
Band Pull-Down Row                 ,0.036190673146520524 ,0.04741262530479545 ,0.029264214046822744,5980.0
Bicep Curl                         ,0.1664961005046406   ,0.17607105538140022 ,0.15790882923890487 ,14939.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                 ,875.0
Burpee                             ,0.021458046767537826 ,0.029698446542796225,0.0167973124300112  ,11609.0
Butterfly sit-up                   ,0.13926887426717105  ,0.1808951609147222  ,0.1132163469946948  ,34306.0
Chest Press                        ,0.14113408521303258  ,0.14841047603360238 ,0.13453785276989694 ,6697.0
Crunch                             ,0.05523423944476576  ,0.09464816650148662 ,0.038995508370763585,9796.0
Dip                                ,0.03903378260108524  ,0.05817897208452909 ,0.029369155801396023,7593.0
Dumbbell Deadlift Row              ,0.020090634441087614 ,0.03135313531353135 ,0.014781062458324072,8998.0
Dumbbell Row (both)                ,0.03821230543122454  ,0.06174438687392055 ,0.02766760181870949 ,10337.0
Dumbbell Row (right)               ,0.0029186428310835465,0.00641025641025641 ,0.001889466225791214,2117.0
Dumbbell Squat (hands at side)     ,0.033990073695292534 ,0.06768493560946391 ,0.022693041470027108,9959.0
Elliptical machine                 ,0.17303461074865592  ,0.2315886510293967  ,0.1381142909501848  ,32741.0
Punches                            ,0.007654688496704231 ,0.01975850713501646 ,0.004746835443037975,7584.0
Jump Rope                          ,0.047327178213980914 ,0.08284666576123863 ,0.033125169698615266,18415.0
Jumping Jacks                      ,0.023922458238812127 ,0.04688763136620857 ,0.016057585825027684,3612.0
Kettlebell Swing                   ,0.13319952559073078  ,0.1849974657881399  ,0.10406272273699216 ,7015.0
Lateral Raise                      ,0.04448958862366684  ,0.07733050847457627 ,0.031227719948666764,7013.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                 ,722.0
Lawnmower (right)                  ,0.015175835400554503 ,0.033920417482061316,0.009774436090225564,5320.0
Lunge (both legs)                  ,0.04037700072500139  ,0.07632300231920726 ,0.027449196239005155,13188.0
Ball Slam                          ,0.050042955326460484 ,0.10415735359856952 ,0.03293286219081272 ,7075.0
Triceps Extension (standing - both),0.14310177946541586  ,0.2307322929171669  ,0.10371249730196418 ,9266.0
Plank                              ,0.42358796979795     ,0.34103103986959177 ,0.5588824577025824  ,26952.0
Power Boat pose                    ,0.3816649104320337   ,0.4641209636084059  ,0.3240873299928418  ,5588.0
Pushups                            ,0.034019553294650666 ,0.0753786544557943  ,0.021966741942106342,9742.0
Rowing machine                     ,0.12584238756704716  ,0.2208189204408334  ,0.08799487097291232 ,31195.0
Running                            ,0.12597805837300766  ,0.2461575796796635  ,0.08465005007232669 ,35948.0
Russian Twist                      ,0.15217239695934168  ,0.2544309701492537  ,0.10854641329220974 ,10051.0
Seated Back Fly                    ,0.022573363431151242 ,0.06793478260869565 ,0.013535462912831621,7388.0
Shoulder Press                     ,0.06188897390121568  ,0.09840497431738307 ,0.04513888888888889 ,8064.0
Squat                              ,0.1338310954950433   ,0.2449893757537472  ,0.09206068322579253 ,46339.0
Triceps Kickback                   ,0.04839279406570116  ,0.10329228449359136 ,0.03159837010840317 ,13007.0
Triceps extension (lying)          ,0.04362946569712298  ,0.11493614658523042 ,0.026925078043704483,7688.0
Dumbbell Curl                      ,0.09423801830910072  ,0.1705653021442495  ,0.06510416666666667 ,10752.0
V-up                               ,0.08543922984356198  ,0.1824606488917443  ,0.05577923990965335 ,10183.0
Walk                               ,0.2383840429301878   ,0.3102385030965872  ,0.1935547517264058  ,60820.0
Walking lunge                      ,0.0344375204985241   ,0.08860759493670886 ,0.02137187054752697 ,9826.0
Wall Ball                          ,0.02396804260985353  ,0.12121212121212123 ,0.013298854820834871,5414.0
Wall Squat                         ,0.16717019133937566  ,0.24187116564417174 ,0.12772333360330446 ,12347.0
accuracy                           ,0.5612667738676306   ,0.5612667738676306  ,0.5612667738676306  ,0.5612667738676306
macro avg                          ,0.10500531575328716  ,0.1460324008803646  ,0.0928811056430451  ,1405460.0
weighted avg                       ,0.5003239924364379   ,0.4694039403845979  ,0.5612667738676306  ,1405460.0
