Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.7280599889798612  ,0.6623028658963486  ,0.8083139022536172   ,859019.0
Band Pull-Down Row                 ,0.10967018892090938 ,0.10525507068223723 ,0.11447192513368985  ,5984.0
Bicep Curl                         ,0.087890625         ,0.10011980147184664 ,0.07832373811755255  ,14938.0
Box Jump (on bench)                ,0.003270645952575634,0.005747126436781609,0.002285714285714286 ,875.0
Burpee                             ,0.02775229357798165 ,0.041502315211799014,0.020845895425962616 ,11609.0
Butterfly sit-up                   ,0.16623641304347825 ,0.1992022142624552  ,0.14263231522499414  ,34312.0
Chest Press                        ,0.3220878421387651  ,0.3058839333691564  ,0.3401045556385362   ,6695.0
Crunch                             ,0.12874034749034752 ,0.1573282217634916  ,0.1089442515826016   ,9794.0
Dip                                ,0.10782122905027934 ,0.1147614092463208  ,0.10167259317792704  ,7593.0
Dumbbell Deadlift Row              ,0.0670212084321138  ,0.07909860859044163 ,0.05814341300722624  ,8995.0
Dumbbell Row (both)                ,0.08309938236945535 ,0.099009900990099   ,0.07159442724458204  ,10336.0
Dumbbell Row (right)               ,0.010039440659734672,0.02083333333333333 ,0.006613131790269249 ,2117.0
Dumbbell Squat (hands at side)     ,0.07614546409347511 ,0.10991093424294107 ,0.05825047705132067  ,9957.0
Elliptical machine                 ,0.2535723332290317  ,0.24754174666899398 ,0.259904089923333    ,32739.0
Punches                            ,0.018976545842217484,0.04955456570155902 ,0.01173523206751055  ,7584.0
Jump Rope                          ,0.16741521377798213 ,0.2399878333164352  ,0.12854349951124144  ,18414.0
Jumping Jacks                      ,0.007420232500618353,0.03480278422273782 ,0.004152823920265781 ,3612.0
Kettlebell Swing                   ,0.019866929060069347,0.029017246099096637,0.015104018238814475 ,7018.0
Lateral Raise                      ,0.02660944206008584 ,0.0537261698440208  ,0.017683970336565887 ,7012.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.00596827391236061 ,0.01816443594646272 ,0.0035707573764330006,5321.0
Lunge (both legs)                  ,0.07577210819106081 ,0.10302556077203964 ,0.05992111650485438  ,13184.0
Ball Slam                          ,0.01791992741295225 ,0.045402298850574715,0.011162922142150629 ,7077.0
Triceps Extension (standing - both),0.32093621714355736 ,0.3712787071165296  ,0.2826157332470055   ,9267.0
Plank                              ,0.4618922673252045  ,0.3954490195042021  ,0.5551721579103591   ,26952.0
Power Boat pose                    ,0.3906884417576468  ,0.39413799381030395 ,0.387298747763864    ,5590.0
Pushups                            ,0.037098957089403715,0.08239038189533239 ,0.023939175999178053 ,9733.0
Rowing machine                     ,0.2895389012499774  ,0.3322539128990742  ,0.2565557479002372   ,31194.0
Running                            ,0.11839749789090308 ,0.2274308300395257  ,0.08003004256029375  ,35949.0
Russian Twist                      ,0.055823680823680825,0.14573708525829485 ,0.03452392796736643  ,10051.0
Seated Back Fly                    ,0.030811680846171537,0.10244648318042814 ,0.018132611637347768 ,7390.0
Shoulder Press                     ,0.2778154890465905  ,0.27643374677637234 ,0.2792111138675267   ,8062.0
Squat                              ,0.1976350183251504  ,0.2750721847930703  ,0.15421972803798836  ,46330.0
Triceps Kickback                   ,0.06937896513590594 ,0.14295994243223795 ,0.04580387334767907  ,13012.0
Triceps extension (lying)          ,0.13575434927274455 ,0.25229681978798585 ,0.092859929769801    ,7689.0
Dumbbell Curl                      ,0.07490898907868944 ,0.15134370579915135 ,0.04977207182063448  ,10749.0
V-up                               ,0.08075229494738413 ,0.16816910164749768 ,0.053132979768218416 ,10182.0
Walk                               ,0.4444023078798386  ,0.4928700180252353  ,0.4046135380871738   ,60821.0
Walking lunge                      ,0.08161223468877295 ,0.1370619299087854  ,0.058105220311386985 ,9827.0
Wall Ball                          ,0.017382583987965904,0.09043478260869564 ,0.009615384615384616 ,5408.0
Wall Squat                         ,0.1577593032462391  ,0.20264429188914315 ,0.12915248744125749  ,12342.0
accuracy                           ,0.5616476953354574  ,0.5616476953354574  ,0.5616476953354574   ,0.5616476953354574
macro avg                          ,0.14034012818124836 ,0.17225827595831802 ,0.13021290834165525  ,1405454.0
weighted avg                       ,0.5192760816361136  ,0.4947759897955428  ,0.5616476953354574   ,1405454.0
