Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.7324996677211699   ,0.681032809357521   ,0.7923813315730835   ,858969.0
Band Pull-Down Row                 ,0.15106166261850665  ,0.14218289085545724 ,0.16112318234999165  ,5983.0
Bicep Curl                         ,0.10603276381123666  ,0.1275395033860045  ,0.09073268651722984  ,14945.0
Box Jump (on bench)                ,0.0017196904557179706,0.003472222222222222,0.001142857142857143 ,875.0
Burpee                             ,0.039272963323596234 ,0.05279232111692845 ,0.031266149870801035 ,11610.0
Butterfly sit-up                   ,0.1865796951692069   ,0.2090297373561971  ,0.16848428296495013  ,34294.0
Chest Press                        ,0.3647468312865305   ,0.32544240009375364 ,0.4148491186136839   ,6694.0
Crunch                             ,0.192680930667602    ,0.2254754412368313  ,0.16821475962029192  ,9797.0
Dip                                ,0.1464836161119026   ,0.14407643312101912 ,0.14897260273972604  ,7592.0
Dumbbell Deadlift Row              ,0.1071150739034169   ,0.11597771154593756 ,0.09951078496775627  ,8994.0
Dumbbell Row (both)                ,0.11013737565135008  ,0.14191973142072334 ,0.0899854862119013   ,10335.0
Dumbbell Row (right)               ,0.007652364033889042 ,0.009108653220559532,0.006597549481621111 ,2122.0
Dumbbell Squat (hands at side)     ,0.2022071911712353   ,0.247171453437772   ,0.1710843373493976   ,9960.0
Elliptical machine                 ,0.3357037729879919   ,0.3053803803803804  ,0.3727131120002443   ,32741.0
Punches                            ,0.035552815454171806 ,0.08046511627906977 ,0.022817198628330256 ,7582.0
Jump Rope                          ,0.3198459831625661   ,0.4006376195536664  ,0.2661706403084777   ,18413.0
Jumping Jacks                      ,0.018691588785046728 ,0.06989247311827956 ,0.010788381742738587 ,3615.0
Kettlebell Swing                   ,0.03818358321648151  ,0.07866666666666666 ,0.025210084033613446 ,7021.0
Lateral Raise                      ,0.02085369827305311  ,0.043775649794801634,0.013686911890504704 ,7014.0
Lawnmower (both)                   ,0.004555808656036447 ,0.012738853503184714,0.0027739251040221915,721.0
Lawnmower (right)                  ,0.003720663995420721 ,0.007798440311937612,0.002443149783875212 ,5321.0
Lunge (both legs)                  ,0.12535830307662907  ,0.16948714636351891 ,0.09946175422636648  ,13191.0
Ball Slam                          ,0.01537049782060106  ,0.0409035409035409  ,0.009463276836158193 ,7080.0
Triceps Extension (standing - both),0.3814831665150136   ,0.40351299326275264 ,0.3617342536669543   ,9272.0
Plank                              ,0.4517224194854544   ,0.3892482353256931  ,0.5380848143063852   ,26953.0
Power Boat pose                    ,0.4473484848484849   ,0.4751559042446188  ,0.4226158525675434   ,5589.0
Pushups                            ,0.030041459933392238 ,0.04442211055276382 ,0.022694598480180732 ,9738.0
Rowing machine                     ,0.33365362777127483  ,0.36657837153057704 ,0.3061558191728118   ,31190.0
Running                            ,0.2085262530979232   ,0.3370598099496926  ,0.1509596662030598   ,35950.0
Russian Twist                      ,0.016777976869196937 ,0.04633378317588844 ,0.010243659870711087 ,10055.0
Seated Back Fly                    ,0.023236514522821574 ,0.049557522123893805,0.015176151761517615 ,7380.0
Shoulder Press                     ,0.3911434485354074   ,0.3960370887844532  ,0.38636926889715     ,8070.0
Squat                              ,0.22395927601809956  ,0.2353542558250119  ,0.2136167457919724   ,46340.0
Triceps Kickback                   ,0.1321604356477118   ,0.2071909374486948  ,0.09702467901898976  ,13007.0
Triceps extension (lying)          ,0.2095362130091889   ,0.23617680639373675 ,0.188296488946684    ,7690.0
Dumbbell Curl                      ,0.10182250396196514  ,0.17562642369020498 ,0.07169425330109727  ,10754.0
V-up                               ,0.15363264173201027  ,0.261516654854713   ,0.10876400078600904  ,10178.0
Walk                               ,0.5475728507443739   ,0.6103609976957594  ,0.4964978625452154   ,60820.0
Walking lunge                      ,0.1840774274118014   ,0.2384727390389905  ,0.14988814317673374  ,9834.0
Wall Ball                          ,0.03163555836760519  ,0.10857763300760044 ,0.01851508979818552  ,5401.0
Wall Squat                         ,0.1814217624987324   ,0.24274084124830395 ,0.14483484455958548  ,12352.0
accuracy                           ,0.5720413933837184   ,0.5720413933837184  ,0.5720413933837184   ,0.5720413933837184
macro avg                          ,0.1784336234713126   ,0.206314397643886   ,0.16763511601971728  ,1405442.0
weighted avg                       ,0.5416997744519073   ,0.5233887311951294  ,0.5720413933837184   ,1405442.0
