                                           ,f1-score            ,precision           ,recall              ,support
No activity                                ,0.8602265419164781  ,0.8322436588976141  ,0.8901566583838264  ,186329.0
Walking                                    ,0.28656336234345153 ,0.35147097110127573 ,0.2418921340261602  ,5581.0
Jogging                                    ,0.5797193877551021  ,0.5597290640394089  ,0.6011904761904762  ,4536.0
Running                                    ,0.6395986465989966  ,0.6353732035234122  ,0.6438806671364811  ,4257.0
Jump up                                    ,0.13727678571428573 ,0.13457330415754923 ,0.14009111617312073 ,878.0
Jump front and back                        ,0.20744458385612718 ,0.28870779976717115 ,0.1618798955613577  ,1532.0
Jump sideways                              ,0.05632502308402585 ,0.0993485342019544  ,0.039304123711340205,1552.0
Jump leg/arms open/closed                  ,0.6545105566218811  ,0.7104166666666667  ,0.6067615658362989  ,1686.0
Jump rope                                  ,0.23590225563909775 ,0.20473083197389885 ,0.27827050997782704 ,902.0
Trunk twist (arms outstretched)            ,0.5645788336933045  ,0.8038130381303813  ,0.43508655126498    ,3004.0
Trunk twist (elbows bent)                  ,0.5488740410789408  ,0.7257853403141361  ,0.4413052128929566  ,2513.0
Waist bends forward                        ,0.29242262540021347 ,0.46519524617996605 ,0.2132295719844358  ,2570.0
Waist rotation                             ,0.4046777264073973  ,0.48595689092096667 ,0.3466915191053122  ,2146.0
Waist bends (reach foot with opposite hand),0.6661825223916727  ,0.7898966704936854  ,0.5759732105483466  ,2389.0
Reach heels backwards                      ,0.6340192758530867  ,0.6476849387972325  ,0.6209183673469387  ,1960.0
Lateral bend                               ,0.3094462540716612  ,0.30254777070063693 ,0.31666666666666665 ,1800.0
Lateral bend with arm up                   ,0.44378378378378375 ,0.43119747899159666 ,0.45712694877505566 ,1796.0
Repetitive forward stretching              ,0.27942879197221154 ,0.24777549623545517 ,0.32035398230088497 ,1130.0
Upper trunk and lower body opposite twist  ,0.2257158899494666  ,0.4196242171189979  ,0.1543778801843318  ,1302.0
Lateral elevation of arms                  ,0.5685279187817258  ,0.8079911209766926  ,0.43855421686746987 ,1660.0
Frontal elevation of arms                  ,0.168305151395989   ,0.2729591836734694  ,0.12166003411028994 ,1759.0
Frontal hand claps                         ,0.25049387593836425 ,0.35105204872646734 ,0.1947174447174447  ,1628.0
Frontal crossing of arms                   ,0.3614678899082569  ,0.4170783345095272  ,0.3189422558014031  ,1853.0
Shoulders high-amplitude rotation          ,0.2822477650063857  ,0.28442728442728443 ,0.28010139416983526 ,1578.0
Shoulders low-amplitude rotation           ,0.15918367346938772 ,0.13810198300283286 ,0.18786127167630057 ,1038.0
Arms inner rotation                        ,0.17174515235457063 ,0.1745776347546259  ,0.1690031152647975  ,1284.0
Knees (alternating) to the breast          ,0.020163831127914304,0.017094017094017096,0.02457757296466974 ,651.0
Heels (alternatively) to the backside      ,0.19495798319327728 ,0.23015873015873015 ,0.16909620991253643 ,686.0
Knees bending (crouching)                  ,0.42435048395313296 ,0.49583333333333335 ,0.37088156723063226 ,2246.0
Knees (alternating) bending forward        ,0.4112855155970594  ,0.44249679350149634 ,0.3841870824053452  ,2694.0
Rotation on the knees                      ,0.4281793229643184  ,0.3867768595041322  ,0.47950819672131145 ,1464.0
Rowing                                     ,0.6595826893353942  ,0.7326180257510729  ,0.5997891777933942  ,2846.0
Elliptical bike                            ,0.5773223316475912  ,0.6297909407665505  ,0.5329238329238329  ,4070.0
Cycling                                    ,0.6680301674549405  ,0.7164792980531944  ,0.6257183908045977  ,4176.0
accuracy                                   ,0.7554913474384068  ,0.7554913474384068  ,0.7554913474384068  ,0.7554913474384068
macro avg                                  ,0.39331001883116157 ,0.44804431501310094 ,0.36419643592443113 ,257496.0
weighted avg                               ,0.743980321653101   ,0.7410433638354325  ,0.7554913474384068  ,257496.0
