Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.6293932726933034  ,0.6792894619711091  ,0.5863256042460502   ,858963.0
Band Pull-Down Row                 ,0.08568904593639576 ,0.3597033374536465  ,0.048637807120173834 ,5983.0
Bicep Curl                         ,0.0                 ,0.0                 ,0.0                  ,14945.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                  ,875.0
Burpee                             ,0.03906199807259879 ,0.07686472819216182 ,0.02618432385874246  ,11610.0
Butterfly sit-up                   ,0.06925333269739824 ,0.19010212097407694 ,0.04233853331389415  ,34295.0
Chest Press                        ,0.4933016151245775  ,0.3422713847223027  ,0.8828801912160144   ,6694.0
Crunch                             ,0.060603208958735236,0.05621508379888268 ,0.06573440849239562  ,9797.0
Dip                                ,0.26945630515229146 ,0.1718715956133343  ,0.6234193888303478   ,7592.0
Dumbbell Deadlift Row              ,0.2661803300564921  ,0.22184325646919256 ,0.33266622192572826  ,8994.0
Dumbbell Row (both)                ,0.09761268710511807 ,0.08688103864734299 ,0.11136913401064344  ,10335.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                  ,2122.0
Dumbbell Squat (hands at side)     ,0.20127337129534145 ,0.12956762685447093 ,0.4507028112449799   ,9960.0
Elliptical machine                 ,0.3533400482031727  ,0.25039831750685104 ,0.6000122170978284   ,32741.0
Punches                            ,0.33355682199128395 ,0.4574712643678161  ,0.26246372988657346  ,7582.0
Jump Rope                          ,0.4036495202139374  ,0.34428429042398223 ,0.4877532178352251   ,18413.0
Jumping Jacks                      ,0.4415046222505579  ,0.5208725084618278  ,0.3831258644536653   ,3615.0
Kettlebell Swing                   ,0.005723142959341839,0.017569546120058566,0.0034183164791340265,7021.0
Lateral Raise                      ,0.0                 ,0.0                 ,0.0                  ,7014.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                  ,5321.0
Lunge (both legs)                  ,0.18872828705464686 ,0.11930668269712455 ,0.4513683572132514   ,13191.0
Ball Slam                          ,0.014736405147364047,0.027777777777777776,0.01002824858757062  ,7080.0
Triceps Extension (standing - both),0.4478238070267435  ,0.3312988154968189  ,0.6907894736842105   ,9272.0
Plank                              ,0.3144192897627205  ,0.2004634402784725  ,0.7286016398916633   ,26953.0
Power Boat pose                    ,0.20289787982594204 ,0.11652266383091853 ,0.7842190016103059   ,5589.0
Pushups                            ,0.058526355924125424,0.05460690145855567 ,0.06305196138837542  ,9738.0
Rowing machine                     ,0.36742615088917496 ,0.4395285503817135  ,0.3156460403975633   ,31190.0
Running                            ,0.10236585743002938 ,0.6963534361851332  ,0.05524339360222531  ,35950.0
Russian Twist                      ,0.048727027482717934,0.15993359158826784 ,0.028741919443063157 ,10055.0
Seated Back Fly                    ,0.0                 ,0.0                 ,0.0                  ,7380.0
Shoulder Press                     ,0.4266064059736687  ,0.3534103858049813  ,0.5380421313506816   ,8070.0
Squat                              ,0.016988016668992884,0.11172305271439813 ,0.009192921881743634 ,46340.0
Triceps Kickback                   ,0.1302391664693346  ,0.2831402831402832  ,0.0845698470054586   ,13007.0
Triceps extension (lying)          ,0.22210564968787705 ,0.1861426184823705  ,0.2752925877763329   ,7690.0
Dumbbell Curl                      ,0.010327635327635329,0.1213389121338912  ,0.005393342012274502 ,10754.0
V-up                               ,0.2693143499437992  ,0.5674139564256394  ,0.1765572804087247   ,10178.0
Walk                               ,0.60168037764672    ,0.4858350352860292  ,0.7900690562315028   ,60820.0
Walking lunge                      ,0.1973807296538821  ,0.12208881816866772 ,0.5149481391092129   ,9834.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                  ,5396.0
Wall Squat                         ,0.0                 ,0.0                 ,0.0                  ,12352.0
accuracy                           ,0.4765538282890954  ,0.4765538282890954  ,0.4765538282890954   ,0.4765538282890954
macro avg                          ,0.17975348084453466 ,0.20200220691288048 ,0.2543606612586721   ,1405432.0
weighted avg                       ,0.4696464580027693  ,0.5152461013382854  ,0.4765538282890954   ,1405432.0
