Unnamed: 0                         ,f1-score              ,precision             ,recall                ,support
Noise                              ,0.014881963069999744  ,0.9522542498152254    ,0.007499583809187862  ,858981.0
Band Pull-Down Row                 ,0.0006417455478902616 ,0.008                 ,0.00033428046130703663,5983.0
Bicep Curl                         ,0.0011021181332874117 ,0.0011354765453126107 ,0.0010706638115631694 ,14944.0
Box Jump (on bench)                ,0.0009506026141571887 ,0.000489853044086774  ,0.016                 ,875.0
Burpee                             ,0.00010636034886194427,0.00013900472616068947,8.613264427217915e-05 ,11610.0
Butterfly sit-up                   ,0.0013738250180766454 ,0.0018072862170645868 ,0.0011080655508252171 ,34294.0
Chest Press                        ,0.01048767697954903   ,0.04282655246252677   ,0.005975500448162535  ,6694.0
Crunch                             ,0.004202232435981615  ,0.0036787247087676275 ,0.004899459018066755  ,9797.0
Dip                                ,0.0019187281573357087 ,0.001999714326524782  ,0.0018440463645943094 ,7592.0
Dumbbell Deadlift Row              ,0.009675978762467126  ,0.006227644353602453  ,0.021681120747164776  ,8994.0
Dumbbell Row (both)                ,0.010067728354384036  ,0.09306260575296108   ,0.005321722302854378  ,10335.0
Dumbbell Row (right)               ,0.0                   ,0.0                   ,0.0                   ,2122.0
Dumbbell Squat (hands at side)     ,0.006033920417482061  ,0.016059027777777776  ,0.003714859437751004  ,9960.0
Elliptical machine                 ,0.0009148869256940276 ,0.007155635062611806  ,0.0004886839131364345 ,32741.0
Punches                            ,0.005039342233224295  ,0.0030269236896606658 ,0.015035610656818781  ,7582.0
Jump Rope                          ,0.08824147062288397   ,0.04871510654662263   ,0.4678216477488731    ,18413.0
Jumping Jacks                      ,0.012468628019264093  ,0.0063764569352641395 ,0.2796680497925311    ,3615.0
Kettlebell Swing                   ,0.0005968367651447331 ,0.00042589437819420784,0.0009970089730807576 ,7021.0
Lateral Raise                      ,0.003534494043723001  ,0.003267182962245886  ,0.0038494439692044477 ,7014.0
Lawnmower (both)                   ,0.0041834197132033365 ,0.0021273578215855907 ,0.1248266296809986    ,721.0
Lawnmower (right)                  ,0.002972787560027441  ,0.002136225453947909  ,0.004886299567750422  ,5321.0
Lunge (both legs)                  ,0.0016530064053998208 ,0.009036144578313251  ,0.0009097111667045713 ,13191.0
Ball Slam                          ,0.011352697754269666  ,0.006105305852341257  ,0.0807909604519774    ,7080.0
Triceps Extension (standing - both),0.0017076502732240437 ,0.004098360655737704  ,0.0010785159620362384 ,9272.0
Plank                              ,0.2113864942528736    ,0.20485953980575766   ,0.21834304159091752   ,26953.0
Power Boat pose                    ,0.12246269283534453   ,0.07259028146574616   ,0.39130434782608703   ,5589.0
Pushups                            ,0.0032923746251984245 ,0.0038509145922156506 ,0.002875333744095297  ,9738.0
Rowing machine                     ,0.006203853379352527  ,0.009734027968193035  ,0.004552741263225393  ,31190.0
Running                            ,0.009114433281300743  ,0.007310555770297295  ,0.012100139082058415  ,35950.0
Russian Twist                      ,0.00020794343938448746,0.0001595829565402415 ,0.0002983590253605172 ,10055.0
Seated Back Fly                    ,0.002794886393043839  ,0.0022611171593668873 ,0.003658536585365854  ,7380.0
Shoulder Press                     ,0.002353390153924437  ,0.0015829554205527509 ,0.004584882280049565  ,8070.0
Squat                              ,0.0039941243460034    ,0.008491823987648256  ,0.0026111350884764784 ,46340.0
Triceps Kickback                   ,0.00972905115597866   ,0.015218458517427591  ,0.007149996155916045  ,13007.0
Triceps extension (lying)          ,0.004017467248908296  ,0.006117021276595746  ,0.0029908972691807547 ,7690.0
Dumbbell Curl                      ,0.0005915020866879169 ,0.0004573867967678    ,0.0008368978984563884 ,10754.0
V-up                               ,0.010932129694811379  ,0.005816259087904825  ,0.0907840440165062    ,10178.0
Walk                               ,0.19629593970070425   ,0.1241021582984052    ,0.4693028609010194    ,60820.0
Walking lunge                      ,0.0174609727382536    ,0.0102753284146122    ,0.05806976507678226   ,9833.0
Wall Ball                          ,0.0034126780991382997 ,0.002016671148158107  ,0.011088523378303456  ,5411.0
Wall Squat                         ,0.03296403427386345   ,0.0505777926645453    ,0.02444948186528497   ,12352.0
accuracy                           ,0.04040735359618403   ,0.04040735359618403   ,0.04040735359618403   ,0.04040735359618403
macro avg                          ,0.020276147996592758  ,0.04257494168286025   ,0.057436316573803575  ,1405462.0
weighted avg                       ,0.0249788816266016    ,0.595234019028687     ,0.04040735359618403   ,1405462.0
