                                           ,f1-score            ,precision           ,recall              ,support
No activity                                ,0.2739459449488824  ,0.9846842366981601  ,0.15910503085361674 ,186688.0
Walking                                    ,0.22059955674792955 ,0.1268104280656582  ,0.8471600071671743  ,5581.0
Jogging                                    ,0.4205674219307927  ,0.2980583417686574  ,0.7140652557319224  ,4536.0
Running                                    ,0.7911589008363202  ,0.8050085096036956  ,0.7777777777777778  ,4257.0
Jump up                                    ,0.23735408560311286 ,0.14647812166488794 ,0.6252847380410023  ,878.0
Jump front and back                        ,0.2404281597365171  ,0.3255295429208473  ,0.1906005221932115  ,1532.0
Jump sideways                              ,0.019681349578256794,0.015463917525773196,0.027061855670103094,1552.0
Jump leg/arms open/closed                  ,0.7550525464834276  ,0.6918518518518518  ,0.8309608540925267  ,1686.0
Jump rope                                  ,0.20834660719974515 ,0.12165178571428571 ,0.7250554323725056  ,902.0
Trunk twist (arms outstretched)            ,0.560884070058382   ,0.7505580357142857  ,0.4477363515312916  ,3004.0
Trunk twist (elbows bent)                  ,0.3763970448948665  ,0.24698570540708514 ,0.7906884202148826  ,2513.0
Waist bends forward                        ,0.5853658536585366  ,0.4668828161185734  ,0.7844357976653696  ,2570.0
Waist rotation                             ,0.4015640273704789  ,0.2540821375556655  ,0.9571295433364398  ,2146.0
Waist bends (reach foot with opposite hand),0.8642286675073559  ,0.86787674124103    ,0.8606111343658435  ,2389.0
Reach heels backwards                      ,0.6379272806444589  ,0.556399544246107   ,0.7474489795918368  ,1960.0
Lateral bend                               ,0.20356416696567395 ,0.1140597775097172  ,0.9455555555555556  ,1800.0
Lateral bend with arm up                   ,0.42302433688815977 ,0.28035520115984053 ,0.861358574610245   ,1796.0
Repetitive forward stretching              ,0.689289501590668   ,0.5738669805768098  ,0.8628318584070797  ,1130.0
Upper trunk and lower body opposite twist  ,0.20369592608147835 ,0.14017341040462428 ,0.3725038402457757  ,1302.0
Lateral elevation of arms                  ,0.5383458646616541  ,0.716               ,0.43132530120481927 ,1660.0
Frontal elevation of arms                  ,0.3435431737725104  ,0.23554242296327565 ,0.6344513928368392  ,1759.0
Frontal hand claps                         ,0.6240659623808297  ,0.5375055481580115  ,0.7438574938574939  ,1628.0
Frontal crossing of arms                   ,0.48961424332344217 ,0.4031413612565445  ,0.6233135456017269  ,1853.0
Shoulders high-amplitude rotation          ,0.5306730196545563  ,0.500561797752809   ,0.564638783269962   ,1578.0
Shoulders low-amplitude rotation           ,0.17251663225510439 ,0.11321890996687745 ,0.3622350674373796  ,1038.0
Arms inner rotation                        ,0.3903860160233067  ,0.25475285171102663 ,0.8348909657320872  ,1284.0
Knees (alternating) to the breast          ,0.0371063829787234  ,0.020865237366003063,0.1674347158218126  ,651.0
Heels (alternatively) to the backside      ,0.6346433770014557  ,0.6337209302325582  ,0.6355685131195336  ,686.0
Knees bending (crouching)                  ,0.5073106620666995  ,0.4019786513928664  ,0.6874443455031166  ,2246.0
Knees (alternating) bending forward        ,0.5731929824561404  ,0.4608440532611149  ,0.7579806978470676  ,2694.0
Rotation on the knees                      ,0.5907099035933392  ,0.43483870967741933 ,0.9207650273224044  ,1464.0
Rowing                                     ,0.2942210276026052  ,0.1724848484848485  ,1.0                 ,2846.0
Elliptical bike                            ,0.4907184355958622  ,0.34478295499800876 ,0.8508599508599508  ,4070.0
Cycling                                    ,0.15776865873726748 ,0.08640003650384431 ,0.9068486590038314  ,4176.0
accuracy                                   ,0.31670124682476586 ,0.31670124682476586 ,0.31670124682476586 ,0.31670124682476586
macro avg                                  ,0.4261144644361336  ,0.3848063352786107  ,0.6661466467306525  ,257855.0
weighted avg                               ,0.3204898353152716  ,0.8163921552432688  ,0.31670124682476586 ,257855.0
