                                           ,f1-score            ,precision           ,recall             ,support
No activity                                ,0.2739516192286575  ,0.9857882852968521  ,0.15908007051649584,186623.0
Walking                                    ,0.22444985440832496 ,0.12947104661728667 ,0.842501343845189  ,5581.0
Jogging                                    ,0.4257302264522482  ,0.3031124404149921  ,0.71494708994709   ,4536.0
Running                                    ,0.7927264083670074  ,0.802261246090931   ,0.7834155508574113 ,4257.0
Jump up                                    ,0.2222222222222222  ,0.13566574377045054 ,0.6138952164009112 ,878.0
Jump front and back                        ,0.23943661971830985 ,0.3276643990929705  ,0.18864229765013055,1532.0
Jump sideways                              ,0.017498226531094823,0.013821441912588718,0.02384020618556701,1552.0
Jump leg/arms open/closed                  ,0.7455811462238886  ,0.6796875           ,0.8256227758007118 ,1686.0
Jump rope                                  ,0.19181737325822706 ,0.11071184120465434 ,0.7172949002217295 ,902.0
Trunk twist (arms outstretched)            ,0.5577323884952062  ,0.745819397993311   ,0.44540612516644473,3004.0
Trunk twist (elbows bent)                  ,0.3789554679234394  ,0.24987316083206493 ,0.7839235972940708 ,2513.0
Waist bends forward                        ,0.5846722593487844  ,0.46067667488236613 ,0.8                ,2570.0
Waist rotation                             ,0.4025306445235271  ,0.25545796737766624 ,0.9487418452935694 ,2146.0
Waist bends (reach foot with opposite hand),0.8657161098105979  ,0.8805194805194805  ,0.8514022603599832 ,2389.0
Reach heels backwards                      ,0.6319232446576538  ,0.5517897943640518  ,0.7392857142857143 ,1960.0
Lateral bend                               ,0.20387592248155034 ,0.11427994888006995 ,0.9438888888888889 ,1800.0
Lateral bend with arm up                   ,0.420128890717126   ,0.278697471348008   ,0.8530066815144766 ,1796.0
Repetitive forward stretching              ,0.6415094339622642  ,0.5300230946882217  ,0.8123893805309734 ,1130.0
Upper trunk and lower body opposite twist  ,0.1936824605153782  ,0.13276353276353275 ,0.3579109062980031 ,1302.0
Lateral elevation of arms                  ,0.5526413003324714  ,0.7144221585482331  ,0.4506024096385542 ,1660.0
Frontal elevation of arms                  ,0.32337542346781645 ,0.22175290390707497 ,0.5969300739056282 ,1759.0
Frontal hand claps                         ,0.6108979278587874  ,0.5234546251644016  ,0.7334152334152334 ,1628.0
Frontal crossing of arms                   ,0.49080532656943565 ,0.4034051424600417  ,0.6265515380464112 ,1853.0
Shoulders high-amplitude rotation          ,0.518628912071535   ,0.48958919527293193 ,0.5513307984790875 ,1578.0
Shoulders low-amplitude rotation           ,0.16256491307292842 ,0.10616337363609554 ,0.3468208092485549 ,1038.0
Arms inner rotation                        ,0.37996733805117044 ,0.24769339957416608 ,0.8154205607476636 ,1284.0
Knees (alternating) to the breast          ,0.02794597112249651 ,0.015544041450777202,0.1382488479262673 ,651.0
Heels (alternatively) to the backside      ,0.6075768406004288  ,0.5960729312762973  ,0.619533527696793  ,686.0
Knees bending (crouching)                  ,0.5008248102936325  ,0.3977987421383648  ,0.6758682101513802 ,2246.0
Knees (alternating) bending forward        ,0.5760246188278081  ,0.4621773288439955  ,0.7642910170749815 ,2694.0
Rotation on the knees                      ,0.5790045642251684  ,0.42460949952183613 ,0.9098360655737705 ,1464.0
Rowing                                     ,0.2953047989623865  ,0.17323026355834195 ,1.0                ,2846.0
Elliptical bike                            ,0.4978720334703888  ,0.35239456754824877 ,0.8479115479115479 ,4070.0
Cycling                                    ,0.15794394465105652 ,0.0864748037765897  ,0.9102011494252874 ,4176.0
accuracy                                   ,0.31545831878660924 ,0.31545831878660924 ,0.31545831878660924,0.31545831878660924
macro avg                                  ,0.42045644830655937 ,0.37949610131549694 ,0.6585928423617212 ,257790.0
weighted avg                               ,0.3198482312089716  ,0.8164768724938757  ,0.31545831878660924,257790.0
