Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8183125172786482 ,0.7542987553986082 ,0.8941989455168167 ,858999.0
Band Pull-Down Row                 ,0.1034298536168394 ,0.14323764427345367,0.08093645484949832,5980.0
Bicep Curl                         ,0.5150269714872849 ,0.4949089787102746 ,0.5368498560813977 ,14939.0
Box Jump (on bench)                ,0.2407407407407408 ,0.31947069943289225,0.19314285714285714,875.0
Burpee                             ,0.1536875237423346 ,0.2076855382810208 ,0.1219743302610044 ,11609.0
Butterfly sit-up                   ,0.44922689157093704,0.5039330119259071 ,0.4052352358188072 ,34306.0
Chest Press                        ,0.22139571302730746,0.32130681818181817,0.16888158877109152,6697.0
Crunch                             ,0.36322246111040857,0.4772349617813227 ,0.2931808901592487 ,9796.0
Dip                                ,0.14312049606167251,0.19672886431697764,0.11247201369682602,7593.0
Dumbbell Deadlift Row              ,0.1404662283323371 ,0.2143182854537164 ,0.1044676594798844 ,8998.0
Dumbbell Row (both)                ,0.18529746115953014,0.26687283973076226,0.14191738415400987,10337.0
Dumbbell Row (right)               ,0.13450292397660818,0.2154006243496358 ,0.09777987718469533,2117.0
Dumbbell Squat (hands at side)     ,0.18643140473259476,0.29230109371649154,0.13686113063560598,9959.0
Elliptical machine                 ,0.6834124900439542 ,0.660838063724791  ,0.707583763476986  ,32741.0
Punches                            ,0.7001989981472585 ,0.7300042924595793 ,0.6727320675105485 ,7584.0
Jump Rope                          ,0.745930802633422  ,0.7704282407407408 ,0.7229432527830573 ,18415.0
Jumping Jacks                      ,0.8786251342642319 ,0.8529718456725756 ,0.9058693244739756 ,3612.0
Kettlebell Swing                   ,0.6243462062047718 ,0.6276289253817343 ,0.6210976478973628 ,7015.0
Lateral Raise                      ,0.3709987755815988 ,0.4797557113775164 ,0.3024383288179096 ,7013.0
Lawnmower (both)                   ,0.1729957805907173 ,0.3628318584070797 ,0.11357340720221605,722.0
Lawnmower (right)                  ,0.2820118039517578 ,0.4442198868229588 ,0.20657894736842106,5320.0
Lunge (both legs)                  ,0.07916272337582808,0.1489005235602094 ,0.05391264786169245,13188.0
Ball Slam                          ,0.3233075527547025 ,0.4982342554443791 ,0.2392932862190813 ,7075.0
Triceps Extension (standing - both),0.4102467032620355 ,0.4938477897615069 ,0.3508525793222534 ,9266.0
Plank                              ,0.8217933298971041 ,0.8463686052455665 ,0.798604927278124  ,26952.0
Power Boat pose                    ,0.5251491901108271 ,0.649104320337197  ,0.4409448818897638 ,5588.0
Pushups                            ,0.3235256816740647 ,0.42319177173191774,0.2618558817491275 ,9742.0
Rowing machine                     ,0.4418479170930471 ,0.5265164952110678 ,0.3806379227440295 ,31195.0
Running                            ,0.7947507169964367 ,0.8290722272589907 ,0.7631578947368421 ,35948.0
Russian Twist                      ,0.5239526250662896 ,0.642485549132948  ,0.44234404536862   ,10051.0
Seated Back Fly                    ,0.2614827520487898 ,0.4417256922086285 ,0.1857065511640498 ,7388.0
Shoulder Press                     ,0.07855426720986106,0.2491716368455931 ,0.04662698412698413,8064.0
Squat                              ,0.33723196881091616,0.502112766229886  ,0.2538682319428559 ,46339.0
Triceps Kickback                   ,0.34449855879137264,0.4871398453970485 ,0.2664718997462905 ,13007.0
Triceps extension (lying)          ,0.4989140552280485 ,0.6179861644888547 ,0.4183142559833507 ,7688.0
Dumbbell Curl                      ,0.5383884253881086 ,0.6227705839237723 ,0.4741443452380952 ,10752.0
V-up                               ,0.4347826086956522 ,0.5974248927038627 ,0.3417460473337916 ,10183.0
Walk                               ,0.4398752716620996 ,0.5171295267718284 ,0.3827030582045379 ,60820.0
Walking lunge                      ,0.08972344437460716,0.19676085458304615,0.05811113372684714,9826.0
Wall Ball                          ,0.3467659137577002 ,0.5681244743481918 ,0.2495382342076099 ,5414.0
Wall Squat                         ,0.5243573356057379 ,0.6310391978122152 ,0.4485300072892201 ,12347.0
accuracy                           ,0.7036201670627409 ,0.7036201670627409 ,0.7036201670627409 ,0.7036201670627409
macro avg                          ,0.3963827370745899 ,0.4835483930033309 ,0.3511726775467168 ,1405460.0
weighted avg                       ,0.6752222791400156 ,0.6669347666822719 ,0.7036201670627409 ,1405460.0
