Unnamed: 0                         ,f1-score          ,precision         ,recall            ,support
Noise                              ,0.9304794004593644,0.9228135819883856,0.9382736457815531,859001.0
Band Pull-Down Row                 ,0.5875961973743776,0.6407977883096366,0.5425514128072229,5981.0
Bicep Curl                         ,0.8330281338438489,0.8288061481383331,0.8372933538585101,14941.0
Box Jump (on bench)                ,0.6862385321100918,0.7371879106438897,0.6418764302059496,874.0
Burpee                             ,0.6232558139534883,0.6618245206275422,0.5889348500517063,11604.0
Butterfly sit-up                   ,0.7905981644878567,0.8003525123976818,0.7810787172011662,34300.0
Chest Press                        ,0.8084538375973305,0.8030347672362994,0.8139465432283112,6697.0
Crunch                             ,0.8026424442609413,0.8118605136771768,0.7936313533374157,9798.0
Dip                                ,0.6679235796882855,0.6387019230769231,0.6999473129610115,7592.0
Dumbbell Deadlift Row              ,0.5545222041385723,0.5814236957581668,0.53              ,9000.0
Dumbbell Row (both)                ,0.6916729941786889,0.725111441307578 ,0.6611826187941546,10333.0
Dumbbell Row (right)               ,0.6010651787978697,0.6500274273176083,0.5589622641509434,2120.0
Dumbbell Squat (hands at side)     ,0.76950319724545  ,0.7540730743275812,0.7855779853369489,9957.0
Elliptical machine                 ,0.8724707410304471,0.8441283984464245,0.9027824440304206,32741.0
Punches                            ,0.8762070815450643,0.89199890770071  ,0.8609646810753822,7588.0
Jump Rope                          ,0.9131764320428112,0.9180390865173472,0.9083650190114068,18410.0
Jumping Jacks                      ,0.9542263409154732,0.9683670561413508,0.9404926653750346,3613.0
Kettlebell Swing                   ,0.856635407786303 ,0.8537241574624752,0.8595665811234674,7014.0
Lateral Raise                      ,0.7740844241800264,0.7991193440631643,0.7505704506560182,7012.0
Lawnmower (both)                   ,0.6018808777429467,0.6918918918918919,0.5325936199722607,721.0
Lawnmower (right)                  ,0.6521555367709214,0.7448708665218441,0.5799661717722233,5321.0
Lunge (both legs)                  ,0.6458260156890294,0.6654334888209748,0.6273409659564789,13189.0
Ball Slam                          ,0.7678074464084242,0.8208427146992602,0.7212095520700862,7077.0
Triceps Extension (standing - both),0.8105969000769484,0.8259408602150538,0.7958126483919706,9266.0
Plank                              ,0.9440627333831216,0.9500939496429912,0.9381076066790353,26950.0
Power Boat pose                    ,0.89875793047985  ,0.8975548813135821,0.8999642090193272,5588.0
Pushups                            ,0.7312458900298446,0.7207818109293976,0.7420182732778976,9741.0
Rowing machine                     ,0.8073098629400698,0.7963944856839873,0.8185286103542234,31195.0
Running                            ,0.8842441477662748,0.8906699779872439,0.877910373028457 ,35949.0
Russian Twist                      ,0.8194576342724492,0.8716049382716049,0.7731979291119077,10044.0
Seated Back Fly                    ,0.7573149741824441,0.8054919908466819,0.7145757206658546,7389.0
Shoulder Press                     ,0.7140687560403148,0.8057329802149867,0.6411305317962067,8067.0
Squat                              ,0.8228921234007882,0.8400773311752541,0.8063959259419101,46342.0
Triceps Kickback                   ,0.8031396178545944,0.8289010719253743,0.7789311803152633,13005.0
Triceps extension (lying)          ,0.8946086498584688,0.9053964023984009,0.8840749414519906,7686.0
Dumbbell Curl                      ,0.8579545454545455,0.8593152346300961,0.856598158653399 ,10753.0
V-up                               ,0.8164835721156279,0.8426332288401254,0.7919080820976137,10183.0
Walk                               ,0.8675140851386498,0.8604354014362425,0.8747102056923001,60819.0
Walking lunge                      ,0.621804792144725 ,0.6537986757939626,0.5927960927960928,9828.0
Wall Ball                          ,0.6950878594249201,0.7554253472222222,0.6436760355029586,5408.0
Wall Squat                         ,0.8272344013490724,0.8628847845206684,0.7944129554655871,12350.0
accuracy                           ,0.8847953711523807,0.8847953711523807,0.8847953711523807,0.8847953711523807
macro avg                          ,0.7764689867843981,0.7982332821980518,0.7580941004634065,1405447.0
weighted avg                       ,0.8836206367054731,0.8831923744446045,0.8847953711523807,1405447.0
