Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.2747445295379891  ,0.6321235702545869  ,0.17551494154119826  ,858981.0
Band Pull-Down Row                 ,0.06133230253833269 ,0.13385826771653545 ,0.039779374895537366 ,5983.0
Bicep Curl                         ,0.22418694958740729 ,0.23262339905022306 ,0.21634100642398288  ,14944.0
Box Jump (on bench)                ,0.0396039603960396  ,0.04318488529014845 ,0.036571428571428574 ,875.0
Burpee                             ,0.2098849479202124  ,0.1735141828005403  ,0.26554694229112835  ,11610.0
Butterfly sit-up                   ,0.15912744369349902 ,0.19538180737722316 ,0.13422172974864408  ,34294.0
Chest Press                        ,0.3668244337854579  ,0.2329446887481341  ,0.8625634896922617   ,6694.0
Crunch                             ,0.22185315895093766 ,0.34443489471422434 ,0.16362151679085435  ,9797.0
Dip                                ,0.2964497748734909  ,0.2125107112253642  ,0.4899894625922023   ,7592.0
Dumbbell Deadlift Row              ,0.17427385892116182 ,0.2244611880147188  ,0.14242828552368245  ,8994.0
Dumbbell Row (both)                ,0.02042392516948425 ,0.09028831562974204 ,0.011514271891630382 ,10335.0
Dumbbell Row (right)               ,0.14182692307692307 ,0.1956882255389718  ,0.1112158341187559   ,2122.0
Dumbbell Squat (hands at side)     ,0.1481341592385557  ,0.08175602434753608 ,0.7875502008032128   ,9960.0
Elliptical machine                 ,0.6575877186594229  ,0.6285221071388796  ,0.6894719159463669   ,32741.0
Punches                            ,0.6893333333333334  ,0.6969533566999191  ,0.6818781324188868   ,7582.0
Jump Rope                          ,0.5427904705052369  ,0.5423783959655116  ,0.5432031716721881   ,18413.0
Jumping Jacks                      ,0.4578066778695112  ,0.31106036536934073 ,0.8666666666666667   ,3615.0
Kettlebell Swing                   ,0.3097148710944169  ,0.2211251295178887  ,0.516735507762427    ,7021.0
Lateral Raise                      ,0.1859482303222398  ,0.1731857318573186  ,0.20074137439406897  ,7014.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.0359930615784909  ,0.042531386113246215,0.03119714339409885  ,5321.0
Lunge (both legs)                  ,0.10086140103003507 ,0.07210582907041152 ,0.16776590099310135  ,13191.0
Ball Slam                          ,0.05018048405231079 ,0.04318158671962522 ,0.05988700564971752  ,7080.0
Triceps Extension (standing - both),0.4219983427101051  ,0.3542505674745552  ,0.521786022433132    ,9272.0
Plank                              ,0.1068805789679576  ,0.056845828476584766,0.892034281898119    ,26953.0
Power Boat pose                    ,0.18244641467165335 ,0.1020516523659842  ,0.8597244587582752   ,5589.0
Pushups                            ,0.3335756124673992  ,0.2857666105047249  ,0.4005956048469912   ,9738.0
Rowing machine                     ,0.2805203658467306  ,0.34261529210416763 ,0.23747996152613016  ,31190.0
Running                            ,0.709754131931141   ,0.6759014619662314  ,0.7471766342141863   ,35950.0
Russian Twist                      ,0.19579468751517504 ,0.19130764851015367 ,0.20049726504226756  ,10055.0
Seated Back Fly                    ,0.02569043031470777 ,0.2469135802469136  ,0.013550135501355014 ,7380.0
Shoulder Press                     ,0.3522132317943836  ,0.285935085007728   ,0.4584882280049566   ,8070.0
Squat                              ,0.0089906965835353  ,0.04767827529021559 ,0.0049633146309883466,46340.0
Triceps Kickback                   ,0.2651464341605187  ,0.485568065506653   ,0.1823633428154071   ,13007.0
Triceps extension (lying)          ,0.2608493850081225  ,0.2028148682785998  ,0.3654096228868661   ,7690.0
Dumbbell Curl                      ,0.3043182011753684  ,0.2807196731615336  ,0.3322484656871862   ,10754.0
V-up                               ,0.2677282377919321  ,0.2911567767259293  ,0.2477893495775201   ,10178.0
Walk                               ,0.478020940657349   ,0.3557132649866331  ,0.7285103584347254   ,60820.0
Walking lunge                      ,0.21072946582423893 ,0.13611539831413985 ,0.4663886911420726   ,9833.0
Wall Ball                          ,0.331662788616431   ,0.3215339233038348  ,0.3424505636666051   ,5411.0
Wall Squat                         ,0.021187665939381192,0.015687648409825214,0.03262629533678756  ,12352.0
accuracy                           ,0.2643799690066327  ,0.2643799690066327  ,0.2643799690066327   ,0.2643799690066327
macro avg                          ,0.2469851275148932  ,0.2488387724340121  ,0.34703629024842964  ,1405462.0
weighted avg                       ,0.2826405096299756  ,0.4967382989916884  ,0.2643799690066327   ,1405462.0
