Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.5056170487885718 ,0.8511222178750324 ,0.3596289944968526  ,858963.0
Band Pull-Down Row                 ,0.4152527849185946 ,0.4260594337963777 ,0.4049807788734748  ,5983.0
Bicep Curl                         ,0.5585980284775466 ,0.5009025270758123 ,0.6313148210103714  ,14945.0
Box Jump (on bench)                ,0.15346380863622244,0.1053754266211604 ,0.2822857142857143  ,875.0
Burpee                             ,0.4484978540772532 ,0.3931119470748476 ,0.5220499569336778  ,11610.0
Butterfly sit-up                   ,0.4783204321434538 ,0.3869706253378987 ,0.6261262574719347  ,34295.0
Chest Press                        ,0.4581319545914353 ,0.3057458618792819 ,0.9133552435016432  ,6694.0
Crunch                             ,0.5088787162332109 ,0.5016861733782979 ,0.5162804940287843  ,9797.0
Dip                                ,0.4185350122850123 ,0.2953511053315995 ,0.7179926238145417  ,7592.0
Dumbbell Deadlift Row              ,0.3609219201220509 ,0.35388396196174804,0.3682454969979987  ,8994.0
Dumbbell Row (both)                ,0.13629800750794108,0.11879764130591113,0.1598451862602806  ,10335.0
Dumbbell Row (right)               ,0.20435762584522915,0.16989381636477202,0.2563619227144204  ,2122.0
Dumbbell Squat (hands at side)     ,0.2259578396676412 ,0.13975066615911685,0.5897590361445784  ,9960.0
Elliptical machine                 ,0.7086354744289348 ,0.6834534415252794 ,0.7357441739714731  ,32741.0
Punches                            ,0.8208030180544328 ,0.8388873588543101 ,0.8034819308889475  ,7582.0
Jump Rope                          ,0.5414477168112755 ,0.4331758188039759 ,0.7218812795307663  ,18413.0
Jumping Jacks                      ,0.6810264866536123 ,0.5427069645203679 ,0.9139695712309821  ,3615.0
Kettlebell Swing                   ,0.4902608401084011 ,0.3488400120518229 ,0.8245264207377866  ,7021.0
Lateral Raise                      ,0.36026936026936024,0.2613446458413678 ,0.579697747362418   ,7014.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                 ,721.0
Lawnmower (right)                  ,0.17000726970609614,0.11745712850685225,0.30764893816951694 ,5321.0
Lunge (both legs)                  ,0.20718876652884105,0.14191178532372484,0.38367068455765296 ,13191.0
Ball Slam                          ,0.4398695967157691 ,0.3841206242091944 ,0.51454802259887    ,7080.0
Triceps Extension (standing - both),0.7034138378066932 ,0.6339247079186501 ,0.7900129421915444  ,9272.0
Plank                              ,0.15669095900083216,0.08677056152698312,0.8068860609208622  ,26953.0
Power Boat pose                    ,0.1958853232066102 ,0.1108722866523372 ,0.83986401860798    ,5589.0
Pushups                            ,0.31796293088515504,0.2399226224708527 ,0.47124666255904707 ,9738.0
Rowing machine                     ,0.6449193124256097 ,0.5673826222481979 ,0.7470022443090735  ,31190.0
Running                            ,0.7705549743766305 ,0.7353350013900473 ,0.8093184979137691  ,35950.0
Russian Twist                      ,0.37576576957201396,0.32664903775525195,0.4422675285927399  ,10055.0
Seated Back Fly                    ,0.1657235246564268 ,0.32591414944356123,0.1111111111111111  ,7380.0
Shoulder Press                     ,0.4387394904049805 ,0.4550659033417654 ,0.42354399008674093 ,8070.0
Squat                              ,0.01990712699374117,0.15454545454545454,0.010638757013379371,46340.0
Triceps Kickback                   ,0.4662608336772596 ,0.7086404265328524 ,0.3474283078342431  ,13007.0
Triceps extension (lying)          ,0.6892153798061895 ,0.6636965683323299 ,0.7167750325097529  ,7690.0
Dumbbell Curl                      ,0.43835264936064666,0.405812019954074  ,0.4765668588432211  ,10754.0
V-up                               ,0.6758499141969295 ,0.6400773082667135 ,0.7158577323639221  ,10178.0
Walk                               ,0.5868278202340156 ,0.4445733840433011 ,0.8629562643867149  ,60820.0
Walking lunge                      ,0.3476829685362517 ,0.2201082543978349 ,0.8270286760219646  ,9834.0
Wall Ball                          ,0.6667695632041982 ,0.5712774398307326 ,0.8005930318754633  ,5396.0
Wall Squat                         ,0.1844181725150136 ,0.1381703724627739 ,0.2772020725388601  ,12352.0
accuracy                           ,0.4512897102100991 ,0.4512897102100991 ,0.4512897102100991  ,0.4512897102100991
macro avg                          ,0.4179824417909777 ,0.3836411537783529 ,0.5514559776893433  ,1405432.0
weighted avg                       ,0.4839730456485517 ,0.6785152573244146 ,0.4512897102100991  ,1405432.0
