Unnamed: 0                         ,f1-score            ,precision            ,recall               ,support
Noise                              ,0.003943990692181966,0.5501618122977346   ,0.0019790891765941268,858981.0
Band Pull-Down Row                 ,0.014622748172156481,0.013316858868753431 ,0.016212602373391276 ,5983.0
Bicep Curl                         ,0.09578238242712556 ,0.09159186664224216  ,0.1003747323340471   ,14944.0
Box Jump (on bench)                ,0.004604051565377533,0.0024240955093630693,0.045714285714285714 ,875.0
Burpee                             ,0.0755524149653368  ,0.04853868616721062  ,0.17037037037037034  ,11610.0
Butterfly sit-up                   ,0.003927319728567522,0.013306383695469092 ,0.002303609960926109 ,34294.0
Chest Press                        ,0.03451884529310428 ,0.01934424454589747  ,0.1601434120107559   ,6694.0
Crunch                             ,0.015819150046987574,0.010627477114096314 ,0.030927835051546393 ,9797.0
Dip                                ,0.05139271604528402 ,0.03435571929513072  ,0.10194942044257113  ,7592.0
Dumbbell Deadlift Row              ,0.02381648769481469 ,0.01907758216748109  ,0.03168779186124083  ,8994.0
Dumbbell Row (both)                ,0.019215706751605662,0.020871143375680586 ,0.017803580067731008 ,10335.0
Dumbbell Row (right)               ,0.026289752650176683,0.01877649909145972  ,0.043826578699340236 ,2122.0
Dumbbell Squat (hands at side)     ,0.09696337807897824 ,0.059518639573952585 ,0.2614457831325301   ,9960.0
Elliptical machine                 ,0.2460027325431114  ,0.3110032211381355   ,0.2034757643321829   ,32741.0
Punches                            ,0.3056906513696637  ,0.2231866464339909   ,0.4849643893431812   ,7582.0
Jump Rope                          ,0.30085176213174963 ,0.2890679747722495   ,0.3136371042198447   ,18413.0
Jumping Jacks                      ,0.3449509768839905  ,0.23267039969106004  ,0.6666666666666666   ,3615.0
Kettlebell Swing                   ,0.07798366558356021 ,0.049078850405305824 ,0.18971656459193847  ,7021.0
Lateral Raise                      ,0.035537644257189964,0.02391400818500074  ,0.06914741944682064  ,7014.0
Lawnmower (both)                   ,0.002425491920080041,0.0012398487384539087,0.05547850208044383  ,721.0
Lawnmower (right)                  ,0.016972117235969482,0.013675017237416686 ,0.02236421725239616  ,5321.0
Lunge (both legs)                  ,0.043932893148010174,0.0332271102129644   ,0.06481692062770071  ,13191.0
Ball Slam                          ,0.040077016330314484,0.026805303825240868 ,0.07937853107344632  ,7080.0
Triceps Extension (standing - both),0.03945527469452476 ,0.03475760065735415  ,0.04562122519413287  ,9272.0
Plank                              ,0.10530394472963643 ,0.05620974676657951  ,0.8318554520832561   ,26953.0
Power Boat pose                    ,0.040411037986375714,0.021766169154228857 ,0.2818035426731079   ,5589.0
Pushups                            ,0.04566533746861616 ,0.032052079446033915 ,0.0793797494352023   ,9738.0
Rowing machine                     ,0.06456156825918535 ,0.12056115738711093  ,0.04408464251362616  ,31190.0
Running                            ,0.4048924000537626  ,0.4371352100867434   ,0.3770792767732962   ,35950.0
Russian Twist                      ,0.04059337010657098 ,0.027774724268073724 ,0.07538538040775733  ,10055.0
Seated Back Fly                    ,0.01962180552258881 ,0.023578627115421184 ,0.016802168021680216 ,7380.0
Shoulder Press                     ,0.030960750798206857,0.02092688668962811  ,0.05947955390334572  ,8070.0
Squat                              ,0.004523271039162005,0.02803738317757009  ,0.002460077686663789 ,46340.0
Triceps Kickback                   ,0.009948522181734051,0.020084072863148058 ,0.006611824402244945 ,13007.0
Triceps extension (lying)          ,0.05335312811709851 ,0.03246844913746859  ,0.14954486345903772  ,7690.0
Dumbbell Curl                      ,0.055424071603769526,0.05158189827793352  ,0.05988469406732379  ,10754.0
V-up                               ,0.04144456575257423 ,0.026495141644997947 ,0.09510709373157793  ,10178.0
Walk                               ,0.24879178768387755 ,0.1936375450734904   ,0.3478789871752713   ,60820.0
Walking lunge                      ,0.04201054256961823 ,0.028453965162825917 ,0.08024000813586901  ,9833.0
Wall Ball                          ,0.030902260968176342,0.019116937782259837 ,0.08057660321567177  ,5411.0
Wall Squat                         ,0.034488661652762403,0.020074132135882345 ,0.12232836787564767  ,12352.0
accuracy                           ,0.07183901094444389 ,0.07183901094444389  ,0.07183901094444389  ,0.07183901094444389
macro avg                          ,0.07788356577325797 ,0.08049978331246439  ,0.14367094345328452  ,1405462.0
weighted avg                       ,0.0470990398537058  ,0.3793963575415056   ,0.07183901094444389  ,1405462.0
