Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.03873692292926385 ,0.6442683293269231  ,0.01996877732129906 ,858991.0
Band Pull-Down Row                 ,0.01741681180676506 ,0.010655400605675405,0.04765886287625418 ,5980.0
Bicep Curl                         ,0.3448701012769705  ,0.30715331520602385 ,0.3931463757445954  ,14941.0
Box Jump (on bench)                ,0.02612460556248624 ,0.013958594730238394,0.20342857142857146 ,875.0
Burpee                             ,0.08196007710963248 ,0.053966260850575966,0.17029890602119047 ,11609.0
Butterfly sit-up                   ,0.04408001860897883 ,0.06579099641245226 ,0.03314289045647992 ,34306.0
Chest Press                        ,0.07254188409777533 ,0.04098217575980915 ,0.3155144094370614  ,6697.0
Crunch                             ,0.08573596358118361 ,0.04970998435870698 ,0.3114536545528787  ,9796.0
Dip                                ,0.10555920127496014 ,0.06420527441197434 ,0.2965889635190307  ,7593.0
Dumbbell Deadlift Row              ,0.05625816079089722 ,0.04234289885999888 ,0.08379639919982218 ,8998.0
Dumbbell Row (both)                ,0.03225593231542072 ,0.02449676221073239 ,0.04720905485150431 ,10337.0
Dumbbell Row (right)               ,0.0207563988284732  ,0.011128178870114356,0.15399149740198395 ,2117.0
Dumbbell Squat (hands at side)     ,0.16417817399706994 ,0.0971717432614431  ,0.5288683602771362  ,9959.0
Elliptical machine                 ,0.15243491164171047 ,0.17016150284229944 ,0.13805320546104272 ,32741.0
Punches                            ,0.3645516177485487  ,0.2633585547539445  ,0.5920358649789029  ,7584.0
Jump Rope                          ,0.4239430570043566  ,0.4872699061993088  ,0.37518327450447997 ,18415.0
Jumping Jacks                      ,0.5539228323451062  ,0.4016199376947041  ,0.8923034330011074  ,3612.0
Kettlebell Swing                   ,0.3000395072370075  ,0.2005473401190705  ,0.5954383464005703  ,7015.0
Lateral Raise                      ,0.10442160221895903 ,0.06770480704129993 ,0.2281477256523599  ,7013.0
Lawnmower (both)                   ,0.009372264277254235,0.004867090977162112,0.1260387811634349  ,722.0
Lawnmower (right)                  ,0.0398093447905478  ,0.02423177508989866 ,0.11146616541353384 ,5320.0
Lunge (both legs)                  ,0.07390202702702703 ,0.061360448807854136,0.09288747346072186 ,13188.0
Ball Slam                          ,0.17745017745017747 ,0.13084613836140374 ,0.2756183745583039  ,7075.0
Triceps Extension (standing - both),0.15362209903222773 ,0.1360232945091514  ,0.1764515432764947  ,9266.0
Plank                              ,0.11767826333273247 ,0.06322742391623176 ,0.8477663995250816  ,26952.0
Power Boat pose                    ,0.06434093355514238 ,0.037264792564044434,0.2353256979241231  ,5588.0
Pushups                            ,0.11165329583988093 ,0.07632580754588973 ,0.20786286183535208 ,9742.0
Rowing machine                     ,0.18494523239751748 ,0.2352504454563453  ,0.15236416092322488 ,31195.0
Running                            ,0.4333091331494119  ,0.4532227689690784  ,0.4150717703349282  ,35948.0
Russian Twist                      ,0.18528478830506134 ,0.14177175117395666 ,0.2673365834245349  ,10051.0
Seated Back Fly                    ,0.04567532224920605 ,0.0348687963491158  ,0.06618841364374661 ,7388.0
Shoulder Press                     ,0.04086854297766406 ,0.028334452008821558,0.07328869047619048 ,8064.0
Squat                              ,0.013297552769655946,0.01743575379875359 ,0.010746887071365372,46339.0
Triceps Kickback                   ,0.05268344451182535 ,0.05195484787321522 ,0.053432766971630664,13007.0
Triceps extension (lying)          ,0.18868312757201647 ,0.15605854322668486 ,0.23855359001040585 ,7688.0
Dumbbell Curl                      ,0.1330244077817281  ,0.11658847419648485 ,0.15485491071428573 ,10752.0
V-up                               ,0.17641297459238348 ,0.12482165423341895 ,0.30069724049887064 ,10183.0
Walk                               ,0.33154411606199746 ,0.2944592645538438  ,0.3793160144689247  ,60820.0
Walking lunge                      ,0.12904304220643545 ,0.1094802524285613  ,0.15711814388928466 ,9827.0
Wall Ball                          ,0.1417898379637116  ,0.08592708741669933 ,0.4052505084119061  ,5409.0
Wall Squat                         ,0.029688070713711736,0.01811116260829263 ,0.0822871952701061  ,12347.0
accuracy                           ,0.11133373652566794 ,0.11133373652566794 ,0.11133373652566794 ,0.11133373652566794
macro avg                          ,0.14204550680324102 ,0.1321688777946391  ,0.2501500669842127  ,1405450.0
weighted avg                       ,0.09034504460453782 ,0.4553167617519571  ,0.11133373652566794 ,1405450.0
