Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.05791972079128501 ,0.7179615011771223   ,0.030177090463750705,858996.0
Band Pull-Down Row                 ,0.013866011063306698,0.008128206606329623 ,0.047149306136097635,5981.0
Bicep Curl                         ,0.3574730354391371  ,0.3159950657894737   ,0.41148517502175225 ,14941.0
Box Jump (on bench)                ,0.03928860145513339 ,0.021137787056367437 ,0.2780320366132723  ,874.0
Burpee                             ,0.07379752348951528 ,0.04859460788330738  ,0.1533092037228542  ,11604.0
Butterfly sit-up                   ,0.06600537684249559 ,0.09065444359562007  ,0.05189504373177842 ,34300.0
Chest Press                        ,0.0908642948654775  ,0.05234115990735274  ,0.3441839629684933  ,6697.0
Crunch                             ,0.07718671995240498 ,0.04419365826927919  ,0.304551949377424   ,9798.0
Dip                                ,0.11546588507940835 ,0.06976744186046513  ,0.3346944151738672  ,7592.0
Dumbbell Deadlift Row              ,0.03855857212787589 ,0.029162157543999544 ,0.056888888888888885,9000.0
Dumbbell Row (both)                ,0.03004121508166692 ,0.021942734814021942 ,0.04761443917545728 ,10333.0
Dumbbell Row (right)               ,0.017931348551260887,0.009541406675955657 ,0.14858490566037735 ,2120.0
Dumbbell Squat (hands at side)     ,0.17183713455820426 ,0.10365777796209512  ,0.5020588530681932  ,9957.0
Elliptical machine                 ,0.1443698858971092  ,0.13454890888460827  ,0.15573745456766744 ,32741.0
Punches                            ,0.3785129546797198  ,0.2783985102420857   ,0.5910648392198208  ,7588.0
Jump Rope                          ,0.4223558082859464  ,0.5255964415689446   ,0.3530146659424226  ,18410.0
Jumping Jacks                      ,0.5719392314566577  ,0.4223307377590075   ,0.8856905618599502  ,3613.0
Kettlebell Swing                   ,0.30752892925150144 ,0.20690844584606288  ,0.5986598232107214  ,7014.0
Lateral Raise                      ,0.100032310177706   ,0.0646670565627872   ,0.22076440387906449 ,7012.0
Lawnmower (both)                   ,0.007544490303110994,0.0038969374656152578,0.11789181692094315 ,721.0
Lawnmower (right)                  ,0.03694741191052352 ,0.021914930859443373 ,0.1176470588235294  ,5321.0
Lunge (both legs)                  ,0.04678011344678011 ,0.04177343424110602  ,0.05315035256653272 ,13189.0
Ball Slam                          ,0.20781609195402295 ,0.15402439855516936  ,0.3193443549526636  ,7077.0
Triceps Extension (standing - both),0.15588504112927795 ,0.14719984656693516  ,0.16565939995683146 ,9266.0
Plank                              ,0.12332046953332428 ,0.06664307796565445  ,0.8246753246753247  ,26950.0
Power Boat pose                    ,0.05844265525589775 ,0.03467628783323312  ,0.1857551896921976  ,5588.0
Pushups                            ,0.12518932469838615 ,0.08394914719994398  ,0.24607329842931935 ,9741.0
Rowing machine                     ,0.18552948523507895 ,0.20921529175050305  ,0.166661323930117   ,31195.0
Running                            ,0.4469191633691351  ,0.454224239464537    ,0.4398453364488581  ,35949.0
Russian Twist                      ,0.20120240480961926 ,0.15866904200907994  ,0.2748904818797292  ,10044.0
Seated Back Fly                    ,0.0598090862280667  ,0.04227797065740845  ,0.10217891460278793 ,7389.0
Shoulder Press                     ,0.050722618147071706,0.037360703812316716 ,0.07896367918681046 ,8067.0
Squat                              ,0.015801696284329564,0.01903314077227121  ,0.01350826464114626 ,46342.0
Triceps Kickback                   ,0.06226046713428302 ,0.0587592984371801   ,0.06620530565167243 ,13005.0
Triceps extension (lying)          ,0.25287723785166244 ,0.2141310232809962   ,0.3087431693989071  ,7686.0
Dumbbell Curl                      ,0.12368875595062563 ,0.1130622304374615   ,0.13652004091881334 ,10753.0
V-up                               ,0.20373847976193915 ,0.1443307408923455   ,0.3462633801433762  ,10183.0
Walk                               ,0.34501216545012164 ,0.3054446851915206   ,0.3963564017823378  ,60819.0
Walking lunge                      ,0.1353660263369047  ,0.1262435073509992   ,0.14590964590964592 ,9828.0
Wall Ball                          ,0.1635016835016835  ,0.09993003251430216  ,0.44937997408846936 ,5403.0
Wall Squat                         ,0.03226249104243219 ,0.019873396322106805 ,0.08566801619433198 ,12350.0
accuracy                           ,0.12042019670750095 ,0.12042019670750095  ,0.12042019670750095 ,0.12042019670750095
macro avg                          ,0.14916077849707535 ,0.1395649125264638   ,0.257484091450639   ,1405437.0
weighted avg                       ,0.10466070870300058 ,0.5017956918443348   ,0.12042019670750095 ,1405437.0
