Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8483548049855775  ,0.7947681348678456 ,0.9096899991851274  ,859030.0
Band Pull-Down Row                 ,0.29940865234982883 ,0.3945857260049221 ,0.24122367101303915 ,5982.0
Bicep Curl                         ,0.447043811144194   ,0.4752072343632253 ,0.4220318565118458  ,14942.0
Box Jump (on bench)                ,0.026096033402922755,0.02403846153846154,0.028538812785388126,876.0
Burpee                             ,0.4204781704781704  ,0.4227854716488111 ,0.4181959162574309  ,11607.0
Butterfly sit-up                   ,0.5386082280855321  ,0.5808441777358236 ,0.5020982689281343  ,34314.0
Chest Press                        ,0.4646924829157176  ,0.5337209302325582 ,0.4114746750336172  ,6693.0
Crunch                             ,0.3820195775373519  ,0.5171752397558849 ,0.3028693965077096  ,9793.0
Dip                                ,0.4353837693455888  ,0.5392099630278264 ,0.3650856389986825  ,7590.0
Dumbbell Deadlift Row              ,0.3361801733409249  ,0.38998972552473216,0.2954191683344452  ,8994.0
Dumbbell Row (both)                ,0.1473556499200353  ,0.17139191789608724,0.12923195976010834 ,10338.0
Dumbbell Row (right)               ,0.09616423554835224 ,0.11258697027197977,0.08392267798208393 ,2121.0
Dumbbell Squat (hands at side)     ,0.481000245158127   ,0.6168841377141959 ,0.39417378201908587 ,9955.0
Elliptical machine                 ,0.5965340132283931  ,0.7549216740706103 ,0.4930820683546624  ,32741.0
Punches                            ,0.6880995592429349  ,0.6763506625891947 ,0.700263852242744   ,7580.0
Jump Rope                          ,0.5694210391019965  ,0.6005181035002108 ,0.541386052574408   ,18412.0
Jumping Jacks                      ,0.6860841423948221  ,0.6979673632980247 ,0.6745987825124515  ,3614.0
Kettlebell Swing                   ,0.5566530153376696  ,0.6381881789725649 ,0.4935915693534606  ,7022.0
Lateral Raise                      ,0.3169843286742905  ,0.39011676396997497,0.26694250249678986 ,7009.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,720.0
Lawnmower (right)                  ,0.17172177879133407 ,0.2182608695652174 ,0.14154135338345866 ,5320.0
Lunge (both legs)                  ,0.3402427946155752  ,0.3733574988672406 ,0.3125237047712964  ,13183.0
Ball Slam                          ,0.3753711896248712  ,0.3285593040526204 ,0.4377385159010601  ,7075.0
Triceps Extension (standing - both),0.6361840248377082  ,0.6674167949780884 ,0.6077437446074202  ,9272.0
Plank                              ,0.6125108242959054  ,0.6893447187674029 ,0.5510870371744454  ,26954.0
Power Boat pose                    ,0.5268532155130092  ,0.5836415053295627 ,0.4801360057265569  ,5588.0
Pushups                            ,0.6198649731090513  ,0.6995996383830556 ,0.5564458140729327  ,9735.0
Rowing machine                     ,0.6319736741409657  ,0.7836401594230404 ,0.5294947422416004  ,31192.0
Running                            ,0.7095607235142117  ,0.7822313080197058 ,0.6492448054296125  ,35951.0
Russian Twist                      ,0.34204585956991806 ,0.42406834585358666,0.2866102538576406  ,10045.0
Seated Back Fly                    ,0.31499611499611496 ,0.3697555636628968 ,0.2743638332430969  ,7388.0
Shoulder Press                     ,0.5844977590297917  ,0.6235409928280129 ,0.550055824339412   ,8061.0
Squat                              ,0.5200701480904131  ,0.5966912586630897 ,0.4608875841823519  ,46328.0
Triceps Kickback                   ,0.388704318936877   ,0.4357749976124534 ,0.35081110171446145 ,13007.0
Triceps extension (lying)          ,0.5374224169404892  ,0.6124147112664337 ,0.4787926099401509  ,7686.0
Dumbbell Curl                      ,0.4579668348954578  ,0.4738412572110603 ,0.4431215700865036  ,10751.0
V-up                               ,0.5368819776714513  ,0.544700647249191  ,0.5292845911949685  ,10176.0
Walk                               ,0.4864510864897363  ,0.7008724167801015 ,0.3724926011180533  ,60820.0
Walking lunge                      ,0.27822485207100595 ,0.3326729871232489 ,0.2390928506051053  ,9833.0
Wall Ball                          ,0.5818746227472622  ,0.5449846551445647 ,0.6241213466518682  ,5406.0
Wall Squat                         ,0.20013354106387712 ,0.22213438735177865,0.1820980153908465  ,12345.0
accuracy                           ,0.7280363784100312  ,0.7280363784100312 ,0.7280363784100312  ,0.7280363784100312
macro avg                          ,0.44366133324725504 ,0.4960671915881778 ,0.4080855745483916  ,1405449.0
weighted avg                       ,0.712155211649005   ,0.7116242227716071 ,0.7280363784100312  ,1405449.0
