Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.7844610105438592 ,0.7209325013560605  ,0.8602677277367937  ,859007.0
Band Pull-Down Row                 ,0.0222332506203474 ,0.027357107962872496,0.01872596555759906 ,5981.0
Bicep Curl                         ,0.30307399882021363,0.2969241636165157  ,0.3094839702831136  ,14941.0
Box Jump (on bench)                ,0.06654783125371361,0.06922126081582201 ,0.06407322654462243 ,874.0
Burpee                             ,0.08457221620557251,0.09862227324913893 ,0.07402619786280593 ,11604.0
Butterfly sit-up                   ,0.20680567139282732,0.24167641325536066 ,0.18072886297376087 ,34300.0
Chest Press                        ,0.10987932895124106,0.16018306636155608 ,0.08361953113334329 ,6697.0
Crunch                             ,0.11525515012791168,0.16930379746835442 ,0.08736476832006533 ,9798.0
Dip                                ,0.10999617004978934,0.13142961742632253 ,0.09457323498419387 ,7592.0
Dumbbell Deadlift Row              ,0.03816414840036887,0.05277614282911517 ,0.02988888888888889 ,9000.0
Dumbbell Row (both)                ,0.09248356673335237,0.1129572745043284  ,0.07829284815639215 ,10333.0
Dumbbell Row (right)               ,0.01782121299223915,0.02281089036055924 ,0.014622641509433962,2120.0
Dumbbell Squat (hands at side)     ,0.0975144618905346 ,0.13283685486664354 ,0.07703123430752233 ,9957.0
Elliptical machine                 ,0.4416867591765162 ,0.4929990966576333  ,0.4000488683913137  ,32741.0
Punches                            ,0.2861714895319376 ,0.28960863697705796 ,0.2828149710068529  ,7588.0
Jump Rope                          ,0.4222694904281883 ,0.4882030080547438  ,0.37202607278652905 ,18410.0
Jumping Jacks                      ,0.4629769265570803 ,0.5086149768058317  ,0.4248546913921949  ,3613.0
Kettlebell Swing                   ,0.2882049727107337 ,0.3077047588216251  ,0.2710293698317651  ,7014.0
Lateral Raise                      ,0.11638457511778047,0.1498876404494382  ,0.09512264689104392 ,7012.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.07361041562343514,0.11023622047244094 ,0.0552527720353317  ,5321.0
Lunge (both legs)                  ,0.0924555125251238 ,0.13079056865464633 ,0.07149897641974373 ,13189.0
Ball Slam                          ,0.16988023443472353,0.21294718909710392 ,0.14130281192595734 ,7077.0
Triceps Extension (standing - both),0.23700440528634364,0.2842693236714976  ,0.20321605870925968 ,9266.0
Plank                              ,0.5836615858879945 ,0.5990391000351549  ,0.5690538033395176  ,26950.0
Power Boat pose                    ,0.4593358520580633 ,0.5167785234899329  ,0.4133858267716535  ,5588.0
Pushups                            ,0.1919042330001234 ,0.24052590873936586 ,0.15963453444204906 ,9741.0
Rowing machine                     ,0.20171977744056646,0.2734503565551289  ,0.15980125020035266 ,31195.0
Running                            ,0.5210828864125373 ,0.6162786281286794  ,0.4513616512281287  ,35949.0
Russian Twist                      ,0.22162348085301534,0.2612162162162162  ,0.1924532058940661  ,10044.0
Seated Back Fly                    ,0.093716719914803  ,0.13611755607115236 ,0.07145757206658547 ,7389.0
Shoulder Press                     ,0.05052348477571799,0.11220136518771333 ,0.032601958596752204,8067.0
Squat                              ,0.17220131046981738,0.2432645344257129  ,0.13327003582063787 ,46342.0
Triceps Kickback                   ,0.15135037157875658,0.18426569568575527 ,0.12841214917339486 ,13005.0
Triceps extension (lying)          ,0.23904891087528926,0.30905714875180523 ,0.19489981785063756 ,7686.0
Dumbbell Curl                      ,0.2748879391222766 ,0.3127001067235859  ,0.2452338882172417  ,10753.0
V-up                               ,0.2329059829059829 ,0.2943735933983496  ,0.19267406461749972 ,10183.0
Walk                               ,0.4196612969847171 ,0.5046668514924684  ,0.3591640770154064  ,60819.0
Walking lunge                      ,0.10472727272727274,0.14949037372593432 ,0.08059428106237916 ,9827.0
Wall Ball                          ,0.10087666626636244,0.1441317776252574  ,0.0775909846665435  ,5413.0
Wall Squat                         ,0.16543531797769084,0.2049288192367508  ,0.13870445344129553 ,12350.0
accuracy                           ,0.6168811994959646 ,0.6168811994959646  ,0.6168811994959646  ,0.6168811994959646
macro avg                          ,0.21522233874694685,0.2515799838835032  ,0.19244292419640655 ,1405457.0
weighted avg                       ,0.5836949022658929 ,0.5645296258924135  ,0.6168811994959646  ,1405457.0
