Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.8003516579827826  ,0.7492125672440159  ,0.8589833886501721  ,858991.0
Band Pull-Down Row                 ,0.0257188783711377  ,0.027596780375622843,0.024080267558528427,5980.0
Bicep Curl                         ,0.3181345128138416  ,0.3094198772695641  ,0.3273542600896861  ,14941.0
Box Jump (on bench)                ,0.07411764705882352 ,0.07636363636363637 ,0.07200000000000001 ,875.0
Burpee                             ,0.12057492680330052 ,0.124302570200311   ,0.1170643466276165  ,11609.0
Butterfly sit-up                   ,0.2066336378844421  ,0.2305290359629603  ,0.18722672418818864 ,34306.0
Chest Press                        ,0.18890006400292586 ,0.2436320754716981  ,0.15424817082275644 ,6697.0
Crunch                             ,0.16194331983805668 ,0.2185602775368604  ,0.12862392813393222 ,9796.0
Dip                                ,0.11214551704382697 ,0.12290064354104535 ,0.10312129593046226 ,7593.0
Dumbbell Deadlift Row              ,0.0981031774797632  ,0.10746426680783484 ,0.09024227606134697 ,8998.0
Dumbbell Row (both)                ,0.11364750749114685 ,0.13008231479171864 ,0.10089968075844057 ,10337.0
Dumbbell Row (right)               ,0.012102078400420942,0.01365795724465558 ,0.01086443079829948 ,2117.0
Dumbbell Squat (hands at side)     ,0.20045940949072774 ,0.2267427122940431  ,0.17963650968972789 ,9959.0
Elliptical machine                 ,0.42864684145697696 ,0.5056249740545478  ,0.3720106288751107  ,32741.0
Punches                            ,0.2910873799449258  ,0.2966461327857632  ,0.2857331223628692  ,7584.0
Jump Rope                          ,0.4463855793567504  ,0.5171279410713009  ,0.3926690198207983  ,18415.0
Jumping Jacks                      ,0.3986434407276091  ,0.4497391304347826  ,0.3579734219269103  ,3612.0
Kettlebell Swing                   ,0.2605247101891397  ,0.2801377726750861  ,0.24347826086956526 ,7015.0
Lateral Raise                      ,0.11224575913579203 ,0.13751033912324234 ,0.09482389847426208 ,7013.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,722.0
Lawnmower (right)                  ,0.04949333333333334 ,0.057213316892725026,0.04360902255639098 ,5320.0
Lunge (both legs)                  ,0.1433126508100655  ,0.1659680638722555  ,0.12609948437973914 ,13188.0
Ball Slam                          ,0.20214829180963748 ,0.21402622018638445 ,0.19151943462897528 ,7075.0
Triceps Extension (standing - both),0.25477634137970484 ,0.2710564751703992  ,0.24034103172890134 ,9266.0
Plank                              ,0.5803013102957304  ,0.6026937372607011  ,0.5595132086672603  ,26952.0
Power Boat pose                    ,0.5214212055873254  ,0.5475487300649734  ,0.4976735862562634  ,5588.0
Pushups                            ,0.1628649095851554  ,0.19192200557103065 ,0.1414493943748717  ,9742.0
Rowing machine                     ,0.2955978503385523  ,0.37438568901120506 ,0.2442058022118929  ,31195.0
Running                            ,0.4911381932733001  ,0.5736638667955103  ,0.4293702014020251  ,35948.0
Russian Twist                      ,0.2175565822562723  ,0.2639046538024972  ,0.18505621331210825 ,10051.0
Seated Back Fly                    ,0.09377731860446634 ,0.11357074109720885 ,0.07985923118570655 ,7388.0
Shoulder Press                     ,0.10574293527803098 ,0.15938046465151134 ,0.07911706349206349 ,8064.0
Squat                              ,0.25200949829208524 ,0.3061520424534123  ,0.21413927793003731 ,46339.0
Triceps Kickback                   ,0.1821386122382065  ,0.1950491573033708  ,0.17083109095102636 ,13007.0
Triceps extension (lying)          ,0.3471036930745412  ,0.4138303619665046  ,0.2989073881373569  ,7688.0
Dumbbell Curl                      ,0.31176833025261863 ,0.3480055020632737  ,0.28236607142857145 ,10752.0
V-up                               ,0.2483264953573742  ,0.27574631339167965 ,0.2258666404792301  ,10183.0
Walk                               ,0.4650565112000234  ,0.5700307853852946  ,0.3927326537323249  ,60820.0
Walking lunge                      ,0.15182744833023598 ,0.16998738965952082 ,0.13717309453546353 ,9827.0
Wall Ball                          ,0.1086488812392427  ,0.12992024697710314 ,0.09336291366241448 ,5409.0
Wall Squat                         ,0.16798482956384994 ,0.1958162605132629  ,0.14708026241192193 ,12347.0
accuracy                           ,0.6267864385072397  ,0.6267864385072397  ,0.6267864385072397  ,0.6267864385072397
macro avg                          ,0.2371551528676132  ,0.26602739095947603 ,0.21661723656349316 ,1405450.0
weighted avg                       ,0.6040649703285172  ,0.5910166617935497  ,0.6267864385072397  ,1405450.0
