Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.26254860615438824  ,0.5969516274229648  ,0.16828049115520188  ,859036.0
Band Pull-Down Row                 ,0.03520579860212271  ,0.07793696275071632 ,0.022738672462798863 ,5981.0
Bicep Curl                         ,0.16827918533298195  ,0.1922911468639766  ,0.1495983935742972   ,14940.0
Box Jump (on bench)                ,0.008484848484848486 ,0.00902061855670103 ,0.008009153318077803 ,874.0
Burpee                             ,0.14643585954542254  ,0.12376590936124658 ,0.17927291523087527  ,11608.0
Butterfly sit-up                   ,0.12209092874126375  ,0.1598358722822242  ,0.09876723107859994  ,34313.0
Chest Press                        ,0.3595175051485732   ,0.2301029374843083  ,0.8216046615867324   ,6693.0
Crunch                             ,0.17642353283397572  ,0.3064679130874179  ,0.12386398447870928  ,9793.0
Dip                                ,0.2727465715620091   ,0.2012279163012154  ,0.42313265709392694  ,7591.0
Dumbbell Deadlift Row              ,0.08195949128591615  ,0.13946032594175795 ,0.05803224013340745  ,8995.0
Dumbbell Row (both)                ,0.02186369119420989  ,0.04957264957264957 ,0.0140245671728407   ,10339.0
Dumbbell Row (right)               ,0.028963414634146343 ,0.07524752475247523 ,0.01793298725814063  ,2119.0
Dumbbell Squat (hands at side)     ,0.13724506294673222  ,0.07719227826348732 ,0.6181197267979108   ,9956.0
Elliptical machine                 ,0.4478208938640594   ,0.410678350357898   ,0.4923499770957398   ,32745.0
Punches                            ,0.542896407303187    ,0.5388412574694726  ,0.5470130555189239   ,7583.0
Jump Rope                          ,0.4138304151091875   ,0.3781063227430009  ,0.4570093965564065   ,18411.0
Jumping Jacks                      ,0.3674790898462092   ,0.27218225419664266 ,0.5654580680874619   ,3613.0
Kettlebell Swing                   ,0.2631114596608176   ,0.20058291607503176 ,0.382281726249822    ,7021.0
Lateral Raise                      ,0.15350906314321755  ,0.14356681569796326 ,0.16493080325296047  ,7009.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.014630390143737163 ,0.02307692307692308 ,0.010710259301014656 ,5322.0
Lunge (both legs)                  ,0.08660501688908577  ,0.05723067915690866 ,0.17792946530147896  ,13185.0
Ball Slam                          ,0.006136224176723257 ,0.011090573012939002,0.004241481690937367 ,7073.0
Triceps Extension (standing - both),0.3520480377439417   ,0.29214123006833714 ,0.4428617675623179   ,9267.0
Plank                              ,0.10129647977373     ,0.053713395344869005,0.8875533296234465   ,26955.0
Power Boat pose                    ,0.18042559759226748  ,0.10110926114126323 ,0.8370927318295739   ,5586.0
Pushups                            ,0.2557924003707136   ,0.2564526120173446  ,0.2551355792933443   ,9736.0
Rowing machine                     ,0.13343933989427992  ,0.20234604105571846 ,0.0995415638123938   ,31193.0
Running                            ,0.5847015126231362   ,0.5663486104593566  ,0.6042837273991655   ,35950.0
Russian Twist                      ,0.11981105862739652  ,0.13552929343726428 ,0.10735982471865352  ,10041.0
Seated Back Fly                    ,0.004166124202577789 ,0.05536332179930796 ,0.0021645021645021645,7392.0
Shoulder Press                     ,0.3083641548950581   ,0.2405952298171198  ,0.4292803970223325   ,8060.0
Squat                              ,0.0053519720419370935,0.03577148958889482 ,0.0028923568391288393,46329.0
Triceps Kickback                   ,0.2189349112426036   ,0.3998776508972268  ,0.15073020753266714  ,13010.0
Triceps extension (lying)          ,0.17546631857373504  ,0.119189845062535   ,0.3324222308993883   ,7683.0
Dumbbell Curl                      ,0.2784214945424013   ,0.253749617385981   ,0.3084077380952381   ,10752.0
V-up                               ,0.19721423833738672  ,0.2254233004801617  ,0.1752800157201808   ,10178.0
Walk                               ,0.4361672794117647   ,0.33519336040967684 ,0.6242025649457416   ,60820.0
Walking lunge                      ,0.1492963195821444   ,0.09792228390166534 ,0.3140706073863058   ,9829.0
Wall Ball                          ,0.10683803594738428  ,0.11710323574730355 ,0.0982274741506647   ,5416.0
Wall Squat                         ,0.015197784248277819 ,0.009731917506082448,0.03466990684487647  ,12345.0
accuracy                           ,0.2294766920224865   ,0.2294766920224865  ,0.2294766920224865   ,0.2294766920224865
macro avg                          ,0.1887979638110622   ,0.18956076757434215 ,0.27345069366429725  ,1405463.0
weighted avg                       ,0.2499308346748479   ,0.4505155527221319  ,0.2294766920224865   ,1405463.0
