Unnamed: 0                         ,f1-score            ,precision            ,recall               ,support
Noise                              ,0.3861221964917318  ,0.8087069183137074   ,0.2536033555648429   ,858991.0
Band Pull-Down Row                 ,0.3696319018404908  ,0.3768241834607367   ,0.3627090301003345   ,5980.0
Bicep Curl                         ,0.4736043270690179  ,0.4029395191585273   ,0.5743256810119804   ,14941.0
Box Jump (on bench)                ,0.008634222919937205,0.0065750149432157795,0.012571428571428572 ,875.0
Burpee                             ,0.35467879940241753 ,0.292719834108614    ,0.4499095529330692   ,11609.0
Butterfly sit-up                   ,0.3937133058517585  ,0.3224936282626086   ,0.5053051944266309   ,34306.0
Chest Press                        ,0.4271631230034693  ,0.2773911491791577   ,0.9284754367627296   ,6697.0
Crunch                             ,0.3972882103290526  ,0.4317718940936864   ,0.3679052674561045   ,9796.0
Dip                                ,0.4280395429451792  ,0.3170406998858882   ,0.6586329514026077   ,7593.0
Dumbbell Deadlift Row              ,0.3374653486060987  ,0.3187432071929651   ,0.3585241164703267   ,8998.0
Dumbbell Row (both)                ,0.004689498365780872,0.008830612791008831 ,0.00319241559446648  ,10337.0
Dumbbell Row (right)               ,0.1678075493839233  ,0.1431909212283044   ,0.2026452527161077   ,2117.0
Dumbbell Squat (hands at side)     ,0.17570404601299394 ,0.10025517436915224  ,0.7101114569735917   ,9959.0
Elliptical machine                 ,0.6709281513679366  ,0.6609375926035679   ,0.6812253749121896   ,32741.0
Punches                            ,0.7975867678958785  ,0.8207310267857143   ,0.7757120253164557   ,7584.0
Jump Rope                          ,0.4610934687190274  ,0.3673929860752965   ,0.6189519413521586   ,18415.0
Jumping Jacks                      ,0.6599035757332261  ,0.51781210592686     ,0.9094684385382059   ,3612.0
Kettlebell Swing                   ,0.5278054614311339  ,0.4057304834137746   ,0.7549536707056308   ,7015.0
Lateral Raise                      ,0.3220613450180987  ,0.2417936065222055   ,0.482104662769143    ,7013.0
Lawnmower (both)                   ,0.002570694087403599,0.017857142857142856 ,0.0013850415512465374,722.0
Lawnmower (right)                  ,0.14921913128355296 ,0.11045881502890173  ,0.2298872180451128   ,5320.0
Lunge (both legs)                  ,0.1135579591730864  ,0.08630001971220186  ,0.1659842280861389   ,13188.0
Ball Slam                          ,0.25709051860274146 ,0.23241206030150754  ,0.2876325088339223   ,7075.0
Triceps Extension (standing - both),0.6515429831006613  ,0.567066346922462    ,0.7655946470969135   ,9266.0
Plank                              ,0.12732117509359409 ,0.06879075733519907  ,0.8536286731967943   ,26952.0
Power Boat pose                    ,0.15905914436679733 ,0.08790173693530763  ,0.8350035790980673   ,5588.0
Pushups                            ,0.4217951651033325  ,0.3355374909002669   ,0.5677478957093001   ,9742.0
Rowing machine                     ,0.6856746528353663  ,0.6472899111819631   ,0.7288988619971151   ,31195.0
Running                            ,0.7222940695188578  ,0.6870951544062265   ,0.7612940914654501   ,35948.0
Russian Twist                      ,0.28837316176470584 ,0.2344187784073221   ,0.3745895930753159   ,10051.0
Seated Back Fly                    ,0.13335899162898104 ,0.2306156405990017   ,0.09380075798592312  ,7388.0
Shoulder Press                     ,0.3563866877971474  ,0.3645441576967968   ,0.34858630952380953  ,8064.0
Squat                              ,0.022755167644021898,0.11703406813627255  ,0.012602775200155377 ,46339.0
Triceps Kickback                   ,0.4095275824502328  ,0.5753443717823848   ,0.31790574306142844  ,13007.0
Triceps extension (lying)          ,0.4969248065604127  ,0.5054486748284677   ,0.4886836628511967   ,7688.0
Dumbbell Curl                      ,0.3421215060400318  ,0.32523051131601005  ,0.3608630952380952   ,10752.0
V-up                               ,0.6549890217126129  ,0.6508921644685803   ,0.6591377786506923   ,10183.0
Walk                               ,0.5181502803658387  ,0.3838757455032196   ,0.7968924695823743   ,60820.0
Walking lunge                      ,0.330419308197086   ,0.2114267820542018   ,0.7557749058715783   ,9827.0
Wall Ball                          ,0.5873889745283712  ,0.4870952033114195   ,0.7396931040857829   ,5409.0
Wall Squat                         ,0.07245906475881399 ,0.05698904770744385  ,0.0994573580626873   ,12347.0
accuracy                           ,0.3640136611049842  ,0.3640136611049842   ,0.3640136611049842   ,0.3640136611049842
macro avg                          ,0.3626073387561172  ,0.3367196375538363   ,0.4842773549231001   ,1405450.0
weighted avg                       ,0.3918401542837219  ,0.6354082085736801   ,0.3640136611049842   ,1405450.0
