Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.4682604103056392   ,0.8348182684352478  ,0.3253871425145462  ,858986.0
Band Pull-Down Row                 ,0.36108779587040457  ,0.3624873609706775  ,0.3596989966555184  ,5980.0
Bicep Curl                         ,0.4929265878791406   ,0.4361510328130634  ,0.5666956696338933  ,14941.0
Box Jump (on bench)                ,0.0014738393515106856,0.001087547580206634,0.002285714285714286,875.0
Burpee                             ,0.41381543443065294  ,0.3553070554800445  ,0.4953915065897149  ,11609.0
Butterfly sit-up                   ,0.4554143019296254   ,0.37292263077666654 ,0.5847665131463884  ,34306.0
Chest Press                        ,0.4379930353208727   ,0.28738633714152484 ,0.9202628042407048  ,6697.0
Crunch                             ,0.4288101953410634   ,0.4390374331550802  ,0.4190485912617395  ,9796.0
Dip                                ,0.4205574224154972   ,0.3004745226528076  ,0.7005136309758988  ,7593.0
Dumbbell Deadlift Row              ,0.3537148008697036   ,0.3382696013794502  ,0.3706379195376751  ,8998.0
Dumbbell Row (both)                ,0.040065644275932316 ,0.0482683392418871  ,0.03424591274064042 ,10337.0
Dumbbell Row (right)               ,0.1422676360778149   ,0.12180349932705248 ,0.17099669343410487 ,2117.0
Dumbbell Squat (hands at side)     ,0.1677903093692899   ,0.0995049042503503  ,0.5347926498644442  ,9959.0
Elliptical machine                 ,0.6580939325306949   ,0.6424893078467313  ,0.6744754283619926  ,32741.0
Punches                            ,0.8097225962833288   ,0.8273252614199229  ,0.7928533755274262  ,7584.0
Jump Rope                          ,0.4831936096172097   ,0.37993221603805855 ,0.6635351615530817  ,18415.0
Jumping Jacks                      ,0.6512136888181457   ,0.5082298136645963  ,0.9061461794019934  ,3612.0
Kettlebell Swing                   ,0.4766242464835901   ,0.34700910273081925 ,0.7607982893799002  ,7015.0
Lateral Raise                      ,0.3434504792332269   ,0.24930747922437674 ,0.5518323114216455  ,7013.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                 ,722.0
Lawnmower (right)                  ,0.1526358102676008   ,0.10988920125682156 ,0.249812030075188   ,5320.0
Lunge (both legs)                  ,0.14118009823139438  ,0.09948781623467327 ,0.24302396117682745 ,13188.0
Ball Slam                          ,0.3395360077332045   ,0.2965073335443706  ,0.3971731448763251  ,7075.0
Triceps Extension (standing - both),0.6822805772415426   ,0.6074648243322942  ,0.7781135333477228  ,9266.0
Plank                              ,0.14623134180361466  ,0.08026604159712042 ,0.8207554170376966  ,26952.0
Power Boat pose                    ,0.18148563337070034  ,0.10194657416204513 ,0.8256979241231209  ,5588.0
Pushups                            ,0.3472345881263578   ,0.2658559197251459  ,0.5004105933073291  ,9742.0
Rowing machine                     ,0.6372701218055886   ,0.5963069530966282  ,0.6842763263343484  ,31195.0
Running                            ,0.7399782164014558   ,0.7080939549544969  ,0.7748692555914098  ,35948.0
Russian Twist                      ,0.3089066006345276   ,0.2527382082937639  ,0.3971744105064173  ,10051.0
Seated Back Fly                    ,0.14470692893150144  ,0.2682301209234152  ,0.09907958852192746 ,7388.0
Shoulder Press                     ,0.3919252239387251   ,0.411195859438845   ,0.3743799603174603  ,8064.0
Squat                              ,0.02362064531444737  ,0.14180522565320666 ,0.01288331642892596 ,46339.0
Triceps Kickback                   ,0.4312793760652859   ,0.6570664148567831  ,0.3209810102252633  ,13007.0
Triceps extension (lying)          ,0.5579305475319339   ,0.550754023571157   ,0.5652965660770031  ,7688.0
Dumbbell Curl                      ,0.3303217366420016   ,0.2946969144357721  ,0.3757440476190476  ,10752.0
V-up                               ,0.6448938228384542   ,0.6073225750477182  ,0.6874202101541785  ,10183.0
Walk                               ,0.54696299220802     ,0.4103268694414505  ,0.8200263071358106  ,60820.0
Walking lunge                      ,0.3184240619673334   ,0.2020536692223439  ,0.7508904039890099  ,9827.0
Wall Ball                          ,0.6146436902701482   ,0.5179454660748256  ,0.7557364914877869  ,5404.0
Wall Squat                         ,0.14973088469964568  ,0.11240152684154958 ,0.22418401231068275 ,12347.0
accuracy                           ,0.4134399191712204   ,0.4134399191712204  ,0.4134399191712204  ,0.4134399191712204
macro avg                          ,0.3765281676201665   ,0.3474187123617803  ,0.4998120244187928  ,1405440.0
weighted avg                       ,0.44754456743385385  ,0.6567321677488531  ,0.4134399191712204  ,1405440.0
