Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.4773655905026724  ,0.8379272551913607 ,0.3337516370303541  ,859025.0
Band Pull-Down Row                 ,0.3629297964011152  ,0.3668659265584969 ,0.3590772316950853  ,5982.0
Bicep Curl                         ,0.4883625007365506  ,0.4362105263157895 ,0.5546780886092892  ,14942.0
Box Jump (on bench)                ,0.00425531914893617 ,0.00308641975308642,0.00684931506849315 ,876.0
Burpee                             ,0.4224317903678641  ,0.3627820710973725 ,0.5055569914706642  ,11607.0
Butterfly sit-up                   ,0.456456118219499   ,0.3720029373967321 ,0.5905169901497931  ,34314.0
Chest Press                        ,0.4395054670192239  ,0.28882731414079743,0.9188704616763784  ,6693.0
Crunch                             ,0.4321519381453998  ,0.43933319265667853,0.4252016746655775  ,9793.0
Dip                                ,0.41844751728472657 ,0.2981081383633717 ,0.7017127799736496  ,7590.0
Dumbbell Deadlift Row              ,0.34750756489886925 ,0.33252057299603777,0.3639092728485657  ,8994.0
Dumbbell Row (both)                ,0.05650945446642035 ,0.06446813786263328,0.05029986457728768 ,10338.0
Dumbbell Row (right)               ,0.14186092847180715 ,0.12284334023464458,0.16784535596416786 ,2121.0
Dumbbell Squat (hands at side)     ,0.17023488515642768 ,0.10153661325014048,0.526368658965344   ,9955.0
Elliptical machine                 ,0.6559921209317595  ,0.6413398692810458 ,0.6713295256711768  ,32741.0
Punches                            ,0.8086535877452298  ,0.8239320920043811 ,0.7939313984168865  ,7580.0
Jump Rope                          ,0.4882644036806645  ,0.3850180222535653 ,0.6671735824462307  ,18412.0
Jumping Jacks                      ,0.6498905908096281  ,0.5072981366459627 ,0.9039845047039292  ,3614.0
Kettlebell Swing                   ,0.4756328417345367  ,0.3442299114254763 ,0.7692964967245799  ,7022.0
Lateral Raise                      ,0.3431957936012833  ,0.2495302274347178 ,0.5494364388643173  ,7009.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,720.0
Lawnmower (right)                  ,0.15426808364758313 ,0.11081924150385816,0.25375939849624063 ,5320.0
Lunge (both legs)                  ,0.14868528639669495 ,0.10378180288966987,0.2620799514526284  ,13183.0
Ball Slam                          ,0.34517276729180485 ,0.30100967606226336,0.4045229681978799  ,7075.0
Triceps Extension (standing - both),0.6853452369645741  ,0.6122518241982012 ,0.7782571182053495  ,9272.0
Plank                              ,0.14910143986142688 ,0.0820310464207274 ,0.8175409957705719  ,26954.0
Power Boat pose                    ,0.1832829408020369  ,0.10310178139826336,0.8244452397995705  ,5588.0
Pushups                            ,0.3410885805763074  ,0.2608979591836735 ,0.4924499229583975  ,9735.0
Rowing machine                     ,0.6414653962626486  ,0.5948004273621346 ,0.6960759169017697  ,31192.0
Running                            ,0.7401920950617448  ,0.7102464464669189 ,0.7727740535729187  ,35951.0
Russian Twist                      ,0.30856472428627296 ,0.2541062801932367 ,0.3927327028372325  ,10045.0
Seated Back Fly                    ,0.14436689930209373 ,0.27403482210446634,0.09799675148890093 ,7388.0
Shoulder Press                     ,0.3989816567661075  ,0.42105263157894735,0.3791092916511599  ,8061.0
Squat                              ,0.025358955621827658,0.14912891986062718,0.013857710240027628,46328.0
Triceps Kickback                   ,0.43345613033777824 ,0.6666134695180338 ,0.32113477358345505 ,13007.0
Triceps extension (lying)          ,0.5714835976118637  ,0.5640603218856926 ,0.5791048659901119  ,7686.0
Dumbbell Curl                      ,0.34736668317649    ,0.31223566075536097,0.39140545065575294 ,10751.0
V-up                               ,0.6555757491029404  ,0.6234157582203315 ,0.6912342767295597  ,10176.0
Walk                               ,0.5518557630959453  ,0.4146307193864057 ,0.8248438013811247  ,60820.0
Walking lunge                      ,0.3182711198428291  ,0.2026294577090919 ,0.7413810637648733  ,9833.0
Wall Ball                          ,0.610682448123455   ,0.5128334172118773 ,0.7546750601740418  ,5401.0
Wall Squat                         ,0.14465981527253804 ,0.10655423533921042,0.22519238558120694 ,12345.0
accuracy                           ,0.4194198396372949  ,0.4194198396372949 ,0.4194198396372949  ,0.4194198396372949
macro avg                          ,0.3789969165543312  ,0.3501974781490557 ,0.5018137553403547  ,1405439.0
weighted avg                       ,0.4540817575391576  ,0.6598013346383579 ,0.4194198396372949  ,1405439.0
