Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.4887569791457633   ,0.8408560720364388   ,0.3445010221235023   ,858996.0
Band Pull-Down Row                 ,0.35739361246682083  ,0.3662688662688663   ,0.3489383046313326   ,5981.0
Bicep Curl                         ,0.5027862285008585   ,0.4571146894511995   ,0.5585971487852218   ,14941.0
Box Jump (on bench)                ,0.0007057163020465772,0.0005102040816326531,0.0011441647597254007,874.0
Burpee                             ,0.4340551893966829   ,0.37432854465958776  ,0.5164598414339883   ,11604.0
Butterfly sit-up                   ,0.455234297108674    ,0.36710737895301054  ,0.5990379008746356   ,34300.0
Chest Press                        ,0.4426442933603356   ,0.29205440229062274  ,0.9138420188143944   ,6697.0
Crunch                             ,0.4249583680266445   ,0.4335315353578255   ,0.4167176974892835   ,9798.0
Dip                                ,0.4155682084080805   ,0.29518005540166203  ,0.7017913593256059   ,7592.0
Dumbbell Deadlift Row              ,0.3414371192927605   ,0.3315883153596482   ,0.3518888888888889   ,9000.0
Dumbbell Row (both)                ,0.1026809015421115   ,0.10072612176503444  ,0.10471305525984707  ,10333.0
Dumbbell Row (right)               ,0.14679596881536414  ,0.12296909843899333  ,0.1820754716981132   ,2120.0
Dumbbell Squat (hands at side)     ,0.17758228002155887  ,0.10738015138772078  ,0.5129054936225771   ,9957.0
Elliptical machine                 ,0.6687191935937477   ,0.6487736228387616   ,0.6899300571149324   ,32741.0
Punches                            ,0.8049886621315193   ,0.8148798271671618   ,0.7953347390616763   ,7588.0
Jump Rope                          ,0.4961705361249424   ,0.39263221191885306  ,0.6738728951656708   ,18410.0
Jumping Jacks                      ,0.6478537360890302   ,0.5053480080607657   ,0.9022972598948242   ,3613.0
Kettlebell Swing                   ,0.4734988477759903   ,0.3406318423522052   ,0.7763045337895638   ,7014.0
Lateral Raise                      ,0.34219223977905555  ,0.2506799336650083   ,0.5389332572732458   ,7012.0
Lawnmower (both)                   ,0.0                  ,0.0                  ,0.0                  ,721.0
Lawnmower (right)                  ,0.1447594501718213   ,0.10133052694880854  ,0.25333583912798346  ,5321.0
Lunge (both legs)                  ,0.15367384459330954  ,0.10652759873432556  ,0.2756842823565092   ,13189.0
Ball Slam                          ,0.3551651014843987   ,0.3108824777259228   ,0.4141585417549809   ,7077.0
Triceps Extension (standing - both),0.691781149777416    ,0.6215913978494624   ,0.7798402762788691   ,9266.0
Plank                              ,0.15183452863527694  ,0.0837358605930908   ,0.8130612244897959   ,26950.0
Power Boat pose                    ,0.18606058161577865  ,0.10484567480340017  ,0.8255189692197566   ,5588.0
Pushups                            ,0.32572030920590306  ,0.2476093808429937   ,0.4758238373883585   ,9741.0
Rowing machine                     ,0.6433872947226931   ,0.5911031168621976   ,0.7058182401025805   ,31195.0
Running                            ,0.7457233903547952   ,0.7160964867356345   ,0.7779075913099113   ,35949.0
Russian Twist                      ,0.3374630784378077   ,0.2869801842031817   ,0.4094982078853047   ,10044.0
Seated Back Fly                    ,0.12929374810011146  ,0.25725806451612904  ,0.0863445662471241   ,7389.0
Shoulder Press                     ,0.4077745890947039   ,0.4302821748107364   ,0.38750464856824096  ,8067.0
Squat                              ,0.023180122251329684 ,0.14434008897676714  ,0.012601959345733892 ,46342.0
Triceps Kickback                   ,0.4420954453598632   ,0.6777883698760725   ,0.32802768166089963  ,13005.0
Triceps extension (lying)          ,0.6044679752066116   ,0.5999743655472956   ,0.6090294041113713   ,7686.0
Dumbbell Curl                      ,0.39175688667809216  ,0.3558086560364465   ,0.4357853622244955   ,10753.0
V-up                               ,0.661432043372593    ,0.6310532417729421   ,0.6948836295787096   ,10183.0
Walk                               ,0.559866458146164    ,0.42240520841178586  ,0.8299544550222793   ,60819.0
Walking lunge                      ,0.3136439448090628   ,0.19923498170010184  ,0.7366707366707367   ,9828.0
Wall Ball                          ,0.6064104511620841   ,0.5142341878139894   ,0.7388487877105312   ,5403.0
Wall Squat                         ,0.1433293666534444   ,0.10642057726290988  ,0.2194331983805668   ,12350.0
accuracy                           ,0.42802274310410215  ,0.42802274310410215  ,0.42802274310410215  ,0.42802274310410215
macro avg                          ,0.3839717594564694   ,0.3549283781336388   ,0.5058296719376041   ,1405437.0
weighted avg                       ,0.4631811715831863   ,0.6634074023965256   ,0.42802274310410215  ,1405437.0
