Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.00893410863903822  ,0.5609048723897911   ,0.004502915602928525 ,858999.0
Band Pull-Down Row                 ,0.020110410094637224 ,0.01425775789767962  ,0.03411371237458194  ,5980.0
Bicep Curl                         ,0.13562241616903994  ,0.11873523349922085  ,0.15810964589329946  ,14939.0
Box Jump (on bench)                ,0.005742411812961444 ,0.0030538791536392058,0.048                ,875.0
Burpee                             ,0.07596080767413678  ,0.04987322651993311  ,0.15927297786200362  ,11609.0
Butterfly sit-up                   ,0.006759311779164303 ,0.017861603797152136 ,0.004168367049495715 ,34306.0
Chest Press                        ,0.03872470101195952  ,0.021424822255093758 ,0.20113483649395253  ,6697.0
Crunch                             ,0.03154505266604814  ,0.019192880703074847 ,0.08850551245406288  ,9796.0
Dip                                ,0.06331173815591512  ,0.04127962844330557  ,0.1357829579876202   ,7593.0
Dumbbell Deadlift Row              ,0.02637581387633227  ,0.02103870327489249  ,0.03534118693042899  ,8998.0
Dumbbell Row (both)                ,0.018794527732855452 ,0.017142401530856322 ,0.020799071297281608 ,10337.0
Dumbbell Row (right)               ,0.025340148297458783 ,0.01494819092916596  ,0.08313651393481343  ,2117.0
Dumbbell Squat (hands at side)     ,0.10630239449788442  ,0.06311154598825831  ,0.3367808012852696   ,9959.0
Elliptical machine                 ,0.13865934115421855  ,0.2638389031705227   ,0.0940411105341926   ,32741.0
Punches                            ,0.3345786963434022   ,0.2394742831133364   ,0.5549841772151899   ,7584.0
Jump Rope                          ,0.3414874001229256   ,0.3119946091644205   ,0.3771382025522672   ,18415.0
Jumping Jacks                      ,0.4876707898779207   ,0.34441018613680485  ,0.8349944629014396   ,3612.0
Kettlebell Swing                   ,0.10742709008425146  ,0.06565272496831433  ,0.2953670705630791   ,7015.0
Lateral Raise                      ,0.04660457481354602  ,0.031080437886720613 ,0.09311279053186937  ,7013.0
Lawnmower (both)                   ,0.0009719262831296027,0.0004994429290406853,0.018005540166204988 ,722.0
Lawnmower (right)                  ,0.018176310209027567 ,0.013410818059901656 ,0.028195488721804513 ,5320.0
Lunge (both legs)                  ,0.04293873312564902  ,0.03264645507658298  ,0.0627085228996057   ,13188.0
Ball Slam                          ,0.044408150567739925 ,0.03063140389464085  ,0.08070671378091873  ,7075.0
Triceps Extension (standing - both),0.05551994477589863  ,0.05111211983658647  ,0.0607597668897043   ,9266.0
Plank                              ,0.10709141863847603  ,0.05719113980645797  ,0.8400489759572574   ,26952.0
Power Boat pose                    ,0.04531572670951979  ,0.024662044511982777 ,0.2788117394416607   ,5588.0
Pushups                            ,0.06133053010962607  ,0.043349042584808734 ,0.10480394169575036  ,9742.0
Rowing machine                     ,0.05718536426612115  ,0.10403450900786602  ,0.03942939573649623  ,31195.0
Running                            ,0.4307913331574164   ,0.4553709787392302   ,0.4087292756203405   ,35948.0
Russian Twist                      ,0.05881600818309679  ,0.03958146898877951  ,0.11441647597254005  ,10051.0
Seated Back Fly                    ,0.005422503389064619 ,0.008158825129181398 ,0.004060638873849486 ,7388.0
Shoulder Press                     ,0.025922233300099698 ,0.01770634704440207  ,0.04836309523809524  ,8064.0
Squat                              ,0.0057491646911690605,0.021288360519767763 ,0.0033233345562053568,46339.0
Triceps Kickback                   ,0.012688519116255776 ,0.022974607013301087 ,0.008764511416929346 ,13007.0
Triceps extension (lying)          ,0.06420059985408955  ,0.040517035571774496 ,0.15452653485952134  ,7688.0
Dumbbell Curl                      ,0.0680832765972695   ,0.05537744097930632  ,0.08835565476190478  ,10752.0
V-up                               ,0.059537343027098476 ,0.04073511323348528  ,0.11057645094765786  ,10183.0
Walk                               ,0.2491885680494049   ,0.21071473218851927  ,0.3048503781650773   ,60820.0
Walking lunge                      ,0.04679924517346495  ,0.032738941467971884 ,0.08202727457765112  ,9826.0
Wall Ball                          ,0.050016374408288426 ,0.029813664596273288 ,0.15515330624307352  ,5414.0
Wall Squat                         ,0.026787983530727397 ,0.015886653101213354 ,0.08536486595934235  ,12347.0
accuracy                           ,0.07496478021430705  ,0.07496478021430705  ,0.07496478021430705  ,0.07496478021430705
macro avg                          ,0.08675348760893486  ,0.08701651305129895  ,0.16198215112061873  ,1405460.0
weighted avg                       ,0.0509157779071271   ,0.3872584178145099   ,0.07496478021430705  ,1405460.0
