                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.6789690794344745 ,0.9941253600669028 ,0.5155349006548056,186773.0
Walking                                    ,0.3496544722103953 ,0.21393074703430587,0.9564594158752912,5581.0
Jogging                                    ,0.7638253638253639 ,0.7226593233674272 ,0.8099647266313933,4536.0
Running                                    ,0.843464566929134  ,0.7625284738041003 ,0.9436222692036645,4257.0
Jump up                                    ,0.4587227414330219 ,0.3485207100591716 ,0.6708428246013668,878.0
Jump front and back                        ,0.4965335094090459 ,0.5023380093520374 ,0.4908616187989556,1532.0
Jump sideways                              ,0.3627180899908172 ,0.6309904153354633 ,0.2545103092783505,1552.0
Jump leg/arms open/closed                  ,0.8804646896973403 ,0.9085173501577287 ,0.8540925266903915,1686.0
Jump rope                                  ,0.7009121459433508 ,0.6181202370872142 ,0.8093126385809313,902.0
Trunk twist (arms outstretched)            ,0.6481823783117684 ,0.8461126005361931 ,0.5252996005326231,3004.0
Trunk twist (elbows bent)                  ,0.6245633645382144 ,0.481266149870801  ,0.889375248706725 ,2513.0
Waist bends forward                        ,0.8385977091287747 ,0.7568922305764411 ,0.9400778210116731,2570.0
Waist rotation                             ,0.4263052208835342 ,0.27169183516764783,0.98928238583411  ,2146.0
Waist bends (reach foot with opposite hand),0.8954351248032383 ,0.967444120505345  ,0.8334030975303475,2389.0
Reach heels backwards                      ,0.7624486066697123 ,0.6902398676592225 ,0.851530612244898 ,1960.0
Lateral bend                               ,0.09223928442169485,0.04837047882435876,0.9911111111111112,1800.0
Lateral bend with arm up                   ,0.47012061403508765,0.3118181818181818 ,0.9548997772828508,1796.0
Repetitive forward stretching              ,0.7354570637119113 ,0.6040955631399317 ,0.9398230088495575,1130.0
Upper trunk and lower body opposite twist  ,0.620253164556962  ,0.5476470588235294 ,0.7150537634408602,1302.0
Lateral elevation of arms                  ,0.6763990267639902 ,0.799506984387839  ,0.5861445783132531,1660.0
Frontal elevation of arms                  ,0.4884530211958242 ,0.3383738768354153 ,0.877771461057419 ,1759.0
Frontal hand claps                         ,0.801023308698124  ,0.7455026455026456 ,0.8654791154791155,1628.0
Frontal crossing of arms                   ,0.6755290287574607 ,0.679214402618658  ,0.6718834322719913,1853.0
Shoulders high-amplitude rotation          ,0.5873417721518988 ,0.48903878583473864,0.7351077313054499,1578.0
Shoulders low-amplitude rotation           ,0.40659340659340665,0.30593385214007784,0.6059730250481695,1038.0
Arms inner rotation                        ,0.3882672092234656 ,0.2481577806675336 ,0.8917445482866043,1284.0
Knees (alternating) to the breast          ,0.6503067484662578 ,0.7571428571428571 ,0.5698924731182796,651.0
Heels (alternatively) to the backside      ,0.7733887733887733 ,0.7371202113606341 ,0.8134110787172012,686.0
Knees bending (crouching)                  ,0.77145116646896   ,0.6938122332859175 ,0.8686553873552983,2246.0
Knees (alternating) bending forward        ,0.5209057398630859 ,0.3636229966181444 ,0.9179658500371195,2694.0
Rotation on the knees                      ,0.5849593495934959 ,0.4163773148148148 ,0.9829234972677595,1464.0
Rowing                                     ,0.5144665461121157 ,0.34635987338690044,0.999648629655657 ,2846.0
Elliptical bike                            ,0.7012248897599216 ,0.5832110839445803 ,0.8791154791154792,4070.0
Cycling                                    ,0.976604679064187  ,0.9786006251502765 ,0.9746168582375478,4176.0
accuracy                                   ,0.6052454059083507 ,0.6052454059083507 ,0.6052454059083507,0.6052454059083507
macro avg                                  ,0.6225229957657297 ,0.5796848304963834 ,0.7992762000625369,257940.0
weighted avg                               ,0.667830533766942  ,0.8797350675144225 ,0.6052454059083507,257940.0
