Unnamed: 0                         ,f1-score             ,precision             ,recall              ,support
Noise                              ,0.04333596684921208  ,0.6521798042071746    ,0.022412618957539068,859025.0
Band Pull-Down Row                 ,0.01491541162473521  ,0.009023876404494384  ,0.04296940310984785 ,5981.0
Bicep Curl                         ,0.32332062188325017  ,0.2877957073476421    ,0.3688508131985811  ,14941.0
Box Jump (on bench)                ,0.013103651354534748 ,0.007002911322684712  ,0.10171428571428573 ,875.0
Burpee                             ,0.0766648929638574   ,0.050271082720489565  ,0.16140985866942434 ,11604.0
Butterfly sit-up                   ,0.05064739421445053  ,0.07324471898957588   ,0.03870591664237832 ,34310.0
Chest Press                        ,0.06786412819178524  ,0.038562717947672166  ,0.2825762104004782  ,6692.0
Crunch                             ,0.08005065103091365  ,0.046263005504470385  ,0.2968558595345039  ,9796.0
Dip                                ,0.10396597310035637  ,0.06297348484848485   ,0.2978527203267027  ,7591.0
Dumbbell Deadlift Row              ,0.04818732823852728  ,0.036425725668753565  ,0.07116646280440342 ,8993.0
Dumbbell Row (both)                ,0.030161671672311326 ,0.02251371333174338   ,0.04567889286751185 ,10333.0
Dumbbell Row (right)               ,0.01577140736617497  ,0.00843839968231907   ,0.12039660056657225 ,2118.0
Dumbbell Squat (hands at side)     ,0.1704777721001533   ,0.10134609177725884   ,0.5363207073244248  ,9953.0
Elliptical machine                 ,0.1447466770660687   ,0.15465277777777778   ,0.1360332294911734  ,32742.0
Punches                            ,0.35646236251379976  ,0.2583111111111111    ,0.5749142706409919  ,7582.0
Jump Rope                          ,0.3865455125139487   ,0.4681081081081081    ,0.32918816182459953 ,18415.0
Jumping Jacks                      ,0.5575852470424496   ,0.40657110237219335   ,0.8870744533628564  ,3613.0
Kettlebell Swing                   ,0.2823311879955908   ,0.18810708362947168   ,0.5656882302650328  ,7018.0
Lateral Raise                      ,0.10369022869022868  ,0.06713498506709292   ,0.22764227642276424 ,7011.0
Lawnmower (both)                   ,0.0002991921811110004,0.00015517508922567632,0.004160887656033287,721.0
Lawnmower (right)                  ,0.03057145598158038  ,0.01842145830121782   ,0.08979898553447305 ,5323.0
Lunge (both legs)                  ,0.061693774537296686 ,0.052356020942408384  ,0.07508532423208192 ,13185.0
Ball Slam                          ,0.17144909964524674  ,0.12564997038109654   ,0.2697851893725269  ,7076.0
Triceps Extension (standing - both),0.1530537159676232   ,0.14036350548857296   ,0.1682666379031388  ,9271.0
Plank                              ,0.11904631176579784  ,0.06403595869700354   ,0.8446241745195519  ,26954.0
Power Boat pose                    ,0.05894981436112444  ,0.034323529411764704  ,0.2086536742356517  ,5593.0
Pushups                            ,0.10736518716145202  ,0.07276712328767124   ,0.2046855733662145  ,9732.0
Rowing machine                     ,0.15787766008206888  ,0.1951035426199349    ,0.1325811001410437  ,31196.0
Running                            ,0.41833944260196665  ,0.4383745389141237    ,0.4000556405619697  ,35945.0
Russian Twist                      ,0.17300516893164006  ,0.13190312141142085   ,0.2513177523620089  ,10055.0
Seated Back Fly                    ,0.057363894489938685 ,0.04120115859786014   ,0.09439328277356446 ,7384.0
Shoulder Press                     ,0.04107700123376152  ,0.029030107195978868  ,0.07021461357151718 ,8061.0
Squat                              ,0.011858275326167872 ,0.015011241899219681  ,0.009799900705851879,46327.0
Triceps Kickback                   ,0.0598188475621507   ,0.060006186204763376  ,0.0596326750172904  ,13013.0
Triceps extension (lying)          ,0.1999054075358663   ,0.16771007847632485   ,0.24739854318418314 ,7688.0
Dumbbell Curl                      ,0.11465071151358346  ,0.1013871013871014    ,0.13190697674418606 ,10750.0
V-up                               ,0.19187123668364986  ,0.13602594097607024   ,0.32550829977408896 ,10181.0
Walk                               ,0.3170064284473273   ,0.28319213606674      ,0.3599907926538531  ,60821.0
Walking lunge                      ,0.11030303030303032  ,0.0960060286360211    ,0.12960325534079348 ,9830.0
Wall Ball                          ,0.14778129952456415  ,0.0899373091142903    ,0.4141376757957069  ,5404.0
Wall Squat                         ,0.02935394312298342  ,0.018014367286793148  ,0.07922235722964763 ,12345.0
accuracy                           ,0.10896312065618936  ,0.10896312065618936   ,0.10896312065618936 ,0.10896312065618936
macro avg                          ,0.13664558500908006  ,0.12804639044400296   ,0.2360554703609622  ,1405448.0
weighted avg                       ,0.0902176982874494   ,0.4573654775814918    ,0.10896312065618936 ,1405448.0
